origin: C(C)(C)CNCC(C)(C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C1CC2CCC[N+](C)(C2CC1)C, cl: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, target: C1[N+](C)(C)CC(C)CC1C
origin: CC1CC(C[N+](C)(C)C1)C, cl: c1cc(C)c(cc1)C[n+]1c(C)n(cc1)C, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1C2CC3CC(C2)([N+](C)(C)C)CC1C3, cl: C(C1N(Cc2ccccc2)CCC1)O, target: C1CC2CCCC([N+]2(C)C)C1
origin: C1[N+]2(CCCC[N+]34CCN(CC4)CC3)CCN(C1)CC2, cl: C(CO)N(CCO)C, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1CCC(C)C[N+]1(C)CC, cl: C1(CCCCC1)N(C)C1CCCCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C1(C)(C)CCC[N+](C1)(C)CC, cl: C1CN(Cc2ccccc2)C(CO)C1, target: C([P+](CC)(CC)CC)C
origin: C1(C)(CCCC(C)(C)[N+]1(C)CC)C, cl: c1cccc(C(O)C(N(C)C)C)c1, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1[N+](CC(C)CC1C)(C)C, cl: C(CN(CCC)CCC)CC, target: C1CCC(C)(C)[N+](CC)(C)C1(C)C
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: c1(CN2CCCC2)cc(ccc1)F, target: C(C)[N+]1(CC)C(C)CCCC1C
origin: C[N+]1(CC)CC2CCC(C2)C1, cl: c1c(CN2CCCC2)cccc1, target: C1CCC(C)[N+](C)(C)C1C
origin: C[N+]1(C(CCCC1C)C)C, cl: C1N(Cc2cccc(F)c2)CCC1, target: C12CC(C1(C)C)[N+](C)(C)CCC2
origin: C1CCC[N+]1(C)CCCCC[N+]1(C)CCCCC1, cl: c1cccc(C(O)C(NC)C)c1, target: CC12CC(CC(C)(C)C1)[N+](C)(C)C2
origin: C[N+]1(C)CC(C)CC(C1)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1(C)(C)C2CCC[N+](C)(C)C1C2
origin: C1(C)(C)CCCC(C)(C)[N+]1(C)C, cl: C1(CCCCC1)N(C1CCCCC1)C, target: C12C(C)(C)C([N+](C)(C)CCC1C)C2
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: C12C3CCCCN3CC(C2)C2[N+](C1)(C)CCCC2, target: C(C)(C)N(C(C)C)CC
origin: N(CC)(C(C)C)C(C)C, cl: c1cccc(c1)C(O)C(C)N(C)Cc1ccccc1, target: CC(C)N(CC)C(C)C
origin: CC(NC(C)C)C, cl: C(C(O)c1ccccc1)N1CCCC1, target: N(CC)(C(C)C)C(C)C
origin: CC1CC(C)(NCCNC(C)CC(C)(C)NCCN1)C, cl: c1ccc(cc1)C(O)C(NC)C, target: c1[n+](C)ccn1CC
origin: C1CCC(CC1)N, cl: C1CCC(CO)N1Cc1ccccc1, target: N(C(C)C)(C(C)C)CC
origin: C1[N+](C)(CC(C)CC1C)C, cl: C1CC2C3CC(C4CCCC[N+]4(C3)C)CN2CC1, target: C(C)[P+](CC)(CC)CC
origin: C1CCC(C)(C)C[N+]1(CC)C, cl: c1ccc(cc1)CN1CCCC1CO, target: C1(C)CC(C)C[N+](C)(C)C1
origin: CC[N+]1(CC(C)CC(C1)C)CC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: C1CC(CC)[N+](C)(C)CC1
origin: C1CC[N+](CC(C)(C)C1)(CC)CC, cl: [n+]1(CCCC)cn(cc1)C, target: C([N+]1(C)C(C)CCCC1C)C
origin: [N+](C)(C)(C)C12CC3CC(CC(C1)C3)C2, cl: C(C(O)c1ccccc1)(NC)C, target: CC1CCCC(C)[N+]1(CC)CC
origin: C1CC([N+](C(C1)C)(C)CC)C, cl: C([N+](CC)(CC)CC)C, target: CC1[N+]2(CCCC2)C(C)CCC1
origin: C12(CC3CC(C1)CC(C3)C2)[N+](C)(C)C, cl: C[N+](C)(C)C12CC3CC(C1)CC(C2)C3, target: C[N+]1(C)CC(C)(C)C=CC(C)(C)C1
origin: C1NCCN(C)C1, cl: C(N1CCCC1)c1ccncc1, target: CC[N+](CC)(CC)CC
origin: C(CCCCCCCCCCCC)CCCCCCCC[N+](C)(C)C, cl: C1CN(Cc2cc(ccc2)F)C(CO)C1, target: CC(C)N(CC)C(C)C
origin: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, cl: CCN(CC)CC, target: C(N(CC)C(C)C)(C)C
origin: C(CCCC[N+]1(C)CCCC1)[N+]1(C)CCCC1, cl: c1ccc(C[N+](Cc2cc(F)ccc2)(C)C)cc1F, target: CN1CCN(C)CCN(C)CC1
origin: C(CCC[N+]1(CCCC1)C)[N+]1(CCCC1)C, cl: c1ccc(cc1)CN1C(CO)CCC1, target: N1(C)CCN(C)CCN(C)CC1
origin: C1CC(C)[N+](CC)(C)C(C)C1, cl: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, target: C1[C@@H](C)[N+](C)(C)[C@@H](C)CC1
origin: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3, cl: C(C)CN(CCC)CCC, target: C1C[C@@H](C)[N+](C)(C)[C@@H](C)C1
origin: C1CC2C[N+](C)(C)CC2CC1, cl: C1CCCN1Cc1cc(F)ccc1, target: C1C[C@H](C)[N+](C)(C)[C@H](C)C1
origin: C12(CC3CC(CC(C3)C2)C1)[N+](C)(C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C[C@@H]1C[N+](C)(C)C[C@H](C)C1
origin: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, cl: C1CCCN1Cc1ccccc1, target: [C@H]1(C)C[C@@H](C)C[N+](C)(C)C1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)CC, cl: C(C(c1ccccc1)O)(C)N(C)Cc1ccccc1, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C1CCCC(C1)N, cl: C(C)CC[n+]1cn(C)cc1, target: [P+](CC)(CC)(CC)CC
origin: C1C(C)CC(C[N+]1(C)C)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1[N+](C)(CC(C)CC1C)C, cl: [N+](CC)(CC)(CC)CC, target: CC1C[N+](C)(C)CC(C)C1
origin: C1CCC[N+](CCCCC[N+]2(CCCC2)C)(C1)C, cl: C1N(Cc2ccccc2)C(CC1)CO, target: C(C)[N+](CC)(CC)CC
origin: C12CC3CC(C1)CC(C2)([N+](C)(C)C)C3, cl: c1ccc(CN2CCCC2)c(c1)F, target: CC1C[N+](C)(C)CC(C)C1
origin: C1(C)(CCCC(C)(C)[N+]1(CC)C)C, cl: C1(CCCCC1)N(C)C1CCCCC1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1(C[N+](CC)(CC(C)C1)CC)C, cl: N(C)(C)C(c1ccccc1)O, target: C(C)[P+](CC)(CC)CC
origin: C1[N+](C)(C)C(CCC1)C, cl: N(CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: C12CC3CC(CC(C3)C2)([N+](C)(C)C)C1, cl: C1N(Cc2cccc(F)c2)C(CO)C1, target: CC[P+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: c1n(cc[n+]1CCCC)C, target: CC[P+](CC)(CC)CC
origin: C1CN(CCNC1)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C(C)(N(CC)C(C)C)C
origin: CC1(C)CCC[N+](CC)(C1)C, cl: C([n+]1cn(C(C(C)C)O)cc1)(C)C, target: [NH2+]1C[C@H](C)C[C@H](C)C1
origin: C12CC3CC(C1)CC(C3)C2[N+](C)(C)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C[C@H]1CCC[C@@H](C)[NH2+]1
origin: C(C)(N(C(C)C)CC)C, cl: c1cc(F)c(cc1)CN1CCCC1, target: N(C(C)C)(C(C)C)CC
origin: C(C)N(CC)CC, cl: Cn1cc[n+](c1C)Cc1ccccc1, target: N(C(C)C)(CC)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: c1c[n+](CC)cn1C, target: CC(C)N(C(C)C)CC
origin: C1C2CC(CC1(C)C)(C)C[N+]2(C)C, cl: C1N(Cc2ccccc2)CCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C1CCCCCN1, cl: Cc1n(c(C)[n+](C)c1C)C, target: CC[N+](CC)(CC)CC
origin: C(CC)C[n+]1cn(C)cc1, cl: C1N(Cc2cc(F)ccc2)CCC1, target: CC[N+](CC)(CC)CC
origin: C1CCCC(N)C1, cl: C(O)CN(CCO)CCO, target: C(C)N(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C1N(CCC1)Cc1ccccc1, target: N(CC)(C(C)C)C(C)C
origin: C1C(C)C[N+](CC(C)C1)(C)CC, cl: N12CCOCCOCCN(CCOCCOCCOCCOCC2)CCOCCOCCOCCOCCOCC1, target: CC1(C)CCCC(C)(C)[N+]1(C)CC
origin: C1CCCNCC1, cl: c1c(F)c(ccc1)CN1CCCC1CO, target: C(N(C(C)C)CC)(C)C
origin: C12C3C[N+](CC3C(C=C2)C2C[N+](CC)(CC12)CC)(CC)CC, cl: C(C1N(CCC1)Cc1ccccc1)O, target: CC[N+]1(CC)[C@@H](C)CCC[C@H]1C
origin: C12CC3(CC(CC(C3)C2)C1)[N+](C)(C)C, cl: C(N(CC)CC)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C1C[N+](C)(CC1)CCCCC[N+]1(CCCC1)C, cl: CN(C(C)O)CC, target: C(C)(C)N(C(C)C)CC
origin: C(CC[N+](C)(C)C)CCCCCCCCCCCC, cl: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1F, target: C(C)N(C(C)C)C(C)C
origin: CC(C)N(C(C)C)CC, cl: C(C)(N(CC)C(C)C)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(CC[N+](C)(C)C)CCCCCCCCCCC, cl: C(CC)C[n+]1cc(C)n(c1C)C, target: C(C)N(C(C)C)C(C)C
origin: C1C(N)CCCC1, cl: CCCC[n+]1ccn(c1CCC)C, target: CC1CC(C)C[N+](C)(C)C1
origin: Cn1c(c[n+](c1)C)C, cl: c1ccc(C(O)C(C)NC)cc1, target: C([N+](CC)(CC)CC)C
origin: [N+]1(CCCC1)(C)CCCC[N+]1(C)CCCC1, cl: C1CN(Cc2ccccc2F)CC1, target: CCN(C(C)C)C(C)C
origin: C1(CC(NCCNC(CC(C)(NCCN1)C)C)(C)C)C, cl: C1N(Cc2cccc(c2)F)CCC1, target: N(CC)(C(C)C)C(C)C
origin: C1(C)CCCC([N+]1(CC)CC)C, cl: C(C)CC[n+]1cn(C)cc1, target: C[C@@H]1C[NH2+]C[C@@H](C)C1
origin: C1[N+](C)(C)C(C)CCC1, cl: C(C)(N(CC)C(C)C)C, target: C[C@H]1[NH2+][C@@H](C)CCC1
origin: C1CC(C)[N+](C(C)C1)(CC)CC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1(C)CCCC(C)[N+]1(C)C
origin: C1(C)[N+](CC)(C(CCC1)C)C, cl: C(N1CCCC1)c1cccc(F)c1, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CC(C)[N+](C(C1)C)(C)C, cl: C1CC(N(C1)Cc1cc(ccc1)F)CO, target: C1(C)CCCC(C)[N+]1(C)CC
origin: CCC[N+](CCC)(CCC)CCC, cl: c1ccc(C(O)C(N(C)C)C)cc1, target: c1cn(C)c[n+]1CC
origin: C1C(C)CC(C[N+]1(C)C)C, cl: C(C)(C(c1ccccc1)O)NC, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(CO)N(CCO)C, cl: C(N(CCC)CCC)CC, target: C(NCCNCCN)CN
origin: C(N(CC)CC)C, cl: [n+]1(cn(cc1)C)CCCC, target: C(NCCCNCCN)CN
origin: n1(C)c(C)[n+](cc1)C, cl: c1n(C)c(C)[n+](C)c1, target: C1CN[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)N1
origin: C(N(CC)C(C)C)(C)C, cl: c1cccc(C(O)C(NC)C)c1, target: [C@H]1(C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN1
origin: C1(C[N+](CC(C1)C)(C)C)C, cl: c1(F)cc(CN2CCCC2CO)ccc1, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: C1(C)CC(C)C[N+](C1)(C)CC, cl: c1cc(CN2C(CO)CCC2)ccc1, target: [C@@H]1(C)C[N+](C)(C)C[C@@H](C)C1
origin: C1CCC2C(CCC[N+](C)(C2)C)C1, cl: c1cccc(c1)C(O)C(NC)C, target: CC1C[N+](C)(C)CC(C)C1
origin: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1CCC([N+](CC)(C1C)CC)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C1C2[N+](C)(C)C(CCC2)CC1
origin: [N+]1(CC2C3C=CC(C4C3C3C[N+](C)(C5)C)C2C1)(C)C, cl: CCCC[n+]1cn(cc1)C, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1(CC[N+](C)(C)CC1)(C)C, cl: C(c1ccccc1)N1CCCC1, target: C1C(C)CC(C)C[N+]1(C)C
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: C(CC)CNCCCC, target: CC[P+](CC)(CC)CC
origin: C1C([N+](C)(C(C)CC1)C)C, cl: c1cc(C[n+]2ccn(c2C)C)ccc1, target: C1CC(C)[N+](C)(C)C(C)C1
origin: C1CC(C)C[N+](C)(C)C1(C)C, cl: N(CC)(CC)CC, target: CC1(C)[N+](CC)(C)C(C)(C)CCC1
origin: CC1[N+](CCCC1)(C)CC, cl: c1ccccc1C(O)C(NC)C, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1CCCC2C1CCC[N+]12CCC(C)CC1, cl: c1(CN2C(CO)CCC2)ccccc1, target: C[N+]1(C)C(C)CCCC1C
origin: C1CCCC2C1[N+](CCC2)(C)C, cl: c1(N(C)C)ccccc1, target: CC1(C)C2CC1[N+](C)(C)CCC2
origin: C1CCC[N+](C1)(CC)C, cl: c1[n+](c(n(Cc2ccccc2)c1)C)C, target: C[N+]1(C)CC2(C)CC(C)(C)CC1C2
origin: C1CCC(C)[N+](CC)(C1C)C, cl: CCC[N+](CCC)(CCC)CCC, target: C[N+]1(C)CCCC2CC1C2(C)C
origin: [N+]1(C)(CC(CC(C1)C)C)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C12CC([N+](C)(C)CCC1C)C2(C)C
origin: [n+]1(ccn(c1)C)CCCC, cl: C(N(CC)CC)C, target: CC(C)N(CC)C(C)C
origin: CC(N(C(C)C)CC)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: N(CC)(C(C)C)C(C)C
origin: C1CCCCC(C1)N, cl: C(CC)N(CCC)CCC, target: CC(C)N(C(C)C)CC
origin: c1n(c[n+](c1)CCCC)C, cl: C(C)CN(CCC)CCC, target: c1cn(CC)c[n+]1C
origin: C(CC[n+]1ccn(C)c1)C, cl: c1(CN2CCCC2)cc(ccc1)F, target: CC(C)N(CC)C(C)C
origin: C1CC(C)C[N+](C)(CC)C1C, cl: c1c(cccc1)C[n+]1cn(C)cc1, target: CC[P+](CC)(CC)CC
origin: C1(C)C[N+]2(CCCC2)C(C)CC1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1CCC([N+](CC)(CC)C1C)C, cl: c1cc(cc(C[N+](C)(Cc2cccc(F)c2)C)c1)F, target: [N+]1(C)(C)CCCCC1CC
origin: CC1CC(C[N+](C1)(CC)C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1(C)CCCC(C)[N+]1(CC)C
origin: C1CCC(C)[N+](C1C)(CC)C, cl: c1cc(ccc1)C(O)C(C)N(C)Cc1ccccc1, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CCC([N+](CC)(CC)CC1)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1CC(C)[N+]2(CCCC2)C(C)C1
origin: C1(C)[N+](CC)(CC)C(C)CCC1, cl: c1cc(CN2CCCC2)ccc1, target: C1(C)(C)C=CC(C)(C)C[N+](C)(C)C1
origin: N(CC)(CC)CC, cl: C1CCN2CC3C4CCCC[N+]4(CC(C2C1)C3)C, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: c1ccc(cc1)C[n+]1cn(cc1)CCCC, target: CC(C)N(CC)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C1CCCCC1N(C1CCCCC1)C, target: N(C(C)C)(CC)C(C)C
origin: [N+]1(CCCC1)(C)CCCC[N+]1(CCCC1)C, cl: c1ccccc1CN1CCCC1CO, target: N1(C)CCN(C)CCN(C)CC1
origin: C(N(CC)C(C)C)(C)C, cl: c1ccc(cc1)C[n+]1ccn(c1C)C, target: C1CN(C)CCN(C)CCN1C
origin: C1CCC2C([N+](C)(CCCC2)C)C1, cl: c1cc(C(O)C(NC)C)ccc1, target: [C@@H]1(C)CCC[C@H](C)[N+]1(C)C
origin: C1(CCCC(C)[N+]1(C)C)C, cl: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, target: C1C[C@H](C)[N+](C)(C)[C@H](C)C1
origin: C1C2CC3CC(CC1C3)([N+](C)(C)C)C2, cl: C(C)CNCCC, target: [C@@H]1(C)[N+](C)(C)[C@H](C)CCC1
origin: C1CCC2CCCCC2[N+](C)(C1)C, cl: N(CC)(CC)CC, target: C[C@@H]1C[N+](C)(C)C[C@H](C)C1
origin: C1CC(C)[N+](CC)(C)C(C1)C, cl: C1N(CCC1)Cc1ccccc1, target: C[C@@H]1C[C@H](C)C[N+](C)(C)C1
origin: C1CCC2CCCC2[N+]1(CC)C, cl: c1cc(CN2CCCC2)cc(F)c1, target: [N+]1(C)(C)C[C@H](C)C[C@H](C)C1
origin: [N+]1(C)(CC2CCC(CC2)C1)C, cl: c1c(cccc1)CN1C(CO)CCC1, target: C([P+](CC)(CC)CC)C
origin: C1C(C)C[N+](CC)(C)CC1C, cl: C(C(C)N(C)C)(O)c1ccccc1, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C1CC(C)[N+](C(C)C1)(C)C, cl: c1c[n+](CCCC)c(C)n1C, target: C1[N+](C)(C)CC(C)CC1C
origin: C[N+]1(CC(CC(C)C1)C)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C(C)[N+](CC)(CC)CC
origin: C1C(C)(C)[N+](CC)(C(C)(C)CC1)C, cl: C(C)CN(CCC)CCC, target: CC1C[N+](C)(C)CC(C)C1
origin: C1(CC(C)C[N+](C1)(C)C)C, cl: N(CC)(CC)CC, target: C1C(C)C[N+](C)(C)CC1C
origin: CC1CC(C)C[N+](C1)(C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C([P+](CC)(CC)CC)C
origin: CC1CC(C[N+](C1)(C)C)C, cl: c1c(CN2C(CO)CCC2)cccc1, target: C([P+](CC)(CC)CC)C
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: c1cc(CN2CCCC2CO)ccc1, target: CC[P+](CC)(CC)CC
origin: C12CC3CC(C1)(CC(C2)C3)[N+](C)(C)C, cl: c1(CN2C(CO)CCC2)ccccc1, target: CC[P+](CC)(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: c1cn(c[n+]1CCCC)C, target: CC(N(CC)C(C)C)C
origin: C1CCC2C([N+](C)(CC)C1)CCCC2, cl: CCCN(CCC)CCC, target: C[C@H]1C[C@@H](C)C[NH2+]C1
origin: C1C[N+](C2C(CCCC2)C1)(C)C, cl: C(CC[n+]1ccn(c1C)C)C, target: [NH2+]1[C@@H](C)CCC[C@H]1C
origin: CCCN(CCC)CCC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CCN(C(C)C)C(C)C
origin: C([N+](CC)(CC)CC)C, cl: c1ccccc1C(O)C(NC)C, target: N(C(C)C)(CC)C(C)C
origin: C(CCCCCCCCCCCCC[N+](C)(C)C)CCCCC, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C(N(CC)C(C)C)(C)C
origin: C1CCCC2CCC[N+](C21)(C)C, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C(CCCCCCC[N+](C)(C)C)[N+](C)(C)C, cl: C1CCN(Cc2cc(F)ccc2)C1, target: C(C)[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: c1cccc(CN2CCCC2CO)c1, target: [N+](CC)(CC)(CC)CC
origin: C1CCCNCC1, cl: C(N(CC)CC)C, target: C(C)N(C(C)C)C(C)C
origin: C1N(C)CCN(C)CCN(C)CCN(CCN(CCN(C1)C)C)C, cl: c1ccc(C[N+](C)(C)Cc2ccccc2F)cc1F, target: CCN(C(C)C)C(C)C
origin: C1CC[N+](C)(C)CC1C, cl: c1(ccncc1)N(C)C, target: [N+]1(CC)(C)C(C)(C)CCCC1(C)C
origin: C1C(NCCNC(CC(NCCNC1C)C)(C)C)(C)C, cl: C(C)CNCCC, target: CC(C)N(C(C)C)CC
origin: CC[N+]1(C(CCCC1C)C)CC, cl: C1C(CCCC1)N(C1CCCCC1)C, target: C1CC[C@H](C)[N+](CC)(CC)[C@@H]1C
origin: C1C([N+](C)(C)C(C)CC1)C, cl: c1ccc(cc1)C(O)C(N(C)Cc1ccccc1)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C(C)CC[n+]1cn(cc1)C, cl: c1c(ccnc1)N1CCCC1CO, target: CC(N(CC)C(C)C)C
origin: CCC[N+](CCC)(CCC)CCC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC(C)N(C(C)C)CC
origin: C1CCCC[N+]1(C)CCCC[N+]1(C)CCCCC1, cl: c1cc(C[n+]2c(C)n(C)cc2)ccc1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C1[N+](CCC1)(C)CCCCC[N+]1(C)CCCC1, cl: C12CCCCN1CC1C3CCCC[N+]3(C)CC2C1, target: CC(C)N(CC)C(C)C
origin: C(CNCCC)C, cl: c1cccc(C(O)C(C)NC)c1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C(C)[n+]1c(n(cc1)C)C, cl: C1N(Cc2cc(F)ccc2)CCC1, target: CC[N+](CC)(CC)CC
origin: C1C(N)CCCC1, cl: C1CCCN1Cc1ccccc1F, target: C(N(CC)C(C)C)(C)C
origin: C(C)(C)(C)N(C(C)C)C, cl: C1C[N+](CC2C3CC(CC3)C21)(C)C, target: C(C)(N(C(C)C)CC)C
origin: C1CC(C)[N+](CC)(C(C)C1)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C[C@@H]1C[NH2+]C[C@@H](C)C1
origin: C1CCCC([N+]1(CC)CC)C, cl: C(CC[n+]1c(C)c(n(C)c1C)C)C, target: C[C@@H]1CCC[C@H](C)[NH2+]1
origin: CC1C[N+](CC(C1)C)(CC)CC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1CC([N+](C)(C)CC1C)C, cl: C(CO)N(CCO)C, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: C1(C)CC(C[N+](C1)(C)C)C, cl: C1[N+]2(C)CC3CC(CN4C3CCCC4)C1CCCC2, target: C(C)[N+]1(C)C(C)CCCC1C
origin: C(CCCCC[N+](C)(C)C)CCCCCCCCCCC, cl: C([N+](CC)(CC)CC)C, target: c1[n+](CC)cn(C)c1
origin: CC1CC(C[N+](C)(C)C1)C, cl: C1C(N(Cc2ccccc2)CC1)CO, target: CC1C[N+](C)(C)CC(C)C1
origin: NCCCCCCN, cl: c1n(C)c[n+](CC)c1, target: C(CNCCN)NCCN
origin: C(NCCNCCNCCN)NCN, cl: c1ccc(CN2CCCC2CO)cc1, target: C(CNCCN)CNCCN
origin: Cn1c[n+](cc1)CC, cl: C([n+]1c(n(cc1)C)C)C, target: C1NC(C)(C)C[C@H](C)NCCNC(C)(C)C[C@H](C)NC1
origin: C(CC[n+]1ccn(c1)C)C, cl: C1CN(C)CCCN(CCN(C)CCCN1C)C, target: C[C@H]1CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN1
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1CCCN1Cc1ccc(F)cc1, target: [C@@H]1(C)C[N+](C)(C)C[C@H](C)C1
origin: C[N+]1(C)CC(CCC1)(C)C, cl: N(C1CCCCC1)(C)C1CCCCC1, target: C1[C@@H](C)C[C@H](C)C[N+]1(C)C
origin: C1[N+](CC(CC1C)C)(C)C, cl: C(N(CC)CC)C, target: CC1C[N+](C)(C)CC(C)C1
origin: C1CCC(C)(C)C[N+]1(C)CC, cl: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1(C)(CC(C)CC(C1)[N+](C)(C)C)C, cl: C1CCCCNC1, target: C1CC2CCCC([N+]2(C)C)C1
origin: C1[N+](CC2C3C4C(C[N+](C4)(CC)CC)C(C=C3)C21)(CC)CC, cl: C1CCN(Cc2ccccc2)C1, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1(CC(C)C[N+](C)(C1)C)C, cl: C(C(C)NC)(c1ccccc1)O, target: CC1C[N+](C)(C)CC(C)C1
origin: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, cl: C(C(O)c1ccccc1)(NC)C, target: CC[P+](CC)(CC)CC
origin: C1CCC(C)(C[N+]1(C)C)C, cl: C12CC3CC(C2)CC(C3)C1[N+](C)(C)C, target: [N+]1(C)(C)C(C)CCCC1C
origin: C1C2CC3CC(CC1C3)C2[N+](C)(C)C, cl: C1(CO)N(Cc2ccccc2)CCC1, target: C(C)[N+]1(C)C(C)(C)CCCC1(C)C
origin: C1CCCC(C)[N+]1(C)CC, cl: C1C2C3CCCCN3CC(C1)C1[N+](C)(CCCC1)C2, target: C([N+]1(CC)C(C)CCCC1C)C
origin: C1C2CC3CC1C[N+](C)(C(C2)C3)C, cl: C(O)(C(c1ccccc1)O)C(N(C)C)C, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1[N+](CC)(CC)CC2CC3CC1CC(C3)C2, cl: C(C)Cn1c[n+](C)cc1, target: C[N+]1(C)CCCC2CC1C2(C)C
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C2)C1, cl: C(N(CC)CC)C, target: [N+]1(C)(C)CC2(C)CC1CC(C)(C)C2
origin: C1CCCC[N+](C)(CC)C1C, cl: c1cccc(CN2CCCC2CO)c1F, target: C1C[N+](C)(C)C2CC(C2(C)C)C1
origin: C1[N+](CC(C)CC1C)(C)C, cl: c1cc(C(O)C(NC)C)ccc1, target: C1(C)C2CC(C2(C)C)[N+](C)(C)CC1
origin: C([N+](CC)(CC)CC)C, cl: c1c(F)cc(CN2CCCC2)cc1, target: CCN(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(N(CC)CC)C, target: C(C)N(C(C)C)C(C)C
origin: C1CCC(N)CC1, cl: N(CC)CCCCCCN(CC)CC, target: CC(N(CC)C(C)C)C
origin: c1[n+](cn(c1)C)CC, cl: C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C, target: C[n+]1cn(CC)cc1
origin: C1C(N)CCCC1, cl: c1(C[N+](Cc2ccccc2F)(C)C)cccc(F)c1, target: C(N(CC)C(C)C)(C)C
