origin: N1(C)CCN(C)CCN(C)CC1(C)CCN(C)CC, cl: C1CN(C)CCN(, target: N1(C)CCN(C)CCN(C)CC1
origin: C1C(C)CC(N)CCN1, cl: C1(C)CC(C)C[N+](C1)(C)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1CCCC(CC[[+]22ccccc2)C1CC, cl: C1(CC)CCCC[N+]1(C)C, target: C1CCCC(CC)[N+]1(C)C
origin: C1C(C)[N+](CC)(C))(C)CCC, cl: C([N+]1(CC)CC(C)(C)CCC1)C, target: C1C(C)[N+](CC)(C)C(C)CC1
origin: [N+]1(CC)(CC)C(C)CCCC1C, cl: CC[N+]1(CCCC(C1)(C)C)CC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1C(C)[N+](C))CC(C)CC1, cl: C1CCC(C)[N+](C)CCCCC[N+]2(C)CCCCC221CCCC2, target: C1C(C)[N+]2(CCCC2)C(C)CC1
origin: C1=CC(C)(C)C[N+](C)(C)CC1(C)C, cl: C1[N+](C)(CCCC1CCCC1, target: C1=CC(C)(C)C[N+](C)(C)CC1(C)C
origin: C([N+](CC)(CC)CCCCCCNCCCCCCCCCCCCCCCCCCC)C, cl: CC[N+](CC(())))C, target: C([N+](CC)(CC)CC)C
origin: CCN(C(C)C)C(C)C, cl: CC(N(C(C)C)CC)C, target: CCN(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(N(C(C)C)CC)C, target: C(C)(N(C(C)C)CC)C
origin: N1(C)CCN(C)CCN(C)CC1, cl: C1N(C)CCN(C)CCN(CCC(CCN(C)CC1(C)C)C)C, target: N1(C)CCN(C)CCN(C)CC1
origin: C1N(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)C1, cl: N1(C)CCN(C)NCCN, target: C1N(C)CCN(C)CCN(C)C1
origin: [C@H]1(C)CnCcccc1, cl: [N+]1(C)(C)CC2C3CCC(C1CC))2C, target: [C@H]1(C)CCC[C@@H](C)[N+]1(C)C
origin: [C@@H]1(CCC)(C)C1CCCCCC, cl: C1[C@H](C(C)(C)C))CCCCC, target: [C@@H]1(C)CCC[C@H](C)[N+]1(C)C
origin: C1C[C@@H]+]2c(c)ccc2)(CCCCCC2CC[N+](Cc(ccccc))CC))C2, cl: [N+]1(C)(C)CC2CCCCCCC2C1, target: C1C[C@@H](C)[N+](C)(C)[C@@H](C)C1
origin: C[N+]1(C)C2(C)CC(C)(C)CC1C2, cl: C[C@@H]1C(C)(C)C, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C1[C@@H](](c)ccc2)(CCCCCC2CC[N+](C)(C)CC2CCC1, cl: C[C@@H]1C(C)(C)C, target: C1[C@@H](C)C[N+](C)(C)C[C@H]1C
origin: C1[C@@H](]2ccccc1)CC(CC(C)C)(c)ccc1, cl: C[N+]1(C)CCCC2CCCCC22, target: C1[C@@H](C)C[C@@H](C)C[N+]1(C)C
origin: C(C)[P+](CCC(C)(C)C)C, cl: C([P+](CC)(CC)CC)C, target: C(C)[P+](CC)(CC)CC
origin: CC1CC(C)C[N+](C)(C)C1, cl: [N+]1(C)(C)CC(C)(C)CCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC1C[N+](C))CCCC(, cl: C1(C)C[N+](C)(CC(C1CCCC1)C)C, target: CC1C[N+](C)(C)CC(C)C1
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1(C)CC(C)C[N+](C)(C1CC)C, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1CC(C)C[N+](C)(C1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C([P+](CC)(CC)CC)C, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: [P+](CC)(CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: [P+](CC)(CC)(CC)CC
origin: C(N(C(C)C)(C)C)C, cl: C(N(C(C)C)CC)C, target: C(N(C(C)C)C(C)C)C
origin: [NH2+]1C[C+](C))C2C(C)(C)C1C2CCCC1, cl: C1[C@@H](]2CCCC2CC))CCC1, target: [NH2+]1C[C@@H](C)C[C@@H](C)C1
origin: C1[C@@H](](C)2ccccc2)CC((C(C)CC)C)C1, cl: C[C@H]1[N+](C)(C)C, target: C1[C@@H](C)[NH2+][C@@H](C)CC1
origin: C(C)(N(CCC)CCCCCC(()))C, cl: CC(N(C(C)C)CC)C, target: C(C)(N(CC)C(C)C)C
origin: C(C)N(C(C)C)C(C)C, cl: C(C)N(C(C)C)C, target: C(C)N(C(C)C)C(C)C
origin: N(C(C)C)((C)C)C(, cl: CC(C)N(CCCCCN(C)C)C, target: N(C(C)C)(C(C)C)CC
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1(C)C[N+](C)(C)CC(C1CC)C, target: C1(C)C[N+](C)(C)CC(C)C1
origin: C(C)[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: C(C)[N+](CC)(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC(N(CC)C(C)C)C, cl: CC(C)N(CCCCC(())CCCC(())))CCC((()))CCNCCCC(()CCCC)(CCCC)CCCC, target: CC(N(CC)C(C)C)C
origin: C(C)(N(CC)C(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: C(C)(N(CC)C(C)C)C
origin: C1(C)(C)[N+](C)(C)C(C)(C)CCC1, cl: C1CC(C)(C[[+]2cCc(c)c2)(C))1, target: C1(C)(C)[N+](CC)(C)C(C)(C)CCC1
origin: CC(C)N(C(C)C)CC, cl: N(CC)(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: CC[N+]1(CC)C(())C(C)CCCC, cl: C(C)[N+]1(CC)CCCC2C(C)CC(C)(C1)C2, target: CC[N+]1(CC)[C@H](C)CCC[C@@H]1C
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: C1C(C)CC(C)N[N+](C))C1(, target: C1(C)CC(C)C[N+](C)(C)C1
origin: N(C(C)C)(C)C, cl: C(C)(C)N(CCCCCN(C)C)C, target: N(C(C)C)(CC)C(C)C
origin: CC(N(CC)C(C)C)C, cl: C(N(C(C)C)CCCCCN(CCCCCC(CCCC)CCCC)(CCCC)CCCC, target: CC(N(CC)C(C)C)C
origin: C1C(C)CC(C)C[N+]1(CCCCCCNNCCC)C, cl: C1(C)CC(CC(NNCC(()))))CC(N1(C)C)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: CC(N(C(C)C)CC)C, cl: C(N(CC)C()))C, target: CC(N(C(C)C)CC)C
origin: C1C(C)C[N+](C)(C)CC1C, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1C(C)C[N+](C)(C)CC1C
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC(N(CC)CCC, cl: CC(C)N(CCCCN(C)C)C, target: CC(N(CC)C(C)C)C
origin: C(N(CC)C())C, cl: C(C)(C)N(CCCCCN(C)C)C, target: C(N(CC)C(C)C)(C)C
origin: C[C@H]1C[n+]1cc(()ncc1C)c, cl: [C@H]1(C)CCCC[[+]2(C)CCCC1, target: C[C@H]1C[C@H](C)C[NH2+]C1
origin: C[C@@H]1C(n)cccc1, cl: C1C[C@@H]+](C)CC1, target: C[C@@H]1CCC[C@H](C)[NH2+]1
origin: CC1CCCC(C)[N+]1(CC)C, cl: C1CCC(C)[N+](C)CC1C, target: CC1CCCC(C)[N+]1(C)C
origin: C(C)[N+]1(CC)C(C)CCCC1C, cl: C1C(C)[N+](CCC1)(C)), target: C(C)[N+]1(CC)C(C)CCCC1C
origin: CC[N+]1(CC)CCCC(C)C1, cl: C1(C)[N+](CCC(1)C)(CCCCC[[+]1(C)CCCCC1)C, target: CC[N+]1(C)C(C)CCCC1C
origin: [n+]1(CC)ccn(C)c1, cl: c1n(C)cc[n+]1CC, target: [n+]1(CC)cn(C)cc1
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1[N+](C)(CCCC)(C)CCCC, target: CC1CC(C)C[N+](C)(C)C1
origin: NCCNCCNCCN, cl: C(CN)NCCNCCN, target: NCCNCCNCCN
origin: N(CCN)CCC, cl: C(CNCCCNCNNCCO)N, target: N(CCN)CCCNCCN
origin: C1(C)(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: C1NC(C)(CCCN(CCN(C)CCCN1C)C)C, target: C1(C)(C)NCCN[C@@H](C)CC(C)(C)NCCN[C@@H](C)C1
origin: C[C@@H]1N(C)C, cl: [C@H]1(C)Cn[cc](c)))C, target: C[C@@H]1NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C[N+]1(C)CC(CCCC)(C)CC1, target: [N+]1(C)(C)C[C@@H](C)C[C@@H](C)C1
origin: [C@@H]1(Ccnccc1)cccc1, cl: C[N+]1(C)CC(CC(C)C1)C, target: [C@@H]1(C)C[N+](C)(C)C[C@@H](C)C1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C[N+]1(C)CC(C)(C2CC1C2(C)C)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C1C(C)[N+](CC(())CC(C)C)CC1, cl: C1CCC(C)[N+](C1))CC, target: C1C(C)[N+](CC)(CC)C(C)CC1
origin: C1CCC2[N+](C)(CCCCCC[N+]2(C)C4CCCCCC3)C1CC2, cl: C12[N+](C)CC((CCC2)CC1)C, target: C1CCC2[N+](C)(C)C1CCC2
origin: C1CC(C)[N+](C))CC1C(())C(C)CC1C, cl: C1(C)CCCC([N+]1(CC)CC)C, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1[N+](C)(C)CC2C(C1CC2)C, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1[N+](C)CC(C)1CCC, target: C[N+]1(C)C(C)CCCC1C
origin: CC1(C)[N+](C)(CCCCCNNCCC)CC1, cl: CC[N+]1(CCCCCCC1)C, target: CC1(C)[N+](C)(CC)C(C)(C)CCC1
origin: C1CCC(C)[N+](C)(C)C1C, cl: C(C)[N+]1(C)C2CCCC1CCC, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C1(C)CCCC(C)[N+]1(CCCCCC)C, cl: CC1CCCC(CN[[+]22(CCCC2)C)C1, target: C1(C)CCCC(C)[N+]1(C)C
origin: C12CCC[N+](C)(C)C1CCCC2, cl: C12C(C)(C)C(CC)[N+](C)(C)CCCCC2, target: C12CCC[N+](C)(C)C(C1)C2(C)C
origin: C1C2(C)CCNCCCC[2+]1CC(C)C, cl: C12(C)CC(CC(C1)[N+](C)(C)C2)(C)C, target: C1C2(C)CC(C)(C)CC1[N+](C)(C)C2
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1CCC2CC(CN(C2)C[[+]22(CCCC2)C1, target: C[N+]1(C)CCCC2CC1C2(C)C
origin: C12CC(C(C)(C)CN(C)C1)[N+](C)(C)C2, cl: [N+]1(C)(C)CC(CCCC)(C)C11CCCCC1, target: C12CC(C(C)CC[N+]1(C)C)C2(C)C
origin: CC(N(C(C)C)CC)C, cl: C(C)N(C(C)C)C(C)C, target: CC(N(C(C)C)CC)C
origin: CC(N(C(C)C)CC)C, cl: N(C(C)C)(CC)C(C)C, target: CC(N(C(C)C)CC)C
origin: CC(C)N(CC)CCC, cl: C(C)(N(C())))(, target: CC(C)N(CC)C(C)C
origin: n1(CC)c[n+](C)cc1, cl: [n+]1(C)cn(Cc)c1CC, target: n1(CC)c[n+](C)cc1
origin: CC(C)N(C())C, cl: CCN(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C([P+](CC)CCCCC[[+]1(C)CCCCC1)C, cl: [P+](CC)(CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C1C(C)CC(C)C[N+]1(CC)CC, cl: C1(C)C[N+](CC(C))1)(CC)CC, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(C)C1CCCC[N+]1(C)C, cl: C1(CC)CCCC[N+]1(C)C, target: C(C)C1CCCC[N+]1(C)C
origin: C1(C)[N+](CC)(C))(CCCCCCCC, cl: C1CC(C)[N+](CC1(())))CC(C)C, target: C1(C)[N+](C)(CC)C(C)CCC1
origin: C1(C)CCCC(C)[N+]1(CC)CC, cl: C1(C)CCCC([N+]1(CCCCC))C, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1CC(C)[N+](C))CC1CC(C)(C)CC1, cl: C1CC(C)[N+](C)CCCCCCC, target: C1CC(C)[N+]2(CCCC2)C(C)C1
origin: CC1(C)C=CC(C)(C)C[N+](C)(C)C1, cl: C[N+]1(C)(C)CC(CCCC)CC11CCCCC1, target: CC1(C)C=CC(C)(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC(N(CC)C(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: CC(N(CC)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: CC(C)N(CCCCCN(CCC)CCC)CC, target: CC(N(C(C)C)CC)C
origin: N1(C)CCN(C)CCN(C)CC1, cl: N1(C)CCN(C)NCCN, target: N1(C)CCN(C)CCN(C)CC1
origin: CN1CCN(C)CCN(C)CC1, cl: C1N(C)CCN(CCCN(C)CCN(CC1)C)C, target: CN1CCN(C)CCN(C)CC1
origin: C1CC[C@H]+](c)c11(C)CcCc(1)C, cl: [N+]1(C)(CCCCCC))CCCCCC, target: C1CC[C@H](C)[N+](C)(C)[C@@H]1C
origin: [N+]1(C)(C)C2CC(C)CCCCC2CC, cl: C[C@@H]1[(+](C)(C)C)CCCC[[+]1(C)CCCCC, target: [N+]1(C)(C)[C@H](C)CCC[C@@H]1C
origin: C1CC[C@@HC+]2ccccc1, cl: C1CC[C@H]+]1CCCC, target: C1CC[C@@H](C)[N+](C)(C)[C@H]1C
origin: [C@H]1(C)CnCCcCc1F, cl: [C@H]1(C)CCCCC[N+]1(C)C, target: [C@H]1(C)C[C@@H](C)C[N+](C)(C)C1
origin: C[N+]1(C)CCCCCCC, cl: C[N+]1(C)CCCC2CCCCC22, target: C[N+]1(C)C[C@@H](C)C[C@@H](C)C1
origin: C[C@H]1C[n+]1c(n)ccC, cl: C1[C@@H](]2CCCC22CCCCC2)CC1, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: CC[P+](CC)(CC)CC, cl: C(C)[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CC1CC(C)C[N+](C)(C)C1, cl: [N+]1(C)(C)CC(CCCC)(C)C11CCCCC1, target: CC1CC(C)C[N+](C)(C)C1
origin: C1C(C)C[N+](C)(C)CC1C, cl: C[N+]1(C)CC(CC(C1)C)C, target: C1C(C)C[N+](C)(C)CC1C
origin: C(C)[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: CC1CC(C)C[N+](C)(C1CCCC1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C1(C)C[N+](C)(C)(CCC1)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: C(C)[P+](CC)(CC)CC, cl: [P+](CC)(CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C(C)[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C([P+](CC)(CC)CC)C, cl: CC[P+](CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: CC[P+](CC)(CC)CC, cl: [P+](CC)(CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: CCN(C(C)C)C(C)C, cl: CC(C)N(C(C)C)CC, target: CCN(C(C)C)C(C)C
origin: C1[NH2+]CC2CCCC1C, cl: C1[C@H](C2(CCCC2)C2)C, target: C1[NH2+]C[C@@H](C)C[C@H]1C
origin: C[C@H]1[N+](C)2CC3CC(CC(C3)C2)C1)CCC, cl: [NH2+]1[C+(()))CCCC1, target: C[C@H]1[NH2+][C@@H](C)CCC1
origin: CCN(C(C)C)C, cl: CCN(C(C)C)C(C)C, target: CCN(C(C)C)C(C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(C)(C)N(C(C)C)CC, target: C(C)(N(C(C)C)CC)C
origin: CC(C)N(C(C)C)CC, cl: CCN(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1[N+](C)(C)C22C(CCCC2)CC1, target: CC1CC(C)C[N+](C)(C)C1
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: N(CC)(C(C)C)C(C)C, cl: C(C)(N(CC)C(C)C)C, target: N(CC)(C(C)C)C(C)C
origin: N(C(C)C)(CCCCCN(CCC)C)C, cl: C(C)N(C(C)C)C(, target: N(C(C)C)(CC)C(C)C
origin: C([N+]1(C)C(C)CCCC1C, cl: C1(C)(C)[2+](CCC(11CCCC))CC)C, target: C([N+]1(C)C(C)(C)CCCC1(C)C)C
origin: C(N(CC)C())C, cl: CC(C)N(C(C)C)CC, target: C(N(CC)C(C)C)(C)C
origin: C1C[C@H](](c[c]]cc1)c1ccccc1, cl: [C@@H]1(C)C(C)CCC[[+]1(C)CCCCC, target: C1C[C@H](C)[N+](CC)(CC)[C@H](C)C1
origin: CC1C[N+](C)(C)CC(C)C1, cl: CC1C[N+](C)(CC(C1)C)C, target: CC1C[N+](C)(C)CC(C)C1
origin: C(N(C(C)C)CCCCC((())))C)C, cl: CC(N(C(C)C)CC)C, target: C(N(C(C)C)C(C)C)C
origin: C(C)(N(C(C)C)CC)C, cl: C(N(C(C)C)CC)C, target: C(C)(N(C(C)C)CC)C
origin: CC1CC(C)C[N+](C)(C)C1, cl: C1(C)C[N+](C)(CC(C1)C)C, target: CC1CC(C)C[N+](C)(C)C1
origin: C(C)(C)N(CCCCCN(CCC)CCC)CCC, cl: N(C(C)C)(CC)C, target: C(C)(C)N(CC)C(C)C
origin: C1[N+](C)CCC(C)C1, cl: C1C(C)C[N+](C)(CC1C)C, target: C1[N+](C)(C)CC(C)CC1C
origin: C(C)[N+](CC)(CC)CC, cl: [N+](CC)(CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: CC(C)N(C())C, cl: CCN(C(C)C)C(C)C, target: CC(C)N(C(C)C)CC
origin: C(C)N(C(C)C)C(C)C, cl: C(N(CC)C(C)C)(C)C, target: C(C)N(C(C)C)C(C)C
origin: C1[C@H](C([N+]2(C)CCCCC2)CC(C)CC11CCCCC1, cl: C[C@@H]1C(C)CCCCC[n+]1cc(()(n)C)C)C, target: C1[C@H](C)C[NH2+]C[C@H]1C
origin: C[C@@H]1C(n)cccc1, cl: [C@@H]1(CCCC[C+](C)(C)C)cCccc1C, target: C[C@@H]1CCC[C@H](C)[NH2+]1
origin: C1(C)CCCC(C)[N+]1(CCCCCCNCCCCCC)C, cl: C1C(C)[N+](C)CC(C1)C, target: C1(C)CCCC(C)[N+]1(C)C
origin: CC1[N+](C))CCCC(C)C1, cl: C(C)[N+]1(CC)CC2C(C3)41(=CC(C2C2C[C+](CC)(CC)C3)C)C1, target: CC1[N+](CC)(CC)C(C)CCC1
origin: CC1CCCC(C)[N+]1(CCCCCCNCCCCCC, cl: C(C)[N+]1(CC)CC(C)CC(C1)C, target: CC1CCCC(C)[N+]1(CC)C
origin: CC[n+]1cn(C)cc1, cl: Cn1c[n+](cc1)CC, target: CC[n+]1cn(C)cc1
origin: CC1C[N+](C)(C)CC(C)C1, cl: C1(C)CC(C)C[N+](C)(C)C1, target: CC1C[N+](C)(C)CC(C)C1
origin: C(N)CNCCNCCN, cl: C(CNCCNCCNNNNC))C, target: C(N)CNCCNCCN
origin: N(CCCNCCNCCC)), cl: C(CN)NCCCCC, target: N(CCCNCCN)CCN
origin: N1[C@@H](](CcCccccc2)(C)Cc1ccccc1, cl: C1[C@H](C2CCC(C2)C1)c, target: N1[C@@H](C)CC(C)(C)NCCN[C@@H](C)CC(C)(C)NCC1
origin: [C@@H]1(CCC)[C+](CC)(CCCCCC)C, cl: C1(C)(C)CC(NCCNC(CC(NCCN1)())C)C, target: [C@@H]1(C)NCCNC(C)(C)C[C@H](C)NCCNC(C)(C)C1
origin: C[C@H]1C[n+]1c(c)c(C)n1C, cl: C[N+]1(C)CC(CCCC)(C)C11CCCCC1, target: C[C@H]1C[N+](C)(C)C[C@@H](C)C1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: [C@@H]1(C)CCCC[N+](C)(C)C, target: C[N+]1(C)C[C@@H](C)C[C@H](C)C1
origin: [N+]1(C)(C)C2CCCC12CC(CC))C1, cl: C1(C)CC(C)N[N+](C))C1, target: [N+]1(C)(C)CC(C)CC(C)C1
origin: CC1[N+](CC(())CC(()CC)CCC))C1C, cl: C1(C)CCCC(CN[N+]1(C)C)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1C2[N+](C)(C)CCCC2CCC, cl: [N+]1(C)(CCCCCC))CCCCC, target: C1C2[N+](C)(C)C(CC1)CCC2
origin: CC1[N+](CC(()CC)CCCC)CC1, cl: C1CCC(C)[N+](C1))C(C)C, target: CC1[N+](CC)(CC)C(C)CCC1
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: [N+]1(C)(C)CC(CCCC)(C)C11CCCCC1, target: C1(C)CC(C)C[N+](C)(C)C1
origin: C([P+](CC(())C)(C)C)C, cl: [P+](CC)(CC)(CC)CC, target: C([P+](CC)(CC)CC)C
origin: C1C(C)[N+](CC(())C)CC(C)(C)CC1, cl: C[N+]1(C)CC(C)(C)CCC1, target: C1C(C)[N+](C)(C)C(C)CC1
origin: [N+]1(C)(C)CC2C(C3C=CC2C2C3C[C+](C)(C)C3)C2, cl: C1(C)(C)[2+](C)(CCCC1)C, target: [N+]1(C)(CC)C(C)(C)CCCC1(C)C
origin: C1(C)CCCC(C)[N+]1(CCCCCC)C, cl: CC[N+]1(CCCC(C)(C1CCCC1)C)C, target: C1(C)CCCC(C)[N+]1(CC)CC
origin: C1C(C)[N+](C)(C)C(C)CC1, cl: C[N+]1(C)CC(C)(CCC1)C, target: C1C(C)[N+](C)(C)C(C)CC1
origin: C1C2[N+](C)(C)CCCC2CCC, cl: C[N+]1(C)CC(C)(C)CCC1, target: C1C2[N+](C)(C)CCCC1C2(C)C
origin: C[N+]1(C)CC2CCCCC2CC11, cl: CC1(C)CC2[N+](CCCCCC2)CC1, target: C[N+]1(C)C2CC(C)(C1)CC(C)(C)C2
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: CC1(C)C2C(1CCC[C+]2(C)C)C, target: [N+]1(C)(C)CCCC2C(C)(C)C1C2
origin: C12C(C)(C)C(CNCC1)C[N+](C)(C)C2, cl: C1C2[N+](C)(CCCCCCCCC))C1CC(C)C2, target: C12C(C)(C)C(C1)[N+](C)(C)CCC2C
origin: C(C)(N(CC)C(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: C(C)(N(CC)C(C)C)C
origin: C(C)(N(CC)C(C)C)C, cl: CC(C)N(CCCCN(C)C)C, target: C(C)(N(CC)C(C)C)C
origin: CC(C)N(CC)CCC, cl: CC(C)N(CCCCC(())CCCC(()))CCCC((()))CCCCCC((()))C(C(C)N)CCCC, target: CC(C)N(CC)C(C)C
origin: c1[n+](C)cnnCC, cl: C(n1cc[n+](c1)C)C, target: c1[n+](C)ccn1CC
origin: C(C)(N(CC)C(C)C)C, cl: N(C(C)C)(CC)C(C)C, target: C(C)(N(CC)C(C)C)C
origin: C(C)[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C1C(C)C[N+](C))CC1CCCCC, cl: C1(C)C[N+](CC(C))1)(C)), target: C1C(C)C[N+](C)(C)CC1C
origin: C1CCC[N+](())CCCC(()(C)C)C1, cl: C1CC(CC)[N+](CC1(()C)C)(C)C, target: C1CCC[N+](C)(C)C1CC
origin: CC[N+]1(CCCCCN[C+]2CCCCCCC))CCCCCCC, cl: C1CC(C)[N+](CC)(CCCC)CC1, target: CC[N+]1(C)C(C)CCCC1C
origin: [N+]1(CC)(CC)C(C)CCCC1C, cl: C([N+]1(CCCC(C1)CC(C)C)C)C, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: C1C[N+]2(CCCC2CCC))CC1CCCC1, cl: C1CCC[N+](())C((C)C)CC, target: C1C[N+]2(C(C)CCCC2C)CC1
origin: CC1(C)C=CC(C)(C)C[N+](C)(C)C1, cl: C1C(C)(C)NCCCC1, target: CC1(C)C=CC(C)(C)C[N+](C)(C)C1
origin: C([N+](CC)(CC)CCCCCCCCCCCCCCCCCCCCCCC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(N(C(C)C)CCCCCN(C)C)C, cl: N(CC)(C(C)C)C(C)C, target: C(N(C(C)C)C(C)C)C
origin: CC(N(C(C)C)CC)C, cl: CC(N(C(C)C)CC)C, target: CC(N(C(C)C)CC)C
origin: CN1CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1, cl: N1(C)CCN(CCN(CCC)CCN(CCC))CCCC, target: CN1CCN(C)CCN(C)CC1
origin: C1N(C)CCN(C)CCNNCCCC, cl: C1CN(C)CCN(CCN(CCC(C)NCC1)C)C, target: C1N(C)CCN(C)CCN(C)C1
origin: C1[C@@H](]2ccccc2)CCC(CC(C2CCcCccc[2+](C)C)C, cl: C[C@H]1CCC2(C)(CCCC))2CCC, target: C1[C@@H](C)[N+](C)(C)[C@@H](C)CC1
origin: C[C@H]1CCnCccc1, cl: C[N+]1(C)CCCCCCCC1, target: C[C@H]1CCC[C@@H](C)[N+]1(C)C
origin: [C@H]1(C)CnCcccc1, cl: [C@H]1(C)CCCC[[+]2(C)CCCC, target: [C@H]1(C)[N+](C)(C)[C@@H](C)CCC1
origin: C[C@@H]1C(n1ccccc1)CNCC, cl: C[N+]1(C)CCC(22CC(C)(C)C12CCCC1)C, target: C[C@@H]1C[N+](C)(C)C[C@H](C)C1
origin: C1[C@H](C([)+]2ccccc1)CC(CCCC2CC[N+](C)(Cc3ccccc3)CC2)CC1, cl: [C@H]1(C)CC(C)(C)C, target: C1[C@H](C)C[N+](C)(C)C[C@@H]1C
origin: C[N+]1(C)C22C(C)CCCCC1CC, cl: C1[N+](C)(CCCCCCNNCCCC)CC, target: C[N+]1(C)C[C@H](C)C[C@H](C)C1
origin: CC[P+](CC)(CC)CC, cl: CC[P+](CC)(CC)CC, target: CC[P+](CC)(CC)CC
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)C[N+](C)(CCCC)(C)C1, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1C(C)CC(C)C[N+]1(C)C, cl: C[N+]1(C)CC(C)(C)CCC1, target: C1C(C)CC(C)C[N+]1(C)C
