origin: C1CNCCC1N, cl: C1CNCCC1N, target: C1CNCCC1N1CCCCC1
origin: C1C2CC3([N+](C)(C)C)CC(C1)CC2C3, cl: C[N+](C)(C)C12CC3CC(CC)CC1C3, target: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2
origin: C1N(CCN)CCCC, cl: C(N)CN1CCNCC1, target: C1N(CCN)CCNC1
origin: C[N+](C)(C1CC23CC(CCC2)CC1)CCC[, cl: C12CC3([N+](C)(C)C)CC(CC)CC1C3, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C[N+](C)(C1CC23CC(CNCC))CC(C))C(C2CC)C, cl: C[N+](C12CC3CC(CC)CC1C3)(C2CCCC12CCCC), target: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C12CC3CC(CC(CN)C3)C[N+]2(CC)C, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2
origin: C1CCCCC1N, cl: NC1CCCCC1, target: C1CCCCC1N
origin: C1CCCCC1N, cl: C1C(N)CCCC1, target: C1CCCCC1N
origin: [N+](C)(C)(C1CCCCC11CCCCC1, cl: C1C2CC3CC(CC)(CNCC))[[+]21CC, target: [N+](C)(C)(C12CC3CC(C1)CC(C2)C3)C
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC(()C)CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: CCCCNC, cl: N(C)CCCC, target: CCCCNC
origin: CCCNCCC, cl: N(CCC)CCC, target: CCCNCCC
origin: CCCNCCC, cl: C(CNCCC)C, target: CCCNCCC
origin: CC(C)NC(C)C, cl: CC(NC(C)C)C, target: CC(C)NC(C)C
origin: CC(C)NC(C)C, cl: CC(NC(C)C)C, target: CC(C)NC(C)C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: [N+]1(C)(C)CC(C)CC(C)C1, cl: C1C[N+](C))C((C)CC1C)C, target: [N+]1(C)(CC)C(C)CCCC1
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1C(C)(C)N[C+](C)(CCCC)(C1CC)C, target: C[N+]1(C)CC(C)(C)CCC1
origin: C(C)[N+]1(CCCCCN[C+]2CCCCCCC))CCCCCCC, cl: C1(C)CCC[N+]21CC(CCC2)(C)C, target: C(C)[N+]1(CC)CC(C)CCC1
origin: [N+]1(CC)(CC)C(C)CCCC1C, cl: C([N+]1(CC)CC(CCCC)C1)C, target: [N+]1(CC)(CC)CC(C)OC(C)C1
origin: C([N+]1(CC)C(C)CCCC1C)C, cl: C(C)[N+]1(CC)CC(CCCC)C1(C)C, target: C([N+]1(CC)CCCC(C)(C)C1)C
origin: C1C(C)C[N+](C))CC1C(())C(C)CC1C, cl: CC[N+]1(CC)CC(CCCC)CC1C, target: C1C(C)C[N+](CC)(CC)CC1C
origin: C(C)([N+]1(C)CC(C)(C)CCC1)C, cl: C[N+]1(C(())))CCCC1CCCC1, target: C(C)([N+]1(C)CCCC(C)(C)C1)C
origin: C1[N+]2(C(C)CCCC2C)CCC1, cl: C1CCC[N+](()CC)(CCCC)N11CCCCC1, target: C1[N+]2(CCCC1(C)C)CCCC2
origin: C1[N+]2(CCCC2)C(())C(C)CC1, cl: C1C(C)C[N+](CC)CC(C1)C, target: C1[N+]2(C(C)CCC2)CC(C)CC1C
origin: N1CCOCC1, cl: O1CCNCC1, target: N1CCOCC1
origin: C1N(C2CCNCC2)CCNCC, cl: C1CC(N2CCCNC2)CCN1, target: C1N(C2CCNCC2)CCCC1
origin: C(NCC)C, cl: C(C)NCC, target: C(NCC)C
origin: C(NCCN)CN, cl: C(CNCCN)NCCN, target: C(NCCN)CN
origin: C1NCCC(N2CCCCC2)C1, cl: C1N(C2CCNCC2)CCC1, target: C1NCCC(N2CCCCC2)C1
origin: c1ccccn1, cl: c1ccncc1, target: c1ccccn1
origin: c1ncn(C)c1, cl: c1n(C)ccnn1, target: c1ncn(C)c1
origin: N(CCC)CCC, cl: CCCNCCC, target: N(CCC)CCC
origin: N(CCC)CCCC, cl: C(NCCC)CC, target: N(CCC)CCC
origin: c1cc[nH+]1cc, cl: [nH+]1ccccc1, target: c1cc[nH+]cc1
origin: [NH+]1(C)C==C11=CC1C=C2CCCCC11, cl: C[NH+]1C=NN=C1, target: [NH+]1(C)C=CN=C1
origin: N1(C)CCCC(1)CCN(C)CCCN, cl: N1(C)CCCC(1)C1NNCCCC, target: N1(C)CCCCC1
origin: C[N+](C)(C)CCCCCC[N+](C)(C)C, cl: C[N+](C)(C)CCO, target: C[N+](C)(C)C
origin: C[N+](C)(C1CC2CCCCCC2)CCC, cl: C12([N+](C)(C)C)CC3CC(CC)CC1C3, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C[N+](C)(C1CCCCC1)C, cl: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C1COCCN1, cl: C1CNCCO1, target: C1COCCN1
origin: O1CCNCC1, cl: N1CCOCC1, target: O1CCNCC1
origin: C1C(N)CCCC1, cl: C1CC(N)CCC1, target: C1C(N)CCCC1
origin: C1C(N)CCCC1, cl: C1CC(N)CCC1, target: C1C(N)CCCC1
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1CNCCN1C, cl: C1CN(C)CCN(, target: C1CNCCN1C
origin: C12C[N+](C)(CCCC1)CC2, cl: C1CCC2C(CNCC2)C1, target: C12C[N+](C)(C)CCCC1CCCC2
origin: C12CCC[N+](C)(C)C1CCCC, cl: C1CC2C([N+](C)(C)CCC2CC))C1, target: C12CCC[N+](C)(C)C1CCCC2
origin: C1CC2[N+](C)(CC)C(CC2)C1, cl: C[N+]1(C)CCCC2CCCCC22, target: C1CC2[N+](C)(C)CCCC2CC1
origin: C1CCCC2[N+](C)(C)CCCC, cl: C12CCCCC1[N+](CCC2)(C)C, target: C1CCCC2[N+](C)(C)CCCC12
origin: C12CCCC1CCC[2+]1(C)C, cl: C1[N+](C)(C)CC2CCCCCC11, target: C12CCCC1CCC[N+]2(C)C
origin: C[N+]1(C)CC2C3CCC(C1C2CCC3)C[, cl: C1C2CC[N+](C)(C1CC2)C, target: C[N+]1(C)CC2CCCC2CC1
origin: C1CCNCC1, cl: C1CCNCC1, target: C1CCNCC1
origin: C1NCCOC1, cl: C1CNCCO1, target: C1NCCOC1
origin: C1CNCCCNC, cl: C1CCNCCNC, target: C1CNCCCNCCNCCCN1
origin: [n+]1(C)cc(()ncC1C)C, cl: Cn1cc[n+](C1ccccc1)C, target: [n+]1(C)cn(C)cc1
origin: C([n+]1cc(()cncC))1CC, cl: n1(C)cc[n+](C1ccccc1)C, target: C([n+]1ccn(C)c1)C
origin: C(C)N(CC)CC, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC))C, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: N1CCOCC1, cl: C1COCCN1, target: N1CCOCC1
origin: C1COCCN1, cl: N1CCOCC1, target: C1COCCN1
origin: C1COCCN1, cl: C1NCCOC1, target: C1COCCN1
origin: CC[n+]1ccn(C)c1, cl: CC[n+]1ccn(C)c1, target: CC[n+]1ccn(C)c1
origin: C1CCNCC1, cl: N1CCCCC1, target: C1CCNCC1
origin: C1NCCCC1, cl: C1CCNCC1, target: C1NCCCC1
origin: C1CCCCN1, cl: C1CCCCN1, target: C1CCCCN1
origin: C1CCCCN1, cl: C1CCCCN1, target: C1CCCCN1
origin: C(C)[N+](CC)(CC)CC, cl: C([N+](CC(()C)CC)(C)C)C, target: C(C)[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC(()))CC(, target: CC[N+](CC)(CC)CC
origin: C1(N)CCCCC1, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: C1CCCC(N)C1, cl: C1CCCCC1N, target: C1CCCC(N)C1
origin: C12CC3CC(CC(CN)C3)C[N+]2(CC)CC, cl: C1C2CC3CC(CN1C3)CN, target: C12CC3CC([N+](C)(C)C)(C1)CC(C3)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1NCCOC1, cl: C1COCCN1, target: C1NCCOC1
origin: C1C2CC3CC(C2)CC1C[N+]3(C)C, cl: C1C2CC3CC([2+](C)(C)C))C11C3, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1([N+](C)(C)C)CCCCC1, cl: C1CC([N+](CC)(C)CC11)C, target: C1([N+](C)(C)C)CCCCC1
origin: [N+](CC)(CC)(CC)CC, cl: [N+](CC)(CC)(CC)C, target: [N+](CC)(CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: C([N+](CC(()C)CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: C1C2CC3CC(C2nC[c+]1cc(()55C4(CCCC5(C4CC5C56CC)C3)CC2)C, cl: C[N+](C12CC3CC(CC(C3)C2)C1)(C)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C([N+](CC(())())C)CCCCCCCCCCCCC, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C(CN(CCO)CCO)C, cl: N(CCO)(CCC)CCC, target: C(CN(CCO)C)O
origin: N(CCO)(CCOCC)C, cl: CCN(CCO)CC, target: N(CCO)(CCO)CC
origin: [N+](CC)(CC)(CC)CC, cl: C([N+](CC(()C)CC)(C)C)C, target: [N+](CC)(CC)(CC)CC
origin: C1CCCC2CCC[N+](C)(C)C1, cl: C12C[N+](C))C(CC(C1)CC2)C, target: C1CCCC2CCC[N+](C)(C)CC12
origin: C1CCCC2CCC[N+](C)(C)C1, cl: C1CC2CCC[N+](C)CC2CC, target: C1CCCC2CCC[N+](C)(C)C12
origin: C1CCCC2C1CCCCN[N+]1(C)C, cl: C1CC[N+](C)(CCCCC[N+]2(C)CCCC22CC1CC2, target: C1CCCC2C1CCC[N+]2(C)C
origin: C1CCCC2[N+](CC(()CC)CCC2)CC, cl: C1CCCC2C1NCCCC[N+]2(C)C, target: C1CCCC2[N+](C)(C)CCCC12
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C12CCCC1[N+](C)(C)CCC2, target: C[N+]1(C)CCCC2C1CCC2
origin: C1C[N+](C)CC22CC1CCCC2, cl: C1C2CCCC2CN[N+]1(C)C, target: C1C[N+](C)(C)CC2C1CCC2
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CCC(N)CC1, cl: C1CCC(N)CC1, target: C1CCC(N)CC1
origin: C1C(N)CCCC1, cl: C1C(N)CCCCC, target: C1C(N)CCCC1
origin: C1CNCCC1, cl: C1NCCCC1, target: C1CNCCC1
origin: n1ccccc1, cl: c1ccccn1, target: n1ccccc1
origin: [n+]1(C)ccCC(C)n1C, cl: c1c[n+](C)c(11CCCCC1)C, target: [n+]1(C)cn(C)cc1
origin: c1[n+](C)c(C)n(C)c1, cl: c1n(C)cc[n+]1C, target: c1[n+](C)ccn1C
origin: c1[n+](C)c(C)n(C)c1, cl: c1c[n+](C)c(1)C1CCCC1, target: c1[n+](C)c(C)n(C)c1
origin: Cc1n(C)ccCnnC, cl: c1(C)[n+](cc(C1nnccc1)C)C, target: Cc1n(C)cc[n+]1C
origin: C[n+]1ccnCC, cl: [n+]1(C)cc(())(n)C)c1, target: C[n+]1ccn(C)c1C
origin: c1(C)c[n+](C)c(C)n1C, cl: c1(C)c[n+](C)cn1C, target: c1(C)c[n+](C)cn1C
origin: Cc1n(C)c[n+](C)c1, cl: Cn1c(C)c[n+](C1cCcccc1)C, target: Cc1n(C)c[n+](C)c1
origin: c1(C)n(C)c(C)[[+]1ncCCC, cl: C[n+]1c(C)n(c)1)C, target: c1(C)n(C)c(C)c[n+]1C
origin: c1[n+](C)c(C)n(C)c1, cl: Cn1c(C)[n+](Cccc1)C, target: c1[n+](C)c(C)n(C)c1C
origin: C[N+]1(C)CC(C)CC(C)C1, cl: C1[N+](C)(CCCC)(CCC1)C, target: C[N+]1(C)CC(C)CC(C)C1
origin: C1(C)CC(C)C[N+](C)(C)C1, cl: CC1C[N+](CC(C1CCCC1(C)C)(C)C)CC, target: C1(C)CC(C)C[N+](CC)(CC)C1
origin: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, cl: C1C2CC3CC(CC1([3+](C)(C)C)C3)CN, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: C1([N+](C)(C)C)CCCCC1, cl: C1CCCC([N+](C)(C)C)C1, target: C1([N+](CC)(C)C)CCCCC1
origin: [N+](CC)(CC)(CC)CC, cl: C([N+](CC)(CC)CC)C, target: [N+](CC)(CC)(CC)CC
origin: C1CNCCO1, cl: C1OCCNC1, target: C1CNCCO1
origin: C1NCCOC1, cl: N1CCOCC1, target: C1NCCOC1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: CC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N, cl: C1(N)CCCCC1, target: C1CCCCC1N
origin: C1CCC(N)CC1, cl: C1CCCCC1N, target: C1CCC(N)CC1
origin: C1=CC2C3C[N+](CC)(CC)CC3C1C1C[N+](CC)(CC)CC22, cl: CC[N+]1(CC)CC(CC(C)C1)C, target: C1=CC2C3C(C[N+](CC)(CC)C3)C1C1C[N+](CC)(CC)CC21
origin: n1(C)cncc1, cl: c1n(C)cncc, target: n1(C)cncc1
origin: c1ccncc1, cl: c1cccnc1, target: c1ccncc1
origin: c1(C)ccncC1, cl: n1ccc(C)c1, target: c1(C)ccncc1
origin: n1(C)c[n+](C)ccC, cl: CC[n+]1ccn(C1ccccc1)C, target: n1(C)c[n+](CC)cc1
origin: C([N+](CC)(CC)CC)C, cl: CC[N+](CC(()))CCC, target: C([N+](CC)(CC)CC)C
origin: NC1CCCCC1, cl: NC1CCCCC1, target: NC1CCCCC1
origin: C[N+](C)(C)C12CC3CC(CC)CC(C3)C1)C2, cl: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, target: C[N+](C)(C)CCO
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C1C2CC3CC((N)CC1)CC2, cl: C1C2CC3CC(CN1CC)C33CCNCC2CC1, target: C1C2CC3CC([N+](C)(C)C)(C2)CC1C3
origin: CCc1[n+](C)cc(C)n1C, cl: C[n+]1cc(C)n(C)c1C, target: CCc1[n+](C)cc(C)n1C
origin: C(c1[n+](C)cc(C)n1C)C, cl: Cc1c[n+](C(c)C1nCC)C, target: C(c1[n+](C)cc(C)n1C)C
origin: C(C[N+](C)(C)C)OCCO, cl: C(CO)[N+](C)(C)C, target: C(C[N+](C)(C)C)O
origin: [N+](CC)(C))CCCC(C)C, cl: CC[N+](CC()CCCCCCC[N+](CC)(CC)CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C[N+](C1CCCCC1)(C)C, cl: [N+](C1CCCCC1)(C)(C)CC, target: C[N+](C1CCCCC1)(C)CC
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: C(C)[N+](CC(C)CC)CCCCCCN, cl: CC[N+](CC((C)C)(C)C)C, target: C(C)[N+](CC)(CC)CC
origin: N(CC)CC, cl: CCNCC, target: N(CC)CC
origin: C(CN)NCCNCCN, cl: C(CN)NCCNCCN, target: C(CN)NCCN
origin: C(NCCN)CN, cl: C(CN)NCCN, target: C(NCCN)CN
origin: C(N)CNCCOC, cl: N(CCN)CCO, target: C(N)CNCCO
origin: C(CNCCO)N, cl: NCCNCCO, target: C(CNCCO)N
origin: NCCNCCNCCN, cl: C(CNCCNCCN)C, target: NCCNCCNCCN
origin: C(N)CCNCC, cl: NCCCNCCNCCC, target: C(N)CCNCCNCCCN
origin: NCCCNCCNCCN, cl: NCCCNCCNCCNCCN, target: NCCCNCCNCCCN
origin: NCCNCCNCCN, cl: C(N)CNCCNCCN, target: NCCNCCNCCNCCN
origin: C(CNCCN)N, cl: N(CCNCCN)CCC, target: C(CNCCN)NCCNCCN
origin: NCCNCCNCCN, cl: C(NCCN)CNCCNCCN, target: NCCNCCNCCNCCNCCN
origin: C1C2CC3CC(CN1CC)CC2NNCCC, cl: [N+](C12CC3CC(CC)CC(C3)C2)(C)(CCCC1)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, cl: C1C2CC3CC([C+](C2(C)C)(C1)C)C3, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3, cl: C12CC3CC(C1(CCCC3)CN)N2CCC, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C1C2CC3CC1[C+](C)C((N)C)CC(C3)C2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2
origin: C1C2CC3CC([C+](C))cn(C3)C11C2CCC[N+]1(C)C, cl: C[N+](C)(C1CCCCC1)CC, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, cl: C[N+](C)(CCC)C, target: C[N+](C)(CCO)C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1OCCNC1, cl: N1CCOCC1, target: C1OCCNC1
origin: C(C)CNCCC, cl: CCCNCCC, target: C(C)CNCCC
origin: C1CCCCC1N, cl: C1CCCCC1N(, target: C1CCCCC1N
origin: C1OCCNC1, cl: C1OCCNC1, target: C1OCCNC1
origin: N(CC)CC, cl: CCNCC, target: N(CC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(N)CNCCNCCN, cl: N(CCNCCNCCN)CCN, target: C(N)CNCCNCCNCCN
origin: C(CNCCNCCNNCCCCCNNC(C)C, cl: C(NCCNCCN)CNCCN, target: C(CNCCNCCNCCNCCN)N
origin: NCCNCCN, cl: C(CNCCN)NCCN, target: NCCNCCN
origin: C(N)CNCCOCCN, cl: C(CN)NCCOCNNCCO, target: C(N)CNCCO
origin: C(CN)NCCNCCN, cl: C(NCCNCCN)CNCCN, target: C(CN)NCCNCCN
origin: N(CCCNCCNCCN)CC, cl: C(CN)NCCCC, target: N(CCCNCCN)CCN
origin: C(CNCCNCCNCCN)CN, cl: NCCCNCCNCCCN, target: C(CNCCNCCCN)CN
origin: [N+](C)(C)(C)C12CC3CC(CC(C3)C1)C2, cl: C[N+](C)(C1CCCCC1)CC, target: [N+](C)(C1CCCCC1)(C)C
origin: C([N+](C)(C1CCCCC1)C1, cl: C[N+](C)(C1CCCCC1)C, target: C([N+](C)(C)C)CO
origin: CC[N+](CC1(C)CCCCC))CCCC, cl: CC[N+](CC((CCCCCCCNCC)C)CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C[N+](C)(C)C, cl: C[N+](C)(C)C, target: C[N+](C)(C)C
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C(C[N+](C)(C)C)O, cl: CCC[N+](C)CC, target: C(C[N+](CCC)(CCC)CCC)C
origin: C[NH+](C)C(C)C=O, cl: C[NH+](C)(C)C, target: C[NH+](C)C
origin: C1N2CN3CNNC((CCC3)C1)C2, cl: C1N2CN3CN(C2)C(11)CCCC3, target: C1N2CN3CN(CN1C3)C2
origin: [NH4+].CC([O-])(C)O, cl: C(=O)([O-])O.[NH4+], target: [NH4+].CC([O-])=O
origin: [NH4+].[N-]CC(O)C)O, cl: O=C([O-])OO[[H4+], target: [NH4+].[NH4+].O=C(C(=O)[O-])[O-]
origin: O=C(O)[O-].[NH4+], cl: O=C(O)[O-]., target: O=C(O)[O-].[NH4+]
origin: N(C)(CCO)CCO, cl: OCCN(CCO)C, target: N(C)(CCO)CCO
origin: C(CO)N(CCOCC)C, cl: N(CCO)(C)OCC, target: C(CO)N(CCO)C
origin: N(CCO)(CCCCCCCCCCCCCCN)C, cl: N(CCO)(CCC)CCC, target: N(CCO)(CCO)C
origin: OCCOCCN, cl: C(CO)OCCN, target: OCCOCCN
origin: CC(O)CNCCCCCCCCNNCCC, cl: C(C(C)O)N(C)(, target: CC(O)CNCC(C)O
origin: N(CCO)(CCOCC)C, cl: C(O)CN(CCO)C, target: N(CCO)(CCO)C
origin: CCN(CC)CC, cl: C(CO)N(CCO)C, target: CCN(CC)CCO
origin: CC(C)(CN)C(, cl: C(C(C)(O)C)C(, target: CC(C)(CN)O
origin: C1([N+](C)(C)C)CCCCC1, cl: C1CCCC([N+](CC(())))))C((1)CCCCC[N+]1(C)CCCCC1, target: C1([N+](C)(C)C)CCCCC1
origin: c1ccncc1, cl: c1cccnc1, target: c1ccncc1
origin: C(C)NCC, cl: CCNCC, target: C(C)NCC
origin: N(CC)CC, cl: C(C)NCC, target: N(CC)CC
origin: C(NC(C)C)CN, cl: CC(NC(C)C)C, target: C(NC(C)C)(C)C
origin: CC(NC(C)C)C, cl: CC(C)NC(C)C, target: CC(NC(C)C)C
origin: N(CCN(C)C)CCNCCNCCN, cl: CN(C)CCN(C)C, target: N(CCN(C)C)(C)C
origin: CN(C)CCN(C)C, cl: CN(CCN(C)C)C, target: CN(C)CCN(C)C
origin: C1CCCNCC1, cl: C1CCCNCC1, target: C1CCCNCC1
origin: Cn1cc[n+](CC)c1, cl: [n+]1(CC)cnncc1, target: Cn1cc[n+](CC)c1
origin: Cn1cc[n+](CC)c1, cl: c1c[n+](CnCcc1)C, target: Cn1cc[n+](CCCC)c1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(CCCCCCCCCCCCNNCCCCCN[C+](C)(C)C, cl: C(CCCCCCCCCCCC[C+](C)(C)C)CC, target: C(CCCCCCC[N+](C)(C)C)CCCC
origin: C(CCCCCCCCCCC)CCNCCCCCNNCCCC, cl: C(CCCCCCCCCCCCC[[+]1cCc(ccn1C)C)C, target: C(CCCCCCCCCCCCC)CC[N+](C)(C)C
origin: C1CC(N)CCC1, cl: C1CCCC(N)C1, target: C1CC(N)CCC1
origin: C1CC(N)CCC1, cl: C1(N)CCCCC1, target: C1CC(N)CCC1
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CC)(CC)C, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: N(CC)(CC)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C(NCC)C, cl: N(CC)CC, target: C(NCC)C
origin: C1CCC(C)(N)CCC1, cl: C[N+]1(C)CC(CCCC)CCC1, target: C1CCC(C)(C)C[N+]1(C)C
origin: C1(C)(C)CCNCCCC, cl: CC[N@@+]1(CCCC1CCCC1)C, target: C1(C)(C)CCC[N@@+](CC)(C)C1
origin: C(C)[N@@+(C)CCCCC[C+](CC)(C)C), cl: C[C@@H]1C(C)(C)C, target: C(C)[N@@+]1(C)[C@H](C)CCCC1
origin: C1(C)(C)CC(C)CC([N+]2(CC)CCCC2)C1, cl: CC1(C)CCC[N+](C1)(C)C, target: C1(C)(C)C[N@+]2(CCCC2C)CCC1
origin: C1CC2CCCCC[[+]]2CCCCCC, cl: C1CC2CCCCC2[N+](C1(()C)C)CC, target: C1CC2CCCC([N+]2(CC)C)C1
origin: C12[N+](CC(()CC)CCCC))CC(CCCC2)C1, cl: C12CCC([N+]1(C)CCCCC[N+]1(C)C3CCCC1CC3)CCC2, target: C12[N+](C)(CC)C(CC1)CCC2
origin: C([N+]1(C))2C(C)CC(C)(C)CCCC2, cl: CC[N+]1(CCCC(C)(C1)C)C, target: C([N+]1(C)C2CCC1CCC2)C
origin: C[N+]1(CCCCC[[+]22CCCCCC2)CCCC1, cl: C(C)[N+]1(CCCCCCC))CCCC1, target: C[N+]1(CC)CC2CCC(CC2)C1
origin: C[N+]1(CCCCC[[+]22CCCCCC2)CCCC1, cl: [N+]1(C)(C)C2(CCCCC)CCCC2, target: C[N+]1(CC)CC2CCC(CC2)C1
origin: C1N(C)CC2CC1CN[C+]1(CCCC1)C2, cl: CN1CC2C[N+](CC((21)CC)(C))2, target: C1N(C)CC2CC1C[N+]2(CC)C
origin: C1CC2[N+](C))CC(C2)C1, cl: C12CC([N+](C)(C)C)C2CCC1, target: C1CC2[N+](C)(C)CCCC1C2
origin: C1C2CC3CC([[+]](c)c(C)53CC(C3)CC)C1, cl: C1C2C[N+](C((C1)CC2)CC(()))), target: C1C2CC3CC(C2)CC1[N+](C)(C)C3
origin: [C@H]12C[C+](C)(C)2c1ccccc2)CCC, cl: [C@H]12[Nc3(C)CCCC3)cCc1ccc2, target: [C@H]12C[C@H](CC1)C[N@+]1(C)CCCC[C@@H]21
origin: C12CC3CC(C1(C)C1[N+](C)(C)C)CC, cl: [N+]1(C)(C)CC(CC(C1)C)C, target: C12CC3CC(CC([N+](C)(CC)C1)C3)C2
origin: C1C2CC3CC(CC1C[[+]]2cCccc1)C3, cl: C12CC3CC([1+](C)(C)CC)CC(C3)C2, target: C1C2CC3CC1[N+](C)(C)CC(C2)C3
origin: CC[N+]1(C)C2CCCCCCC2CC, cl: C12[N+](CC(C))CCCCCC2C(C)CC1(())), target: CC[N+]1(C)C2CC3CC(CC(C3)C1)C2
origin: CN(CCO)CCO, cl: C(O)CN(C)OCC, target: CN(CCO)CCO
origin: C(O)CN(CCO)CC, cl: OCCN(CC)CCO, target: C(O)CN(CCO)CC
origin: C([N+](CC)(CC)CC)C, cl: C([N+](CC)(CC)CC)C, target: C([N+](CC)(CC)CC)C
origin: C1NCCC(CN)C1, cl: NCC1CCNCC1, target: C1NCCC(CN)C1
origin: c1cccnc1, cl: c1ncccc1, target: c1cccnc1
origin: CC[N+]1(C)C(C)CCCC1C, cl: CC1(C)C2CN1CCCC2, target: CC[N+]1(CC)C2C(C)(C)C(C2)CCC1
origin: OCCN(CCN(C)C)C, cl: C(N(CCO)CCOCC)(CC))C, target: OCCN(CCN(CCO)CCO)CCO
origin: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, cl: C1CC2C([N+](C))CCCC)2CCC, target: C[N+](C)(C)C1C2CCCC1CCC2
origin: C12CCC(CCC1)[N+]2(CCCCC[N+]1(C)C2CCCCCCC2)C1, cl: C1C2CCC(C[N+]1(C)C)CC2, target: C12CCC(CC1)C[N+]1(C2)CCCC1
origin: C1C2C3C=CC(C4C[C+](C)(C)C34CC2)1C[N+](C)(C)C2, cl: C12C=CC(CCC))CCCCN[C+]1(C)C, target: C1C2C3C=CC(CC3)C2C[N+]1(C)C
