origin: C1CCCN(C2)CCC1, cl: C1CCN(C2CCCCC2)CC1, target: C1CCCN(C2CCNCC2)C1
origin: C1CCCCC1N(C)CCC(C)CC1, cl: C1CCCC(N)C1, target: C1CCCCC1N
origin: NC1CCCCC1CC2CCC1C, cl: C1CCCC(N)CC1, target: NC1CCCCC1
origin: C(C)N(CC)CCCCCC1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: CCN(CC)CCCCCCCCCCCCCCCCCCC[N+](CC)ccccc1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCC(C)CCCCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: CCN(CC)CCCCCC[N+](C)c(C)c(C)cc1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCNCC, cl: N(CC)CC, target: CCNCC
origin: C[N+]1(C)CCCCCCCCCC[N+](CC)CCCCC1, cl: C[N+]1(C)CC2C(CCC2)CC1, target: C[N+]1(C)CCCC(C)(C)C1
origin: CC[N@@+]1(C)CC(C)CC(C1)C2, cl: C1[N@@+](CCC2CCCC12)(C)C, target: CC[N@@+]1(C)CCCC(C)(C)C1
origin: C1[N@@+](CC)(CC)CCCC2CC1, cl: C[N@@+]1(CCC(C2CC1C2(C)C)C)C, target: C1[N@@+](C)(CC)[C@H](C)CCC1
origin: CC1[N@@+](C)(C)CC(C)CC1, cl: C1(C)(C)C2CC1[N+](CCC2C)(C)C, target: CC1[N@@+]2(CCC1)CCCC(C)(C)C2
origin: CC[N+]1(CC)CCCCCCC1, cl: C1CCC2CCC[N+](C)(C2CC1)C, target: CC[N+]1(C)C2CCCC1CCC2
origin: C[N+]1(CC)CC(C)CCC1, cl: C([N+]1(C)C2CCC1CCC2)CC, target: C[N+]1(CC)C2CCC1CCC2
origin: C12CCC([N+]2(C)CCCC2)CCCC1, cl: C1C2CCC(C1[N+](C)(C2)C)C, target: C12CCC([N+]1(C)CC)CCC2
origin: [N+]1(C)(C)C)(C)CCCC1, cl: C1C2CCC(C[N+](C1)(C)C)CC2, target: [N+]1(C)(CC)CC2CCC(C1)CC2
origin: [N+]1(C)(CCCC)CC2CCCCC1, cl: C1CC2C[N+](C)(CC)CC(C)(C2)CC1, target: [N+]1(C)(CC)CC2CCC(CC2)C1
origin: C1C2[N+](C)(C)CC(C)C2, cl: N1(C)CC2CC(C1)C[N+]2(C)C, target: C1C2[N+](CC)(C)CC1CN(C)C2
origin: C1CCC2CCC1CCC(C)C1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1CCC2CCC([N+]1(C)C)C2
origin: C1C2CC3CC(C2)C1C1, cl: C1C2C[N+](C)(C)C(C1)C1CC2CC1, target: C1C2CC3CC([N+](C)(C)CC1C3)C2
origin: C1CC[C@@H](C)(CCCCCC[N+](C)(C)C)CCCCCC1, cl: C1[C@H]2CCC[N+](C)(C)C(C1C2)C, target: C1CC[C@@H]2[N@+](C)(C[C@@H]3C[C@H]2CC3)C1
origin: CC[N+]1(C)CCCCC1, cl: [N+]1(C)(C)CC(CC(C)C1)C, target: CC[N+]1(C)CC2CC3CC1CC(C2)C3
origin: C1C2CC3CC(C1)C2, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: C1C2CC3CC(CC1C3)C[N+]2(C)C
origin: C(C)[N+]1(C)CCCCC1, cl: C12CC3CC(CC(C1)C3)(C2)[N+](C)(C)C, target: C(C)[N+]1(C)CC2CC3CC1CC(C2)C3
origin: OCCN(CCO)CCCC[n+]1cccc1, cl: OCCN(CCO)C, target: OCCN(CCO)C
origin: OCCN(CCO)CCC[N+](C)(C)C, cl: N(CCO)(CCO)CCO, target: OCCN(CCO)CC
origin: CC[N+](CCCCCCCC(C)C)c1, cl: C([N+](CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: C1CNCCC1CCCCCC1CCCCCC[N+](C)(CCCCCCCCCCCCCCCCCCCC[N+](C)(CCCCCCCCCCCCCCCCCCCCC)cccc[n+](CCCC)cccc1)CCCCCCCCCCCCCCCCCCCCCCCC[n+]1ccccc1C, cl: C1(CN)CCNCC1, target: C1CNCCC1CN
origin: c1ccccn1, cl: c1ncccc1, target: c1ccccn1
origin: C1CCC2C(C3CC[N+](C)(C)C)CCCC1, cl: C12[N+](C)(CCC(C)C(C1(C)C)C2)C, target: C1CCC2C(C)(C)C([N+]1(CC)CC)C2
origin: C(CN(CCN(C)CC)CC)(C)C, cl: OCCN(CCN(CCO)CC)OCC1, target: C(CN(CCN(CCO)CCO)CCO)O
origin: C1CC2CCCCC2CCC1C2, cl: C1C2CCCC(C1)[N+]2(C)CC, target: C1CC2CCCC(C2[N+](C)(C)C)C1
origin: C1C[N+]2(CC2)CCCC2, cl: C12C[N+]3(CCCCC3C1CN1C2CCCC1)C, target: C1C[N+]2(CC1)CC1CCC(CC1)C2
origin: C1CC2C3C[N+](C)(C)CC1CCC(C1)C2CC2C2, cl: C1=CC2C3C[N+](CC3C2C1)(C)C, target: C1CC2C3C[N+](C)(C)CC3C1C=C2
origin: [N+](C)(C)C3CCC1CC[N+](C)(C)CC, cl: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)CC(C2)C3, target: [N+](C)(C12CC3CC(CC(C1)C3)C2)(C)C
origin: C12([N+](C)(C)C)CCCCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C[N+](C)(CCCCCCCC[N+]1(C)CCCCCCCCCCCC[N+](C)(CCC)CCCCCCC)C, cl: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: NCCCN, cl: C(CN)CN, target: NCCCN
origin: C(C)[N+](C)(C)CCCCC1, cl: C(C)[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1C2CC3([N+](C)(C)C)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: C1C2CC3CC(C)C2CC1C[N+](C)(C)CCCC1, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C(C)[P+](CC(C)C)CCCCCCC2, cl: CC[P+](CC)(CC)CC, target: C(C)[P+](CC)(CC)CC
origin: C1C2CC3CC(C1)C1C2, cl: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C1CN(CCN)CCCCCC1, cl: C1NCCN(CCN(CCCN(CC1)C)C)C, target: C1CN(CCN)CCN1
origin: C12CC3([N+](C)(C)C)CC(C)CCCC1, cl: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C, target: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2
origin: C12CC3CC(CCC2)CC1, cl: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, target: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2
origin: [N+](CC)(CCCCCCC2)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C[N+](C)(CCCC2)CCCCC1, cl: C[N+](C12CC3CC(CC(C3)C2)C1)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1CCCC(N)c1C, cl: C1CCCCC1N, target: C1CCCC(N)C1
origin: C1C(N)CCCCCC[N+]1(CCCCCCCCCCCCCC)ccc1, cl: C1CCCC(N)C1, target: C1C(N)CCCC1
origin: C1C2([N+](C)(C)CC)CC2, cl: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C([N+](CC)(CC)CC3)CC(C)CC1, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CNCCCC, cl: C(CNC)CC, target: CNCCCC
origin: C(C)CNCCCCCCC[N+](CC)ccccc1, cl: C(CNCCC)C, target: C(C)CNCCC
origin: C(CC)NCCCCCCCCCC1, cl: C(CNCCC)C, target: C(CC)NCCC
origin: CC(NC(C)C)CC1, cl: N(C(C)C)C(C)C, target: CC(NC(C)C)C
origin: C(C)(C)NCCC, cl: CC(NC(C)C)C, target: C(C)(C)NC(C)C
origin: CCN(CC)CCCCCC[N+]1(C)CCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCCC(C)[N+]1(C)CCCCCC1, cl: CC[N+]1(CC)CC(C)CC(C1)C, target: C1CCCC(C)[N+]1(CC)C
origin: C1CC[N+](C)(C)CC(C)CCCC1, cl: C1CCC(C)(C)C[N+]1(CC)C, target: C1CC[N+](C)(C)CC1(C)C
origin: C1[N+](CC(C)C)(C)CCCC1, cl: C1CC(C)C[N+](CC)(C1)CC, target: C1[N+](CC)(CC)CCCC1C
origin: CC1C[N+](C)(CCCCCC3)C1, cl: C1[N+](CC)(CC)CC(CC1C)C, target: CC1C[N+](CC)(CC)CC(C)O1
origin: C1(C)(C)CC[N+](C)(C)CCCC1, cl: C1[N+](CCCC1)(C)CCC, target: C1(C)(C)C[N+](CC)(CC)CCC1
origin: CC[N+]1(C)CCCC2C3CCCCCCC2, cl: CC[N+]1(CC)CC(CC(C)C1)C, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: CC1(C)CCCC12, cl: C1CCC(C)(C)C[N+]1(CC)CC, target: CC1(C)CCC[N+](C)(C(C)C)C1
origin: CC1(C)CCC[n+]1ccccc1, cl: C1C[N+]2(CCCCC2)CCCC1, target: CC1(C)CCC[N+]2(CCCC2)C1
origin: C1CC(C)[N+](C)(C)C1, cl: C1[N+]2(C(CCC1)CCCC1CCCCC21)C, target: C1CC(C)[N+]2(C1)CC(C)CC(C)C2
origin: C1COCCN1, cl: N1CCOCC1, target: C1COCCN1
origin: C1NCCC(N2CCCCC2)CC1, cl: C1CNCCC1N1CCCCC1, target: C1NCCC(N2CCCCC2)C1
origin: C(NCC)C, cl: CCNCC, target: C(NCC)C
origin: N(CCN)CCN(CC)C, cl: C(CN)NCCN, target: N(CCN)CCN
origin: N1CCC(N2CCCCC2)CCCC1, cl: C1NCCC(N2CCCCC2)C1, target: N1CCC(N2CCCCC2)CC1
origin: n1ccccc1, cl: n1ccccc1, target: n1ccccc1
origin: c1n(C)ccn1C, cl: Cn1ccnc1, target: c1n(C)ccn1
origin: C(CC)NCCCCC[N+](C)(CC)C, cl: CCCNCCC, target: C(CC)NCCC
origin: C(C)CNCCCCC1, cl: N(CCC)CCC, target: C(C)CNCCC
origin: c1ccc[nH+1c(C)c(C)c1C, cl: [nH+]1ccccc1, target: c1ccc[nH+]c1
origin: C[NH+]1C=CCCC[N+](C)(C)C, cl: C[NH+]1C=CC, target: C[NH+]1C=NC=C1
origin: CN1CCCCC1CC1, cl: C1CN(C)CCN(C)CCN(CCN(CCN(CCN(C)C1)C)C)C, target: CN1CCCCC1
origin: C[N+](C)(C)CCCC2C2, cl: C[N+](C)(CC)CCCC[N+](CC)(C)C, target: C[N+](C)(C)C
origin: C1C2([N+](C)(C)C)CCCC1, cl: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1C2([N+](C)(C)C)CC2CCCCC1, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: O1CCNCC1, cl: O1CCNCC1, target: O1CCNCC1
origin: O1CCNCC1, cl: C1CNCCO1, target: O1CCNCC1
origin: C1(N)CCCCCC[N+]1(C)CCCCC1, cl: C1CCCCC1N, target: C1(N)CCCCC1
origin: C1(N)CCCCC[N+](C)(C)CCCCC1, cl: C1C(N)CCCC1, target: C1(N)CCCCC1
origin: CCN(CC)CCCC[N+]12CCCCC(C)CC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CC1, cl: C(C)N(CC)CC, target: C(C)N(CC)CC
origin: C1CNCCN1CCC2)C1, cl: CN1CCNCC1, target: C1CNCCN1C
origin: C12C(C[N+](C)(C)C)CCCC1, cl: C1C2CCC[N+](C1C2(C)C)(C)C, target: C12C(C[N+](C)(C)CCC1)CCCC2
origin: C1CC[N+](C)(C)CCCCC1, cl: C1CCC2C(CCC2)[N+](C1)(C)C, target: C1CC[N+](C)(C)C2CCCCC12
origin: [N+]1(C)(C)CCCC2CCCCC1, cl: C1[N+](C)(CC2C1C1C2C2C3C[N+](C)(CC3C1C=C2)C)CCCC3, target: [N+]1(C)(C)CCCC2C1CCCC2
origin: C1C2C(CCCC[N+](C)(C)C)CCC1, cl: C1C[N+](CC)(CC)C2CCC1(C)C2(C)C, target: C1C2C(CCC[N+]2(C)C)CCC1
origin: C1CC[N+](C)(CCCCCC1)CCCCCC[N+]1(CC)CCCC1, cl: C1CCC2CCC[N+](C)(C2CC1)C, target: C1CC[N+](C)(C)C2CCCC12
origin: C1CC2C(C1)C2CC(C2)C1, cl: C1CCC2C[N+](C)(CC1CC2)C, target: C1CC2C(C1)CC[N+](C)(C)C2
origin: C1CCCNC1, cl: C1NCCCC1, target: C1CCCNC1
origin: C1NCCOC1, cl: C1CNCCO1, target: C1NCCOC1
origin: N1CCCNCCN(C)CCCC1, cl: C1CCNCCNC1, target: N1CCCNCCNCCCNCC1
origin: C[n+]1cn(C)n(C)c(C)c1, cl: Cn1c[n+](CCCC)cc1, target: C[n+]1cn(C)cc1
origin: C(C)[n+]1ccn(C)c(C)n(C)cc1, cl: c1[n+](CC)cn(C)c1, target: C(C)[n+]1cn(C)cc1
origin: CCN(CC)CCCC1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(C)N(CC)CCCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: O1CCNCC1, cl: C1CNCCO1, target: O1CCNCC1
origin: N1CCOCC1, cl: C1NCCOC1, target: N1CCOCC1
origin: O1CCNCC1, cl: C1COCCN1, target: O1CCNCC1
origin: c1cn(C)c[n+](C)cc1, cl: c1cn(C)c[n+]1C, target: c1cn(C)c[n+]1CC
origin: C1CCCCN1, cl: C1CCCNC1, target: C1CCCCN1
origin: N1CCCCC1, cl: C1CCNCC1, target: N1CCCCC1
origin: C1NCCCC1, cl: C1CCCNC1, target: C1NCCCC1
origin: C1NCCCC1, cl: C1NCCCC1, target: C1NCCCC1
origin: C([N+](CC)(CC)CCCC2)CCCCCCC[N+]12CCCCCCC1, cl: C(C)[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CC[N+](CC)(CCCCCCC2)c1, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1NCCC1, cl: C1CCCCC1N, target: C1CCCCC1N
origin: C1CC(N)CC(C)CCCN1CCCCC2, cl: C1CCCCC1N, target: C1CC(N)CCC1
origin: C1C2CC3CCCCC2(C)CC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C([N+](CC)(CC)CCCCCCCCCC)cc1, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: N1CCOCC1, cl: C1CNCCO1, target: N1CCOCC1
origin: C1C2CC3([N+](C)(C)C)(C)CCCC2, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C(C)[N+](C)(C)CCCCCC1, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C(N(CC)CCCC2)CCCCCCCCCC[n+]2cccc(C)n1C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C(C)N(CC)CCCC[N+](C)(C)C, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CCCC([N+]1(C)CCCCC1)CCCCC1, cl: C1CCC([N+](C)(C)C1)CC, target: C1CCCC([N+](C)(C)C)C1
origin: CC[N+](CC)(C)CCCCC1, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C([N+](CC)(C)CCCCC2)CCCC1, cl: [N+](CC)(CC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3([N+](C)(C)C)CCCC1, cl: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: C(C)[N+](C)(C)CC(C)CCC[N+]1(CCCCCCCC1)CCCCC1, cl: C([N+](CCO)(CCO)C)O, target: C(C)[N+](CC)(CC)CC
origin: C(O)CN(CCCC)CCCC1, cl: CN(CCO)CCO, target: C(O)CN(CCO)C
origin: CCN(CCO)CCCC[N+]1(C)CCCCC1, cl: OCCN(CC)CCO, target: CCN(CCO)CCO
origin: CC[N+](CC)(C)C, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1C2C[N+](C)(C)CCCCC1, cl: C1CC2CCC[N+](C)(C)C2CCC1, target: C1C2C[N+](C)(C)CCCC2CCC1
origin: C[N+]1(C)CCCCCCC1, cl: C12C(CCC[N+]2(C)CCCCC2)C1, target: C[N+]1(C)C2C(CCCC2)CCC1
origin: C1C2CCCCC1CCCCC1, cl: C1CC[N+](CC1)(CCCC[N+]1(CCCC1)C)C, target: C1C2CCCCC2[N+](C)(C)CC1
origin: C[N+]1(C)CCCCCCCCCC2, cl: C1CC2C(CCCC2)[N+](C)(C1)CC, target: C[N+]1(C)C2CCCCC2CCC1
origin: C12CCCC1[N+]2(CCCCCCCC2)CCCC1, cl: C1CCC2[N+](C)(CCCC2C1)C, target: C12CCCC1[N+](C)(C)CCC2
origin: C1CCC2C[N+]1(C)CCCC1, cl: C[N+]1(C)CC(CC(C)C1)C, target: C1CCC2C[N+](C)(C)CCC12
origin: CC[N+](CC)CCCCCC1, cl: C([N+](CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: NC1CCCCC1C3CCCCC1, cl: C1CCC(N)CC1, target: NC1CCCCC1
origin: C1(N)CCCCC[N+]2(CCC)CCC, cl: NC1CCCCC1, target: C1(N)CCCCC1
origin: C1CCCNC1, cl: N1CCCCC1, target: C1CCCNC1
origin: c1ncccc1, cl: c1cnccc1, target: c1ncccc1
origin: [n+]1(C)ccn(C)c1, cl: c1n(C)c[n+](c1)C, target: [n+]1(C)ccn(C)c1
origin: c1n(C)c[n+](C)cc1, cl: c1cn(C)c[n+]1C, target: c1n(C)c[n+](C)c1
origin: n1(C)c(C)c(C)n(C)cc1, cl: C[n+]1ccn(C)c1, target: n1(C)c(C)[n+](C)cc1
origin: c1(C)n(C)ccn(C)c1, cl: [n+]1(C)c(n(C)c(C)c1C)C, target: c1(C)n(C)cc[n+]1C
origin: n1(C)cc[n+](C)ccn1C, cl: c1(C)n(C)c(C)[n+](c1C)C, target: n1(C)cc[n+](C)c1C
origin: [n+]1(C)cccc1, cl: c1(C)n(C)c([n+](C)c1C)C, target: [n+]1(C)cn(C)c(C)c1
origin: C[n+]1cc(C)n(C)cc1, cl: c1(C)c[n+](C)c(n1C)C, target: C[n+]1cc(C)n(C)c1
origin: Cn1c(C)c[n+](C)cc1, cl: c1(C)c[n+](C)c(n1C)C, target: Cn1c(C)c[n+](C)c1C
origin: c1[n+](C)ccc1, cl: Cc1[n+](C)ccn1C, target: c1[n+](C)c(C)n(C)c1C
origin: C1[N+](C)(C)CCCCC1, cl: [N+]1(C)(CC(CC(C)C1)C)C, target: C1[N+](C)(C)CC(C)CC1C
origin: CC[N+]1(C)CCCCC(C)CC1, cl: C([N+]1(CC)CC(C)CC(C1)C)C, target: CC[N+]1(CC)CC(C)CC(C)C1
origin: C1C2CC3CC(CC2CC2CC2CC1CCC1CCCC1)C1, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C1C([N+](C)(C)CCCCCC2)CCCC2, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: C1C([N+](C)(CC)C)CCCC1
origin: CC[N+](CC)(C)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: O1CCNCC1, cl: N1CCOCC1, target: O1CCNCC1
origin: C1CNCCO1, cl: O1CCNCC1, target: C1CNCCO1
origin: N(CC)(CC)CC1CCCCC2, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: CC[N+](CCCCCCCCCCC)ccc1, cl: C(C)[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C1CCC(N)CC1, cl: C1C(N)CCCC1, target: C1CCC(N)CC1
origin: C1CC(N)CCCC1, cl: C1CC(N)CCC1, target: C1CC(N)CCC1
origin: C12C[N+](C)(C)CC2(C)CC(C)C1, cl: CC[N+]1(CC)CC2C(C1)C1C=CC2C2C1C[N+](CC)(C2)CC, target: C12C[N+](CC)(CC)CC1C1C3C(C[N+](CC)(CC)C3)C2C=C1
origin: n1ccn(C)cc1, cl: c1nccn1C, target: n1ccn(C)c1
origin: c1ncccc1, cl: c1ccncc1, target: c1ncccc1
origin: c1(C)ccnc(C)c1C, cl: c1cnccc1CN, target: c1(C)ccncc1
origin: Cn1cc[n+](C)c(C)c1, cl: n1(C)cc[n+](c1C)C, target: Cn1cc[n+](CC)c1
origin: C(C)[N+](CC(C)C)CC2, cl: [N+](CC)(CC)(C)C, target: C(C)[N+](CC)(CC)CC
origin: NC1CCCCC1CC2)C(C1, cl: NC1CCCCC1, target: NC1CCCCC1
origin: C[N+](C)(C)CCCC1, cl: OCC[N+](C)(C)C, target: C[N+](C)(C)CCO
origin: C12([N+](C)(C)C)CCCCC1, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C1C2([N+](C)(C)C)(C)C, cl: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, target: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2
origin: n1(C)c(CC)c(C)n(C)c1C, cl: [n+]1(C)c(C)n(C)c(C)c1, target: n1(C)c(CC)[n+](C)cc1C
origin: C(C)c1n(C)c1C)CCCCC, cl: C[n+]1c(C)n(C)c(C)c1C, target: C(C)c1n(C)c(C)c[n+]1C
origin: C[N+](C)(CC)CCCC2, cl: [N+](C)(C)(C)C12CC3CC(C2)CC(C1)C3, target: C[N+](C)(C)CCO
origin: CC[N+](CC)(CC)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C[N+](CC)(CC)CC2C(C)C2, cl: CC[N+](C)(CC)CC, target: C[N+](CC)(C)C1CCCCC1
origin: C1NCCOC1, cl: N1CCOCC1, target: C1NCCOC1
origin: C(C)[N+](CC2)CCCC1, cl: CC[N+](CCCC[N+](CC)(CC)CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: N(CC)CC, cl: C(NCC)C, target: N(CC)CC
origin: NCCNCCN, cl: C(NCCN)CNCCN, target: NCCNCCN
origin: NCCNCCN, cl: NCCNCCN, target: NCCNCCN
origin: C(N)CNCCOCCCCCC1, cl: C(N)CNCCO, target: C(N)CNCCO
origin: C(NCCO)CN(C)CCC1, cl: C(CO)NCCN, target: C(NCCO)CN
origin: C(NCCN)CN(C)C, cl: N(CCNCCN)CCN, target: C(NCCN)CNCCN
origin: N(CCNCCCNCCCCC)CCCCCCC[n+]1ccccc1, cl: C(NCCCN)CC, target: N(CCNCCCN)CCCN
origin: C(CCN)NCCCCCCCCC, cl: C(NCCCN)C, target: C(CCN)NCCNCCCN
origin: C(CN)NCCN, cl: NCCNCCNCCN, target: C(CN)NCCNCCNCCN
origin: C(N)CNCCN(C)CCCC1, cl: C(N)CNCCNCCN, target: C(N)CNCCNCCNCCN
origin: C(CNCCNCCCCCCC)ccc1, cl: N(CCNCCNCCNCCN)C, target: C(CNCCNCCNCCNCCN)N
origin: [N+](C)(C)CCCCC1CCCCC[N+](C)(C)C, cl: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C, target: [N+](C)(C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1C2CC3CC(CC[N+](C)(C)CCCC2)CC(C)CCC1, cl: C12CC3CC(CC(C2)([N+](C)(C)C)C3)C1, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C[N+](C12CCCCCC2)CC1, cl: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, target: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C
origin: C12([N+](C)(C)C)CC1, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: C12([N+](C)(C)C)CC3CC(C1)CC(C2)C3
origin: C1C2([N+](C)(C)C)CCCC1, cl: C12CC3CC(C1)CC(C2)(C3)[N+](C)(C)C, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C(CO)[N+](C)(C)CCCCCC1, cl: C[N+](C)(CCO)C, target: C(CO)[N+](C)(C)C
origin: N(CC)(CC)CC2, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: O1CCNCC1, cl: N1CCOCC1, target: O1CCNCC1
origin: C(NCCC)CCCCC1, cl: CCCNCCC, target: C(NCCC)CC
origin: C1CCCCC1N(C)CCCC2, cl: C1CCCCC1N, target: C1CCCCC1N
origin: N1CCOCC1, cl: N1CCOCC1, target: N1CCOCC1
origin: C(NCC)C, cl: C(C)NCC, target: C(NCC)C
origin: CCN(CC)CCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: [N+](CC)(CC)CCCC1C, cl: C(C)[N+](CC)(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(CN)NCCN(C)CCCC1, cl: N(CCNCCN)CCN, target: C(CN)NCCNCCNCCN
origin: NCCNCCNCCCCCCCCC[N+]1(C)C, cl: N(CCN)CCN, target: NCCNCCNCCNCCNCCN
origin: C(CNCCN)NCCCC, cl: C(CN)NCCNCCN, target: C(CNCCN)N
origin: NCCNCCO, cl: C(NCCN)CO, target: NCCNCCO
origin: C(CNCCN)N(C)C, cl: C(NCCNCCNCCN)CCN, target: C(CNCCN)NCCN
origin: C(NCCCNCCCCCCCCCC3CCCCCCc1ccccc2)CCC1, cl: C(NCCCNCCNCCN)CN, target: C(NCCCNCCN)CN
origin: C(CCNCCNCCCCCCCC[n+]1ccccc2)CCCC1, cl: C(CCN)NCCN, target: C(CCNCCNCCCN)N
origin: C1CCCCC1[N+](C)(C)CCCC2, cl: C1CC([N+](C)(C)C)C2C3CCCC3C1C2, target: C1CCCCC1[N+](C)(C)C
origin: C[N+](CCOCCC(C)CC2C3CCCCC[N+](C)(C)C)CC(C3)CC1, cl: C(C[N+](C)(C)CCCCCC[N+](C)(C)C)C, target: C[N+](CCO)(C)C
origin: CC[N+](CC)(CC)CCCC1, cl: C([N+](CC)(CC)CC)C, target: CC[N+](CC)(CC)CC
origin: C[N+](C)(CCCC2)CC2, cl: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C, target: C[N+](C)(C)C
origin: CC[N+](CC)(CC)CC2, cl: CC[N+](CC)(C)CCCCC[N+](C)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(CC)[N+]1(C)CCCC2C1CC2CC1, cl: CCC[N+](CCCC[N+](CC)(CC)CC)(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C[NH+](C)(C)CCCCCC1, cl: C[NH+](C)CC, target: C[NH+](C)C
origin: N12CN3CN(CC3)CCCC2, cl: N12CN3CN(CN(C3)C2)CC1, target: N12CN3CN(C1)CN(C3)C2
