origin: C1CCC(C)(C)NC1(C)C, cl: C1CC[N+](C1)(CCCCC[N+]1(C)CCCC1)C, target: C1CNCCC1N1CCCCC1
origin: C(C)N(CC)CC, cl: C(C(C)N(CC)CC)C, target: CC(CNCC(C)O)O
origin: C1C(N)CCCC1, cl: CN(CCO)CCO, target: C(CN(CCO)C)O
origin: C(CO)N(CCO)C, cl: C(N(C)C)CCCCCN(C)C, target: CCN(CCO)CC
origin: C(C)[N+](CC)(CC)CC, cl: OC(CNCC(C)O)C, target: CC(CN)(C)O
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1([N+](C(CCC1)C)(C)C)C, target: C[N+](C)(C)C1CCCCC1
origin: c1cnccn1, cl: c1cnccc1, target: c1cnccc1
origin: C(CO)N(CC)CC, cl: CCNCC, target: C(NCC)C
origin: C(C)NCC, cl: N(CCO)(CCO)CCO, target: C(NCC)C
origin: C(C)N(C(C)C)C(C)C, cl: CC(N(CC)C(C)C)C, target: N(C(C)C)C(C)C
origin: C(CO)N(C)CCO, cl: CC(N(CC)C(C)C)C, target: CC(C)NC(C)C
origin: C(C)[N+](CC)(CC)CC, cl: C(N(CCO)CCO)CO, target: CN(CCN(C)C)C
origin: C(C)N(CCO)CC, cl: CN(CCO)CCO, target: CN(C)CCN(C)C
origin: C(CCC)CCCCCCCCCC[N+](C)(C)C, cl: C1CCC[N+]1(C)CCCCC[N+]1(CCCC1)C, target: C1CCNCCC1
origin: C(C)(C)N(C(C)C)CC, cl: c1n(c[n+](c1)CCCC)C, target: C([n+]1ccn(C)c1)C
origin: N1(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN(C)CC1, cl: n1(C)cc[n+](c1)CCCC, target: c1n(C)cc[n+]1CCCC
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: C(N(CC)C(C)C)(C)C, target: CCN(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C(CN(CCO)C)O, cl: C(CCC)CCCCCCCCCCCC[N+](C)(C)C, target: CCCCCCCCCCCC[N+](C)(C)C
origin: C1CCC(N)CC1, cl: C(CCCCN(C)C)CN(C)C, target: C[N+](C)(CCCCCCCCCCCCCCCC)C
origin: C1CC(N2CCCCC2)CCN1, cl: C1CCCN(C1)C1CCNCC1, target: C1C(N)CCCC1
origin: C(CNCCN)NCCNCCN, cl: C1CC(CCC1)N, target: C1C(N)CCCC1
origin: C1CCCC(N)C1, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: C1CC(N)CCC1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1C(N)CCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1CCC(N)CC1, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: CCc1[n+](C)cc(C)n1C, cl: CCNCC, target: N(CC)CC
origin: C1C2CC3CC([N+](C)(C)C2)CC1C3, cl: C1[N+](C)(C)C2CC(C1)C[N+]2(C)C, target: CC1(C)C[N+](C)(C)CCC1
origin: C1C2CC3CC(CC1C3)C[N+]2(C)CC, cl: C1(CCCC([N+]1(C)C)C)C, target: [N@+]1(C)(CC)CC(C)(C)CCC1
origin: C12CC3CC(CC(C1)C3)C[N+]2(C)C, cl: C[C@1CCCC([N+]1(CC)CC)C, target: C[C@@H]1CCCC[N@@+]1(C)CC
origin: C12CC(C)C(C)(CC1)C[N+]2(C)C, cl: C1[N+](C)(C)CC(C)CC1C, target: [N@@+]12(C(C)CCC1)CC(C)(C)CCC2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C1CCC2C(CCC[N+]2(C)C)C1, target: C1C2CCCC(CC1)[N+]2(C)CC
origin: C1C2CC3CC1CC([N+](C)(C)C3)C2, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: C12CCC([N+]1(C)CC)CCC2
origin: C[N+]1(C)CCCC2CCCCC12, cl: C12[N+](CCCC2CCC1)(C)C, target: C12CCC([N+]1(C)CC)CCC2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C(C)[N+]1(CC)CC2C3C4C[N+](CC4C(C=C3)C2C1)(CC)CC, target: C1C2CCC(CC2)C[N+]1(C)CC
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1CC2CCCC1C[N+](C)(C)C2, target: C1C2CCC(CC2)C[N+]1(C)CC
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, target: C1N(C)CC2CC1C[N+]2(CC)C
origin: C12CC3CC(C1)CC(C2)[N+](C)(C)C3, cl: C12CC3CC(CC(C2)C3)(C1)[N+](C)(C)C, target: C1CCC2CC(CC2)[N+]1(C)C
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C12CC3CC(CC([N+](C)(C)C)(C3)C2)C1, target: C1C2CC3CC1[N+](C)(C)CC(C3)C2
origin: C1C2CCCCC2[N+](C)(C)CC1, cl: C1[N+](C)(C)CC2C(C1)CCC2, target: C1C[C@@H]2[N@+](C)(C[C@@H]3C[C@H]2CC3)CC1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C12CC3CC(CC(C2)C3)([N+](C)(C)C)C1, target: C12CC3CC(CC(C1)C[N+]3(C)CC)C2
origin: C12C([N+](C)(C)CCC1)CCCC2, cl: C1C2C[N+](C)(C)CC1CC2, target: [N+]1(C)(C)CC2CC3CC1CC(C3)C2
origin: C1C2CC3CC(CC1C3)[N+](C)(C)C2, cl: C([N+]1(C)CCCCC1C)C, target: C12CC3CC(C1)CC(C2)[N+](C)(CC)C3
origin: C(C)N(CC)CC, cl: C(CO)N(CCO)C, target: C(CO)N(C)CCO
origin: C1CCCC(N)C1, cl: C(N(C)CCO)CO, target: C(O)CN(CCO)CC
origin: C1C(C)(C)NCCNC(C)CC(C)(C)NCCNC1C, cl: CC[N+](C)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1CNCC(CN)C1, cl: C(C1CCNCC1)N, target: C1(CN)CCNCC1
origin: C(CCN)CN, cl: c1cccnc1, target: n1ccccc1
origin: C1(C)(C)C2CC1[N+](C)(C)CCC2C, cl: [N+]1(C)(C)CC(C)CC(C1)C, target: C(C)[N+]1(CC)CCCC2CC1C2(C)C
origin: C(C)(C)(C)N(C(C)C)C, cl: C(CN(CCN(C)C)C)CCCN(C)C, target: C(CO)N(CCN(CCO)CCO)CCO
origin: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2, cl: C1([N+](C)(C)C(C)CCC1)C, target: C1([N+](C)(C)C)C2CCCC1CCC2
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: C1CCC2C(CCC[N+]2(C)C)C1, target: C1CC2C[N+]3(CCCC3)CC1CC2
origin: C12CC3CC(CC(C1)C3)[N+](C)(C)C2, cl: C[N+]1(CCCC2CCCCC21)C, target: C[N+]1(C)CC2C(C3CCC2C=C3)C1
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C[N+]1(C)C2CC3CC(C1)CC(C3)C2, target: [N+](C)(C)(C12CC3CC(CC(C1)C3)C2)C
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C2CC3CC1CC(C3)(C2)[N+](C)(C)C, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, cl: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3, target: C12CC3CC([N+](C)(C)C)(C1)CC(C3)C2
origin: C1CNCCN1C, cl: C(N)CN, target: C(CCN)N
origin: C1CCCCC1N, cl: C([N+]1(CCCC1)C)CCCC[N+]1(C)CCCC1, target: CC[N+](CC)(CC)CC
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2, cl: C(C)[N+]1(C)C(CCCC1(C)C)(C)C, target: [P+](CC)(CC)(CC)CC
origin: C1C(C)C[N+](C)(C)CC1C, cl: C12CCC(CC2)C[N+](C)(C)C1, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1CNCCN1CCN, cl: C1NCCN(C1)C, target: C(N1CCNCC1)CN
origin: C[N+](C12CC3CC(CC(C1)C3)C2)(C)C, cl: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, target: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2
origin: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2
origin: CC[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C(C)[N+](CC)(CC)CC
origin: C1C2CC3CC(CC1C3)C[N+]2(C)C, cl: C1C2CC3CC(C2)[N+](C)(C1)CC(C3)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C1CCCC(N)C1, cl: NC1CCCCC1, target: C1CCCC(N)C1
origin: C1CCCC(N)C1, cl: C1C(CCCC1)N, target: C1(N)CCCCC1
origin: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3, cl: C[N+](C)(C)C12CC3CC(CC(C3)C2)C1, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C(C)(C)(C)N(C(C)C)C, cl: CC[N+](CC)(C)C, target: [N+](CC)(CC)(CC)CC
origin: CC(C)(C)CN, cl: N(C)(C)CCCCCCN(C)C, target: CNCCCC
origin: CC1C[N+](C)(C)CC(C)C1, cl: N(CCO)(C)CCO, target: C(CNCCC)C
origin: C(C)(C)(C)[N+](C)(C)C, cl: C(CN(C)C)CCCCN(C)C, target: CCCNCCC
origin: N(CCO)(CCO)CCO, cl: CC(C)N(CC)C(C)C, target: C(C)(NC(C)C)C
origin: C(C)(C)(C)N(C)C, cl: C(NCCN)CO, target: C(C)(C)NC(C)C
origin: CCCNCCC, cl: C(N(CC)CCO)CO, target: C(C)N(CC)CC
origin: C1CC(C)[N+](C)(CC)C(C)C1, cl: CC[N+]1(CC)CC(C)CCC1, target: C1CCCC(C)[N+]1(CC)C
origin: C1(C)(C)C[N+](C)(C(C)C)CCC1, cl: C1(C)CC(C[N+](C1)(C)C)C, target: C1C(C)(C)C[N+](C)(C)CC1
origin: C1(C)CCCC(C)[N+]1(CC)C, cl: C1(C)CC(C[N+]2(C1)CCCC2C)C, target: C(C)[N+]1(CC)CC(C)CCC1
origin: C1(C)(C)C[N+](C)(C(C)C)CCC1, cl: C1(C)C[N+](C)(C)CC(C)C1, target: O1C(C)C[N+](CC)(CC)CC1C
origin: C1(C)C(C)C2CCC1CCC[N+]2(CC)CC, cl: C(C)[N+]1(CC)CCCC(C)(C)C1, target: CC[N+]1(CC)CC(C)(C)CCC1
origin: C1CCC(C)[N+](C)(CC)C1C, cl: CC1CCCC(C)[N+]1(C)CC, target: C1(C)CC(C)C[N+](CC)(CC)C1
origin: C1(C)(C)C[N+](C)(C(C)C)CCC1, cl: C([N+]1(CC)CCCC(C1)(C)C)C, target: C1CC[N+](C)(C(C)C)CC1(C)C
origin: C1C[N+](C)(C)C(CC)CC1, cl: CC1(C)C[N+](C)(C)CCC1, target: C1CC[N+]2(CC1(C)C)CCCC2
origin: C1(C)CCCC(C)[N+]1(C)CC, cl: CC1CC(C[N+](C)(C1)C)C, target: C1[N+]2(CCCC2C)CC(C)CC1C
origin: C(CCCCCCCCCCCC)C[N+](C)(C)C, cl: C1OCCNC1, target: C1NCCOC1
origin: CCCNCCC, cl: N1CCNC(C)(CC(NCCNC(C)(C)CC1(C)C)C, target: C1CN(C2CCNCC2)CCC1
origin: CC(C)(C)N(CC)C(C)C, cl: C(NCCCCCN(C)C)CCN(C)C, target: C(C)NCC
origin: C(C)([n+]1cn(C(C)(C)C)cc1)C, cl: C(NCCN)CN, target: NCCNCCN
origin: C1CCCCC1N, cl: C1CCN(CCN(C)CCCN(CCN1C)C)C, target: C1(N2CCCCC2)CCNCC1
origin: C1=C[NH+](C)C=C1, cl: c1cccnc1, target: c1cccnc1
origin: c1cccnc1, cl: c1ncn(c1)C, target: Cn1cncc1
origin: C1CCCCC1N, cl: C(CN)NCCN, target: C(CC)NCCC
origin: C1CCCC(N2CCCCC2)C1, cl: C(NC(C)C)(C)C, target: N(CCC)CCC
origin: c1ccn(C)c1, cl: c1cccnc1, target: c1c[nH+]ccc1
origin: C1=C[NH+](C)C=C1, cl: [NH+]12CCC(CC2)CC1, target: C1=NC=C[NH+]1C
origin: C1CN(C)CCN(C)CCN1C, cl: C1CN(CCN(CCN(C)C1)C)C, target: N1(C)CCCCC1
origin: CC[N+](CC)(C)C, cl: C[N+](CCCCC[N+](C)(C)C)(C)C, target: C[N+](C)(C)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C1C2CC3CC1CC(C3)([N+](C)(C)C)C2, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C1CNCCC1, cl: N1CCNC(C)CC(NCCNC(CC1(C)C)(C)C)C, target: N1CCOCC1
origin: C(CNCCN)NCCNCCN, cl: N1CCCCC1, target: C1COCCN1
origin: C1CCCC(N)C1, cl: C1CCCC(N)C1, target: C1CCC(N)CC1
origin: C(CN(CCO)C)O, cl: C1(N)CCCCC1, target: C1(N)CCCCC1
origin: C(NCCNCCN)CN, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(CCN)NCCNCCN, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, cl: C1N(C)CCN(CCN(CCN(C)CCN(CCN(C1)C)C)C)C, target: C1NCCN(C)C1
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C2)C3, cl: C1C[N+](C)(C)C2C(C1)CCCC2, target: C1CCC2C(CCCC2)C[N+]1(C)C
origin: C1CCC2C(CCCC2)[N+]1(C)C, cl: C[N+]1(C)CCCC2CCCC2C1, target: [N+]1(C)(C)CCCC2CCCCC12
origin: C1C2CC3CC1CC([N+](C)(C)C2)C3, cl: C1CC2CCC[N+](C2CC1)(C)C, target: C1CCC2C(CCC[N+]2(C)C)C1
origin: C1C2C(CCC[N+]2(C)C)CCC1, cl: C1CCC2CCC[N+](C2C1)(C)C, target: C1C2[N+](C)(C)CCCC2CCC1
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C[N+](C)(C)C2CCCC2CC1, target: C[N+]1(C)CCCC2CCCC21
origin: C12C(CCCC1)CCC[N+]2(C)C, cl: C1CCC2C(C[N+](C)(C)CC2)C1, target: C1C2C(C[N+](C)(C)CC2)CC1
origin: C1CCCCC1N, cl: C1CNC(CC(NCCNC(C)(C)CC(N1)C)(C)C)C, target: C1CCCNC1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C1CNCCC1, target: C1OCCNC1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: C1NC(CC(NCCNC(C)(CC(NC1)C)C)(C)C)C, target: C1CCNCCNCCCNCCN1
origin: c1(C)c[n+](C)c(C)n1C, cl: c1c[n+](cn1C)CC, target: n1(C)cc[n+](C)c1
origin: CC1(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: c1cn(C)c[n+]1CC, target: C([n+]1ccn(C)c1)C
origin: C(CC[N+]1(C)CCCC1)CC[N+]1(C)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CCC(N2CCCCC2)CC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C(N(C(C)C)CC)(C)C, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: c1[n+](C)ccn1C, cl: C1CNCCN(CCN(C)C1)C, target: N1CCOCC1
origin: C1CCCCN1, cl: N1CCCCC1, target: C1OCCNC1
origin: Cn1c(C)[n+](C)cc1C, cl: C1NCCCC1, target: C1NCCOC1
origin: CC[n+]1ccn(C)c1, cl: c1n(C)c[n+](CC)c1, target: C([n+]1ccn(C)c1)C
origin: C([n+]1cn(C)cc1)C, cl: C1CCNC(C)(C)NCCNC(C)CC(C)(N1)C, target: C1CCCCN1
origin: C1CCCCC1N, cl: C1CCC(CC1)N, target: C1CCNCC1
origin: C1CCCC(N2CCCCC2)C1, cl: C1CCN(CCN(C)CCCN(CCN1C)C)C, target: C1CCCNC1
origin: C1CCCCC1N, cl: C1CNCCC1, target: C1CCCCN1
origin: C(C)[N+](CC)(CC)CC, cl: C(C)[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C(NCCNCCN)CNCCN, cl: C([N+](C)(C)C)C, target: [N+](CC)(CC)(CC)CC
origin: C1CCC(N)CC1, cl: C1CCCC(N)C1, target: C1CCCC(N)C1
origin: C1CC(N)CCC1, cl: NC1CCCCC1, target: C1CCC(N)CC1
origin: C1C2CC3CC1CC([N+](C)(C)C2)C3, cl: C12CC3CC(CC(C3)C[N+]1(C)C)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C(N(CC)CC)C, cl: CC[N+](C)(C)CC, target: C([N+](CC)(CC)CC)C
origin: C(CNCCN)N, cl: N1CCOCC1, target: C1CNCCO1
origin: C1CCC(C)[N+](C)(CC)C1, cl: C[N+]1(C)CCCC(C)(C1)C, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C1CCCC(N)C1, cl: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, target: [N+](CC)(CC)(CC)CC
origin: C(N(CC)CC)C, cl: C(C)(C)N(C(C)C)CC, target: CCN(CC)CC
origin: C1CCCCC1N, cl: C(C)[N+](C)(C)CC, target: CCN(CC)CC
origin: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2, cl: C1CCC(C)[N+](C1)(C)CC, target: C1CC([N+](C)(C)C)CCC1
origin: C1CCCCC1N, cl: C(C)[N+](CC)(C)C, target: CC[N+](CC)(CC)CC
origin: C(CCCCCCCCCCCC)CCC[N+](C)(C)C, cl: CC[N+](CC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, cl: C1C2CCC[N+](C)(C2CCC1)C, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C(CCCCCCCCCCC)[N+](C)(C)C, cl: C(C)[N+](CC)(C)C, target: C([N+](CC)(CC)CC)C
origin: C(C)CNCCC, cl: C(CN(C)C)CCCCN(C)C, target: N(C)(CCO)CCO
origin: CC(C)(C)N(CC)C(C)C, cl: C(N(CCO)CCO)CO, target: C(N(CCO)CCO)C
origin: C(N(CCO)CCO)C, cl: C([N+]1(C)CCCC1)CCCC[N+]1(CCCC1)C, target: CC[N+](CC)(CC)CC
origin: C1C2CCCC2CCC[N+](C)(C)C1, cl: C1CC2CCC[N+](C2CC1)(C)C, target: C1CCC2C(C1)CCC[N+](C)(C)C2
origin: C1CC2C(CC1)CCC[N+](C)(C)C2, cl: C1CC2CCCC2C[N+](C)(C)C1, target: C12CCCCC1CCC[N+]2(C)C
origin: C[N+]1(C)CCCC2CCCCC12, cl: C1CC2C(CCC[N+]2(C)C)CC1, target: C1CCC2C(C1)[N+](C)(C)CCC2
origin: C12CC3CC(CC(C[N+]3(C)C)C1)C2, cl: C1[N+](C)(C)CC(CC1C)C, target: C12CCCCC1[N+](C)(C)CCC2
origin: C12CCCCC1CCC[N+]2(C)C, cl: C[N+]1(C)CCCC2CCCCC2C1, target: C12[N+](C)(C)CCCC1CCC2
origin: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3, cl: [N+](C)(C)(C12CC3CC(CC(C3)C2)C1)C, target: C1CC2CCCC2C[N+]1(C)C
origin: C(CN(C)C)CCCCN(C)C, cl: C(C)[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(CNCCNCCN)NCCN, cl: NC1CCCCC1, target: C1CCC(N)CC1
origin: C1CCCCC1N, cl: C1C(C)(CCC1)N, target: C1(N)CCCCC1
origin: C1CCCCC1N, cl: C1CCCN1, target: N1CCCCC1
origin: C1CNCCC1, cl: n1ccccc1, target: c1ccncc1
origin: C1(C)CC(C)(C)NCCNC(C)CC(C)(C)NCCN1, cl: c1n(cc[n+]1CC)C, target: n1(C)c[n+](C)cc1
origin: Cc1n(C)c(CC)[n+](C)c1, cl: c1cn(C)c([n+]1C)C, target: n1(C)cc[n+](C)c1
origin: c1[n+](C)c(C)n(C)c1C, cl: c1(C)n(C)cc[n+]1C, target: [n+]1(C)c(C)n(C)cc1
origin: C(C)c1[n+](C)cc(C)n1C, cl: Cn1c(C)c([n+](c1C)C)C, target: C[n+]1ccn(C)c1C
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: Cc1[n+](ccn1C)C, target: Cc1n(C)cc[n+]1C
origin: CC1(C)CC(C)NCCNC(C)(C)CC(C)NCCN1, cl: c1(C)n(cc[n+]1C)C, target: Cn1c(C)c[n+](C)c1
origin: c1(C)n(C)c(C)c[n+]1C, cl: C[n+]1c(C)n(c(c1)C)C, target: Cc1n(C)c[n+](C)c1
origin: N1CCNC(C)(C)CC(C)NCCNC(C)(C)CC1C, cl: Cc1c[n+](cn1C)C, target: Cc1n(C)c(C)c[n+]1C
origin: Cc1c[n+](C)cn1C, cl: c1(C)c[n+](C)c(C)n1C, target: c1[n+](C)c(C)n(C)c1C
origin: C1(C)[N+](C)(CC)C(C)CCC1, cl: CC1CC(C)C[N+](C1)(C)C, target: C1C(C)CC(C)C[N+]1(C)C
origin: CC1CCCC(C)[N+]1(CC)C, cl: C1C(C)[N+](C)(C(C)CC1)C, target: C1C(C)C[N+](CC)(CC)CC1C
origin: C1CC(C)[N+](CC)(CC)C(C)C1, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: [N+](C)(C12CC3CC(C1)CC(C2)C3)(C)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1CC([N+](CC)(CC)C(C1)C)C, target: C[N+](CC)(C1CCCCC1)C
origin: N(C)(CCO)CCO, cl: CC[N+](C)(CC)C, target: C([N+](CC)(CC)CC)C
origin: CC(N(C(C)C)CC)C, cl: C1COCCN(CCOCCOCCOCCO1)CCCCN1CCOCCOCCOCCOCCOCC1, target: C1COCCN1
origin: C1CCCC(N)C1, cl: C1OCCNC1, target: O1CCNCC1
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1(N)CCCCC1, cl: C([N+](CC)(C)C)C, target: CC[N+](CC)(CC)CC
origin: C1C(C)NCCNC(C)(C)CC(C)NCCNC1(C)C, cl: C1CCN(C)CCN(C)CCCN(C)CCN1C, target: C1CCC(N)CC1
origin: C(N(CC)CC)C, cl: NC1CCCCC1, target: C1CC(N)CCC1
origin: C1(C)[N+](C)(CC)C(C)CCC1, cl: C12C[N+](CC)(CC)CC1C1C3C[N+](CC)(CC3C2C=C1)CC, target: C1C2C3C=CC(C2C[N+]1(CC)CC)C1C3C[N+](CC)(CC)C1
origin: C1CNC(C)(C)CC(C)NCCNC(C)(C)CC(C)N1, cl: c1n(C)c[n+](C)c1, target: n1cn(C)cc1
origin: C1CCCN1C, cl: c1cc(ncc1)N(C)C, target: c1ncccc1
origin: C1(C)(C)NCCNC(C)CC(C)(C)NCCNC(C)C1, cl: c1(C)c[n+](C)cn1C, target: c1cc(C)ccn1
origin: Cn1c[n+](C)cc1, cl: c1[n+](C)ccn1CC, target: c1n(C)cc[n+]1CC
origin: C(O)CN(CCO)CC, cl: CC[N+](CC)(CC)CC, target: CC[N+](CC)(CC)CC
origin: C(C)(C)(C)N(CC)C(C)C, cl: C1CCCC(C1)N, target: C1(N)CCCCC1
origin: C[N+]1(C)CC2(C)CC1CC(C)(C)C2, cl: C[N+]1(C)CC(CC(C)C1)C, target: C[N+](CCO)(C)C
origin: C1C2CC3CC([N+](C)(C)C)(CC1C3)C2, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C(C)c1n(C)c(C)c[n+]1C, cl: [n+]1(C)c(C)n(C)c(c1)C, target: C(C)c1n(C)c(C)c[n+]1C
origin: c1(C)n(C)c(C)[n+](C)c1, cl: n1(C)c([n+](cc1C)C)CC, target: c1(C)c[n+](C)c(CC)n1C
origin: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, cl: C(O)C[N+](C)(C)C, target: C(C[N+](C)(C)C)O
origin: C1C(C)(C)C[N+](C)(C(C)C)CC1, cl: C(C)[N+]1(CC(CCC1)C)C, target: C([N+](CC)(CC)CC)C
origin: C1(C)C[N+](C)(C)CC(C)C1, cl: C1CCC([N+](C1C)(C)C)C, target: C1([N+](C)(C)CC)CCCCC1
origin: C1CNC(C)CC(C)(C)NCCNC(C)CC(C)(C)N1, cl: C1COCCNC1, target: C1COCCN1
origin: C(C[N+](C)(C)C)CCCCCC[N+](C)(C)C, cl: CC[N+](C)(C)CCCC[N+](C)(C)C, target: [N+](CC)(CC)(CC)CC
origin: C(CCCCCCCCCCCC)CCC[N+](C)(C)C, cl: N(CCO)(C)CCO, target: CCNCC
origin: C(C)N(CC)CC, cl: NCCN, target: C(CN)NCCN
origin: C(CNCCN)NCCNCCN, cl: C(N)CNCCN, target: N(CCN)CCN
origin: C(NCCNCCNCCN)CN, cl: NCCNCCNCCNCCNCCN, target: N(CCO)CCN
origin: N(CCCN)CCNCCN, cl: C(N)CCNCCNCCN, target: C(N)CNCCO
origin: CCN(CC)CC, cl: C(CNCCN)NCCN, target: N(CCNCCN)CCN
origin: C(C)N(CC)CC, cl: C(NCCN)CNCCN, target: C(NCCNCCCN)CCN
origin: C(C)N(CC)CC, cl: NCCCNCCNCCNCCN, target: C(CNCCCN)NCCCN
origin: C(CNCCNCCNCCN)N, cl: NCCNCCNCCNCCN, target: C(NCCNCCNCCN)CN
origin: C(N)CNCCNCCN, cl: NCCNCCNCCNCCN, target: C(NCCN)CNCCNCCN
origin: C(CNCCNCCNCCNCCN)N, cl: C(N)CNCCNCCN, target: NCCNCCNCCNCCNCCN
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2
origin: C1C2CC3CC([N+](C)(C)C2)CC1C3, cl: C1C2CC3CC(CC1C3)(n1c[n+](cc1)C13CC4CC(C1)CC(C3)C2, target: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2
origin: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2, cl: [N+](C)(C)(C)C12CC3CC(C1)CC(C2)C3, target: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C
