origin: C1C(NCCNC(C)(C)CC(C)NCCNC1(C)C)C, cl: C(CC)[n+]1c(C)n(C)c(c1C)C, target: C1N(C2CCNCC2)CCCC1
origin: C1C2CC3(CC(CC1C3)C2)[N+](C)(C)C, cl: C1N(Cc2cc(F)ccc2)CCC1, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: [N+](C12CC3CC(C2)CC(C3)C1)(C)(C)C, cl: C(O)CN(CCO)CCO, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C1C(CC(C)C[N+]1(C)C)C, cl: C1N(CCC1)Cc1ccccc1, target: [N+](C)(C)(CCO)C
origin: C(CC)CNCCCC, cl: N12CCOCCOCCN(CCOCCOCCOCCOCC2)CCOCCOCCOCCOCCOCC1, target: C(C)N(CC)CC
origin: C1C(C)C[N+](CC1C)(C)C, cl: c1c(F)c(ccc1)CN1CCCC1CO, target: C1CNCCO1
origin: C(C)(N(CC)C(C)C)C, cl: C(C1N(CCC1)Cc1ccccc1)O, target: N(CCC)CCC
origin: C(CN(CCO)CCO)O, cl: C(N(CC)CC)C, target: C1CCCC(N)C1
origin: C(C)(C)N(C(C)C)CC, cl: CN(C(C)O)CC, target: C1COCCN1
origin: C(C)[N+](CC)(CC)CC, cl: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1F, target: CCNCC
origin: C1CCCC(C1)N, cl: C(C)(N(CC)C(C)C)C, target: C(C)N(CC)CC
origin: C1C(N)CCCC1, cl: C(CC)C[n+]1cc(C)n(c1C)C, target: CC[N+](CC)(CC)CC
origin: C(NCCNCCN)NCCNCCN, cl: CCCC[n+]1ccn(c1CCC)C, target: C(CNCCNCCNCCN)N
origin: C(CCCCCN)N, cl: c1ccc(C(O)C(C)NC)cc1, target: N(CCNCCN)CCNCCNCCN
origin: C(CNCCN)NCNCCN, cl: C1CN(Cc2ccccc2F)CC1, target: C(NCCN)CN
origin: C(CNCCNCCNCCN)NCN, cl: C1N(Cc2cccc(c2)F)CCC1, target: C(CO)NCCN
origin: C(CCCCCCCCCCCCCCC)C[N+](C)(C)C, cl: C(C)CC[n+]1cn(C)cc1, target: NCCNCCNCCN
origin: NCCCNCCNCCN, cl: C(C)(N(CC)C(C)C)C, target: N(CCN)CCCNCCN
origin: CCCN(C(C)C)CCCCCN(C(C)C)C(C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C(CCN)NCCNCCCN
origin: [N+](C)(C)(C)C12CC3CC(C2)CC(C3)C1, cl: C(N1CCCC1)c1cccc(F)c1, target: C1CCC([N+](C)(C)C)CC1
origin: C1C([N+](C)(C(C)(C)CC1)CC)(C)C, cl: C1CC(N(C1)Cc1cc(ccc1)F)CO, target: C(CO)[N+](C)(C)C
origin: C1CC([N+](C)(C)CC1C)C, cl: c1ccc(C(O)C(N(C)C)C)cc1, target: C([N+](CC)(CC)CC)C
origin: CC[N+](CC)(CC)CC, cl: C(C)(C(c1ccccc1)O)NC, target: [N+](C)(C)(C)C
origin: C([N+](CCC)(CCC)CCC)C, cl: C(N(CCC)CCC)CC, target: C(C)[N+](CC)(CC)CC
origin: [NH4+].[O-].[O-]C([O-])=O, cl: [n+]1(cn(cc1)C)CCCC, target: [N+](CCC)(CCC)(CCC)CCC
origin: C[N+](C)(C)C, cl: c1n(C)c(C)[n+](C)c1, target: C[NH+](C)C
origin: C1C[N+]2(CC[N+]1(CC2)C)C, cl: c1cccc(C(O)C(NC)C)c1, target: C1N2CN3CN(C2)CN1C3
origin: [NH4+].[O-]C(=O)[O-], cl: c1(F)cc(CN2CCCC2CO)ccc1, target: [O-]C(C)=O.[NH4+]
origin: C[N+](CC)(CC)CC, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C(=O)(C([O-])=O)[O-].[NH4+].[NH4+]
origin: C1C[N+]2(CC[N+]1(C)CC2)C, cl: c1cccc(c1)C(O)C(NC)C, target: O=C(O)[O-].[NH4+]
origin: CC(N)C, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(CO)N(C)CCO
origin: CC(NC(C)C)C, cl: C1C(CO)N(Cc2ccccc2)CC1, target: C(CO)N(C)CCO
origin: C[N+](C)(CC)CC, cl: CCCC[n+]1cn(cc1)C, target: OCCN(CCO)C
origin: C(C)CCCCCCCCCCCCCCCCCCCC, cl: C(c1ccccc1)N1CCCC1, target: O(CCO)CCN
origin: C(CNCCC)C, cl: C(CC)CNCCCC, target: C(NCC(C)O)C(O)C
origin: CCNCC, cl: c1cc(C[n+]2ccn(c2C)C)ccc1, target: C(O)CN(CCO)C
origin: C(CC)CN(CCCC)CCCC, cl: N(CC)(CC)CC, target: C(O)CN(CC)CC
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: c1ccccc1C(O)C(NC)C, target: CC(O)(C)CN
origin: C1CCC([N+](C)(C1C)C)C, cl: c1(CN2C(CO)CCC2)ccccc1, target: [N+](C1CCCCC1)(C)(C)C
origin: c1cnccc1, cl: c1(N(C)C)ccccc1, target: c1ncccc1
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: c1[n+](c(n(Cc2ccccc2)c1)C)C, target: CCNCC
origin: C(C)N(CC)CC, cl: CCC[N+](CCC)(CCC)CCC, target: C(NCC)C
origin: [N+](C)(C)(C)CC, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(C)(NC(C)C)C
origin: C(CCC)CCCN, cl: C(N(CC)CC)C, target: C(NC(C)C)(C)C
origin: C(C[N+]1(CCCC1)C)CCC[N+]1(C)CCCC1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(CN(C)C)N(C)C
origin: C1(C)(CC(C)(C)C[N+](C)(C1)C)C, cl: C(CC)N(CCC)CCC, target: CN(C)CCN(C)C
origin: C(C)CC[N+](CCC)(CCC)CCC, cl: C(C)CN(CCC)CCC, target: N1CCCCCC1
origin: C1(C)NCCNC(C)(C)CC(C)NCCNC(C)(C)C1, cl: c1(CN2CCCC2)cc(ccc1)F, target: c1n(C)c[n+](CC)c1
origin: C(C)[N+](CC)(CC)CC, cl: c1c(cccc1)C[n+]1cn(C)cc1, target: c1[n+](CCCC)ccn1C
origin: C(N(CC)CC)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CCN(CC)CC
origin: C([N+]1(C)CCCC1)CCCC[N+]1(C)CCCC1, cl: c1cc(cc(C[N+](C)(Cc2cccc(F)c2)C)c1)F, target: C(C)N(CC)CC
origin: C(CCCCC)CCCCCCCCCCCC[N+](C)(C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C[N+](C)(C)CCCCCCCCCCCC
origin: C(C)CN(CCC)CCC, cl: c1cc(ccc1)C(O)C(C)N(C)Cc1ccccc1, target: C(CC[N+](C)(C)C)CCCCCCCCCCCCC
origin: C1C(C)(C)NCCNC(CC(C)(NCCNC1C)C)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1CCCCC1N
origin: C(CCNCCC)C, cl: c1cc(CN2CCCC2)ccc1, target: C1CCCC(N)C1
origin: C1CCN(C)CCN(C)CCCN(C)CCN1C, cl: C1CCN2CC3C4CCCC[N+]4(CC(C2C1)C3)C, target: CCN(CC)CC
origin: C1CCC(C(C1)N)N, cl: c1ccc(cc1)C[n+]1cn(cc1)CCCC, target: CCN(CC)CC
origin: C1(CCCCC1)N, cl: C1CCCCC1N(C1CCCCC1)C, target: CCN(CC)CC
origin: C(NCCNCCNCCN)N, cl: c1ccccc1CN1CCCC1CO, target: C(N(CC)CC)C
origin: c1c[n+](c(C)n1C)C, cl: c1ccc(cc1)C[n+]1ccn(c1C)C, target: N(CC)CC
origin: C1C2C[N+](CC)(CC(C)(C2)C1(C)C)C, cl: c1cc(C(O)C(NC)C)ccc1, target: C1CC(C)(C)C[N+](C)(C)C1
origin: C1CC(C)[N+](CC)(C(C1)C)C, cl: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, target: CC1(C)CCC[N@+](C)(CC)C1
origin: C[N+]1(C2CCC(CC2)CC1)C, cl: C(C)CNCCC, target: C1[C@@H](C)[N@@+](CC)(C)CCC1
origin: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, cl: N(CC)(CC)CC, target: C1C(C)(C)C[N@@+]2(CC1)CCCC2C
origin: [N+]1(C2CCCCC2CCC1)(C)C, cl: C1N(CCC1)Cc1ccccc1, target: C(C)[N+]1(C)C2CCCC1CCC2
origin: C12CCC(C3C[N+](C)(C)CC31)C=C2, cl: c1cc(CN2CCCC2)cc(F)c1, target: C[N+]1(CC)C2CCCC1CC2
origin: C1C2CC3CC1CC(C2)C[N+]3(CC)CC, cl: c1c(cccc1)CN1C(CO)CCC1, target: [N+]1(CC)(C)C2CCC1CCC2
origin: C1CCC[N+](C)(C)C1CC, cl: C(C(C)N(C)C)(O)c1ccccc1, target: C1CC2C[N+](CC)(C)CC1CC2
origin: C12CC3CC(CC(C3)C2)(C1)[N+](C)(C)C, cl: c1c[n+](CCCC)c(C)n1C, target: C1C2CCC(CC2)C[N+]1(CC)C
origin: C1CCC2C(CCCC2)[N+](C1)(C)C, cl: C1CCC(CC1)N(C1CCCCC1)C, target: N1(C)CC2CC(C[N+]2(C)CC)C1
origin: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2, cl: C(C)CN(CCC)CCC, target: [N+]1(C)(C)CCCC2CC1CC2
origin: C12CC3CC(C2)CC(C3)[N+](C)(C1)C, cl: N(CC)(CC)CC, target: C12CC3CC(CC(C3)C1)[N+](C)(C)C2
origin: C1C2CC3CC(CC1C3)(C2)n1c[n+](C23CC4CC(C3)CC(C4)C2)cc1, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1[C@@H]2[N@@+](C)(CCC1)C[C@@H]1C[C@H]2CC1
origin: C1C2CC3([N+](C)(C)C)CC1CC(C3)C2, cl: c1c(CN2C(CO)CCC2)cccc1, target: C12C[N+](CC)(C)C3CC(C1)CC(C2)C3
origin: C12CC3CC(CC(C3)(C1)[N+](C)(C)C)C2, cl: c1cc(CN2CCCC2CO)ccc1, target: C1C2CC3CC1[N+](C)(C)CC(C2)C3
origin: C1CCC2C(CCCC2)[N+](C)(C1)C, cl: c1(CN2C(CO)CCC2)ccccc1, target: C12CC3CC(C1)[N+](C)(CC)CC(C3)C2
origin: C1CCC[N+](CCCCC[N+]2(C)CCCC2)(C)C1, cl: c1cn(c[n+]1CCCC)C, target: CN(CCO)CCO
origin: C1CC[N+](C1)(C)CCCCC[N+]1(CCCC1)C, cl: CCCN(CCC)CCC, target: C(CO)N(CCO)CC
origin: C1C(N)CCCC1, cl: C(CC[n+]1ccn(c1C)C)C, target: [N+](CC)(CC)(CC)CC
origin: C(CCCCN)CNCCCN, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C1CCNCC1)N
origin: C(CC)(N)C, cl: c1ccccc1C(O)C(NC)C, target: c1ccncc1
origin: C1CCC([N+](C)(C)C)CC1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: C1(C)(C)C2[N+](CC)(CC)CCCC1C2
origin: C(C)(C)N(C(C)C)CC, cl: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C, target: C(N(CCO)CCO)CN(CCO)CCO
origin: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, cl: C1CCN(Cc2cc(F)ccc2)C1, target: C[N+](C)(C)C1C2CCCC1CCC2
origin: C1CC[N+](C)(CC)C2C1CCC2, cl: c1cccc(CN2CCCC2CO)c1, target: C1CC[N+]2(CC3CCC(CC3)C2)C1
origin: C1C2CCCCC2CC[N+](C)(C)C1, cl: C(N(CC)CC)C, target: C12C(C[N+](C)(C)C1)C1CCC2C=C1
origin: C(CC[N+]1(C)CCCCC1)C[N+]1(CCCCC1)C, cl: c1ccc(C[N+](C)(C)Cc2ccccc2F)cc1F, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: c1(ccncc1)N(C)C, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: C[N+](C)(C12CC3CC(C2)CC(C3)C1)C, cl: C(C)CNCCC, target: C[N+](C)(C)C12CC3CC(C1)CC(C3)C2
origin: NC(C)CC(C)(N)C, cl: C1C(CCCC1)N(C1CCCCC1)C, target: NCCCN
origin: N(CC)(CC)CC, cl: c1ccc(cc1)C(O)C(N(C)Cc1ccccc1)C, target: CC[N+](CC)(CC)CC
origin: C12CC3CC(C2)CC(C3)([N+](C)(C)C)C1, cl: c1c(ccnc1)N1CCCC1CO, target: [N+](C)(C)(C12CC3CC(CC(C1)C3)C2)C
origin: C12CC3CC([N+](C)(C)C)(CC(C3)C1)C2, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C1C2CC3CC(C2)CC1([N+](C)(C)C)C3
origin: C1C([N+](C)(C)C(CC1)C)C, cl: c1cc(C[n+]2c(C)n(C)cc2)ccc1, target: [P+](CC)(CC)(CC)CC
origin: C1C(C)C[N+](CC1C)(C)CC, cl: C12CCCCN1CC1C3CCCC[N+]3(C)CC2C1, target: [N+](C)(C12CC3CC(C1)CC(C3)C2)(C)C
origin: C1NCCN(C)C1, cl: c1cccc(C(O)C(C)NC)c1, target: N1CCN(CCN)CC1
origin: C12CC3([N+](C)(C)C)CC(CC(C3)C1)C2, cl: C1N(Cc2cc(F)ccc2)CCC1, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C12CC3CC(CC(C3)(C[N+](C)(C)C)C1)C2, cl: C1CCCN1Cc1ccccc1F, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3, cl: C1C[N+](CC2C3CC(CC3)C21)(C)C, target: C([N+](CC)(CC)CC)C
origin: C1C2CC3(CC1CC(C3)C2)n1c[n+](cc1)C12CC3CC(CC(C3)C1)C2, cl: C1CCCCC1N(C1CCCCC1)C, target: C[N+](C12CC3CC(C1)CC(C2)C3)(C)C
origin: C(CCCCCN)N, cl: C(CC[n+]1c(C)c(n(C)c1C)C)C, target: C1CCCCC1N
origin: C(CC)NCCC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: NC1CCCCC1
origin: C1C2CC3CC(CC1C3)(C2)[N+](C)(C)C, cl: C(CO)N(CCO)C, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: [N+]1(CCCC1)(C)CCCCC[N+]1(CCCC1)C, cl: C1[N+]2(C)CC3CC(CN4C3CCCC4)C1CCCC2, target: CC[N+](CC)(CC)CC
origin: [N+](C)(C)(C)CC, cl: C([N+](CC)(CC)CC)C, target: CCCCNC
origin: C(C)CN(CCC)CCC, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(CNCCC)C
origin: C(CCCCCCC)CCCCCCCCCCC[N+](C)(C)C, cl: c1n(C)c[n+](CC)c1, target: C(CNCCC)C
origin: C(N(CC)C(C)C)(C)C, cl: c1ccc(CN2CCCC2CO)cc1, target: C(C)(NC(C)C)C
origin: C(CC[N+](C)(C)C)CCCCCCCCCCCCC, cl: C([n+]1c(n(cc1)C)C)C, target: CC(NC(C)C)C
origin: C1CCCC(C1)N, cl: C1CN(C)CCCN(CCN(C)CCCN1C)C, target: CCN(CC)CC
origin: C[N+](C)(C12CC3CC(CC(C1)C3)C2)C, cl: C1CCCN1Cc1ccc(F)cc1, target: [N+]1(CC)(C)C(C)CCCC1
origin: C1CCC(C)[N+](C1C)(CC)C, cl: N(C1CCCCC1)(C)C1CCCCC1, target: C[N+]1(C)CC(C)(C)CCC1
origin: C1CC([N+](C(CC1)C)(C)C)C, cl: C(N(CC)CC)C, target: CC1C[N+](CC)(CC)CCC1
origin: C1C([N+](CCC1)(C)C)CC, cl: C1C2CC3CC(CC1(C3)[N+](C)(C)C)C2, target: C1(C)OC(C)C[N+](CC)(CC)C1
origin: C1CCC2CCCC([N+]2(CC)CC)C1, cl: C1CCCCNC1, target: CC[N+]1(CC)CC(C)(C)CCC1
origin: CC1(C)C[N+](CC)(CCC1)CC, cl: C1CCN(Cc2ccccc2)C1, target: [N+]1(CC)(CC)CC(C)CC(C)C1
origin: C1CC(C)[N+]2(C(C)C1)CCCC2, cl: C(C(C)NC)(c1ccccc1)O, target: CC([N+]1(C)CC(C)(C)CCC1)C
origin: C1CC(C)[N+](C(C)C1)(C)CC, cl: C(C(O)c1ccccc1)(NC)C, target: C1C[N+]2(CCCC(C)(C)C2)CC1
origin: C1CC(C)[N+](CC)(CC)C(C1)C, cl: C12CC3CC(C2)CC(C3)C1[N+](C)(C)C, target: C1(C)CC(C)C[N+]2(C(C)CCC2)C1
origin: C(CCC)N(CCCC)CCCC, cl: C1(CO)N(Cc2ccccc2)CCC1, target: C1CNCCO1
origin: C1CCCC[N+]1(CCC[N+]1(C)CCCCC1)C, cl: C1C2C3CCCCN3CC(C1)C1[N+](C)(CCCC1)C2, target: C1C(N2CCCCC2)CCNC1
origin: C(CCCC)NCCCCC, cl: C(O)(C(c1ccccc1)O)C(N(C)C)C, target: CCNCC
origin: C1CC(N)C(CC1)N, cl: C(C)Cn1c[n+](C)cc1, target: NCCNCCN
origin: C1C(C)(NCCNC(CC(C)(C)NCCNC1C)C)C, cl: C(N(CC)CC)C, target: C1CCN(C2CCNCC2)CC1
origin: CC[n+]1cn(cc1)C, cl: c1cccc(CN2CCCC2CO)c1F, target: c1ncccc1
origin: c1ncccc1, cl: c1cc(C(O)C(NC)C)ccc1, target: c1ncn(C)c1
origin: C(C)CNCCC, cl: c1c(F)cc(CN2CCCC2)cc1, target: CCCNCCC
origin: C(C)(C)(NC(C)(C)C)C, cl: C(N(CC)CC)C, target: N(CCC)CCC
origin: [nH]1ccnc1, cl: N(CC)CCCCCCN(CC)CC, target: c1cccc[nH+]1
origin: c1[nH](C)cn1C, cl: C1C2CC3(CC1CC(C2)C3)[N+](C)(C)C, target: [NH+]1(C)C=NC=C1
origin: C1CCCC[N+]1(C)CCCC[N+]1(CCCCC1)C, cl: c1(C[N+](Cc2ccccc2F)(C)C)cccc(F)c1, target: C1CCCN(C)C1
origin: C(C)[N+](CC)(CC)CCCC[N+](CC)(CC)CC, cl: C(C)[N+](CC)(CC)CC, target: C[N+](C)(C)C
origin: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, cl: c1cc(F)cc(CN2CCCC2)c1, target: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C
origin: C12CC3(CC(C2)CC(C3)C1)[N+](C)(C)C, cl: c1c(C)[n+](CC)c(n1C)C, target: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2
origin: C([n+]1ccn(c1)C)CCC, cl: c1c(CN2CCCC2CO)cccc1, target: C1CNCCO1
origin: C(CCCNCCCCC)C, cl: C1CCCN1Cc1ccc(cc1)F, target: C1OCCNC1
origin: C(CCCCCCCCCCCCC)CCCCCCC[N+](C)(C)C, cl: N(CC)(CC)CC, target: NC1CCCCC1
origin: C1CC[N+](CCCCC[N+]2(CCCC2)C)(C1)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C1CCC(N)CC1
origin: C(CNCCN)NCCNCCN, cl: C1CCCCC1N(C)C1CCCCC1, target: C(C)N(CC)CC
origin: [N+](C)(C)(CC)CC, cl: c1cccc(c1)C(O)C(N(C)Cc1ccccc1)C, target: C(C)N(CC)CC
origin: C1N(CCN(CCN(C)CCN(CCN(C)CCN(C1)C)C)C)C, cl: c1ccc(cc1)C(O)C(C)NC, target: N1CCN(C)CC1
origin: C12CC3CC(CC(C1)(C3)[N+](C)(C)C)C2, cl: C1N(CCN(C)CCN(C)CCN(CCN(C)CCN(C1)C)C)C, target: C12CCC[N+](C)(C)CC1CCCC2
origin: C1CC2CC[N+](C)(CC2C1)C, cl: [N+](CCO)(CCO)(CCO)C, target: C1CC2CCC[N+](C)(C)C2CC1
origin: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, cl: C(C(c1ccccc1)O)(NC)C, target: C1C2C(CCC1)CCC[N+]2(C)C
origin: C1CC[N+](C)(C)CC1(C)C, cl: C12CC3(CC(CC(C1)C3)C2)[N+](C)(C)C, target: C1CC[N+](C)(C)C2C1CCCC2
origin: C1CC2CCCCC2[N+](C)(C1)C, cl: c1(Cn2cc[n+](C)c2C)ccccc1, target: C[N+]1(C)CCCC2CCCC21
origin: C1[N+](C2CC(CC1(C)C2)(C)C)(C)C, cl: C(N(CC)CC)C, target: C[N+]1(C)CCC2C(C1)CCC2
origin: c1cn(c(C)[n+]1C)C, cl: c1cccc(c1)C(O)C(C)NC, target: C1CCCNC1
origin: Cc1n(c[n+](C)c1)C, cl: C(C(NC)C)(c1ccccc1)O, target: O1CCNCC1
origin: CC[n+]1ccn(C)c1, cl: C(C[N+](CCC)(CCC)CCC)C, target: N1CCCNCCNCCCNCC1
origin: CC1(C)NCCNC(C)CC(C)(NCCNC(C1)C)C, cl: c1c(CN2C(CO)CCC2)cc(F)cc1, target: c1[n+](C)cn(C)c1
origin: Cn1cc[n+](CC)c1C, cl: c1cc(CN2CCCC2)cc(c1)F, target: C(C)[n+]1ccn(C)c1
origin: C1CC[N+](C)(CCCCC[N+]2(C)CCCC2)C1, cl: c1ccc(C(O)C(NC)C)cc1, target: C(N(CC)CC)C
origin: CC(N(C(C)C)C(C)C)C, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1CCCC(N)C1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, target: C(C)N(CC)CC
origin: CC(n1c[n+](C(C)C)cc1)C, cl: c1c(CN2CCCC2CO)cccc1F, target: C1CNCCO1
origin: C1(C)CC(NCCNC(C)(C)CC(NCCN1)(C)C)C, cl: C(C)(N(CC)C(C)C)C, target: C1OCCNC1
origin: c1(n(C)c([n+](C)c1)C)C, cl: c1ccc(cc1)CN1CCCC1CO, target: C1COCCN1
origin: CC1(C)NCCNC(C)(C)CC(C)NCCNC(C1)(C)C, cl: C12CC3CC(C2)CC(C1)(C3)[N+](C)(C)C, target: Cn1cc[n+](CC)c1
origin: Cn1c([n+](cc1)C)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1CCCCN1
origin: C1CCC(C)(NCCNC(CC(NC1)(C)C)C)C, cl: C(CC[n+]1ccn(c1)C)C, target: C1CCCNC1
origin: C1CCNCCC1, cl: C12C3CC(CN1CCCC2)C1[N+](CCCC1)(C3)C, target: C1CNCCC1
origin: Cn1c[n+](cc1)CC, cl: C1(CO)N(CCC1)Cc1ccccc1, target: C1CNCCC1
origin: C1(C)(C[N+](C)(C)CC(C)(C)C=C1)C, cl: C1CN(Cc2ccccc2F)CC1, target: CC[N+](CC)(CC)CC
origin: CN(C)CCCCCCN(C)C, cl: C1CC(CCC1)N(C1CCCCC1)C, target: CC[N+](CC)(CC)CC
origin: c1n(c[n+](c1)CC)C, cl: C(C)C[N+](CCC)(CCC)CCC, target: C1CCCC(N)C1
origin: C1CC(N)CCC1, cl: C1CCCCC1N(C)C1CCCCC1, target: C1C(N)CCCC1
origin: C1C2CC3CC1C[N+](C(C3)C2)(C)C, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C(CC)NCCC, cl: C(C)(N(C(C)C)CC)C, target: CC[N+](CC)(CC)CC
origin: C(CC[N+](CC)(CC)CC)C[N+](CC)(CC)CC, cl: C1CC(CO)N(Cc2ccccc2)C1, target: C1COCCN1
origin: C1CCC(C[N+](C)(C1)C)(C)C, cl: c1([n+](ccn1C)CC)C, target: C12([N+](C)(C)C)CC3CC(C1)CC(C3)C2
origin: C(C)CNCCC, cl: C1CCCN2C1C1C[N+]3(C(C(C2)C1)CCCC3)C, target: CC[N+](CC)(CC)CC
origin: c1c[n+](cn1C)CC, cl: c1(ccccc1)C(O)C(C)NC, target: CCN(CC)CC
origin: C1CCCC(C1)N, cl: C1CCN(C1)Cc1c(F)cccc1, target: C(C)N(CC)CC
origin: C1C(C)([N+](CCC1)(C)C)C, cl: c1(ccccc1)CN1C(CO)CCC1, target: C1([N+](C)(C)C)CCCCC1
origin: C(C)CC[n+]1ccn(c1)C, cl: c1c(cc(CN2CCCC2)cc1)F, target: C(C)[N+](CC)(CC)CC
origin: C(CCC[N+](C)(C)C)CCC, cl: c1[n+](CCCC)c(C)n(C)c1, target: C(C)[N+](CC)(CC)CC
origin: C1CC2CC(CC2)C[N+]1(C)C, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3
origin: C(CC)N(CCC)CCC, cl: C1CN(Cc2cccc(F)c2)CC1, target: C(C)[N+](CC)(CC)CC
origin: C(CCCCCC)CCCCCCCCC[N+](C)(C)C, cl: C12C[N+]3(C)CCCCC3C(C2)CN2CCCCC21, target: C(CO)N(C)CCO
origin: C(C(NC)C)(O)C, cl: c1cc(ccc1CN1CCCC1CO)F, target: C(O)CN(CC)CCO
origin: C1CCC(N)CC1, cl: c1(CN2CCCC2)cc(ccc1)F, target: CC[N+](CC)(CC)CC
origin: C1CC2C(CCC2)[N+](C)(C1)C, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C[N+]1(C)CCCC2C(CCCC2)C1
origin: C1CC2CCCCC2[N+](C)(C1)C, cl: C(C)CC[n+]1ccn(C)c1, target: C[N+]1(C)C2CCCCC2CCC1
origin: C1CCC2C[N+](C)(C)CC2CC1, cl: [N+]1(CC)(CC)C(CCCC1)CC, target: C12CCC[N+](C)(C)C1CCCC2
origin: C1CCCC2[N+](C)(C)C1CC2, cl: C1CCCC(C1)N(C1CCCCC1)C, target: C1C[N+](C)(C)C2C(CCCC2)C1
origin: C1CCCC2C1[N+](CCC2)(C)C, cl: C(c1ccccc1)(C(C)NC)O, target: C12CCCC1[N+](C)(C)CCC2
origin: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)C, cl: C12CC3CC(C(C([N+](C)(C)C)C1)C3)C2, target: C1CC2CC[N+](C)(C)CC2C1
origin: C(C)(N(C(C)C)CC)C, cl: CC(C(c1ccccc1)O)NC, target: C(C)[N+](CC)(CC)CC
origin: C(C)(N(C(C)C)CC)C, cl: C(CC)CNCCCC, target: C1(N)CCCCC1
origin: C(CC)NCCC, cl: CN(C1CCCCC1)C1CCCCC1, target: C1(N)CCCCC1
origin: [n+]1(cn(cc1)C)C, cl: c1cc(cc(c1)F)CN1CCCC1, target: C1CCCNC1
origin: n1(C)c[n+](cc1)C, cl: C(CC)N(CCC)CCC, target: c1cnccc1
origin: CCc1n(c[n+](c1)C)C, cl: C1N(CCC1)Cc1ccccc1, target: c1[n+](C)ccn1C
origin: c1(C)[n+](cc(C)n1C)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: c1c[n+](C)cn1C
origin: Cn1c[n+](cc1)CC, cl: C(C)C(N(CCC)CCC)CC, target: c1cn(C)c(C)[n+]1C
origin: [n+]1(cc(n(C)c1)C)C, cl: C1CC(N(C)C2CCCCC2)CCC1, target: Cn1c(C)[n+](C)cc1
origin: Cn1c([n+](C)cc1)C, cl: C1N(CCC1)Cc1ccccc1, target: Cn1cc[n+](C)c1C
origin: Cn1cc[n+](C)c1C, cl: C([n+]1c(n(C)cc1)C)C, target: c1[n+](C)cn(C)c1C
origin: c1(c[n+](c(n1C)C)C)CC, cl: C(CC)N(CCC)CCC, target: C[n+]1cn(C)c(C)c1
origin: c1[n+](ccn1C)CC, cl: C([N+](C)(C)C)C, target: n1(C)c(C)c[n+](C)c1C
origin: c1(C)n(C)c(c[n+]1C)C, cl: C(C(O)c1ccccc1)(N(C)C)C, target: n1(C)c(C)c[n+](C)c1C
origin: C1C([N+](C)(C(C)CC1)C)C, cl: C1CCN(Cc2ccccc2F)C1, target: C1(C)C[N+](C)(C)CC(C)C1
