origin: C(c1ccccc1)N1CCCC1CO, cl: CC(NC(C)C)C, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: C(N(CC)CCCC)C, cl: c1cc([C@@(C)C)(C))ccc1, target: C(N(CC)CC)C
origin: CCN(CC)CC, cl: C1CCCN2C[3+](C)4CCNCCCC1C32CCCCN1C, target: CCN(CC)CC
origin: C(C)N(CCOCC)CC, cl: C(O)CN(CCO)CC, target: C(C)N(CCO)CC
origin: [C@@H](O)C(1CC(()cCccccc)))), cl: c1cc(CN2CCCC2)ccc1, target: [C@@H](O)(c1ccccc1)[C@@H](NC)C
origin: C12CC3C[N+](C))CC(C2)C1(C)C, cl: c1(CN2CCCC2)OcCc(c)c11, target: C12CC3C[N+](C)(C)C(CC(C1)C3)C2
origin: CC(C)N(CC)CC, cl: N(CCO)(CCOCC)O, target: CC(C)N(CC)C(C)C
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C(N(CC)CC)C, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C1[C@@H]2]2C3CC(CN(C1)C22CCCC1)CCCC3, cl: C(N(CC)CC)C, target: C1[C@@H]2[C@@H]3CN4[C@H]([C@H](C[N+]2(C)CCC1)C3)CCCC4
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: C1C2([N+](C)(C)C)CC3CC1CC(C3)C2, target: C(N(CC)CC)C
origin: c1ccc(F)c(1[N+](C)(C)CcCcccFFFcc1, cl: C(C)N(CC)CC, target: c1ccc(F)cc1C[N+](Cc1cccc(F)c1)(C)C
origin: C(C)[N+](CC)(CC)CC, cl: CC(C)CNCCCC, target: C(C)[N+](CC)(CC)CC
origin: [N+](CC)(CC)(CC)CC, cl: C(C)N(CC)CC, target: [N+](CC)(CC)(CC)CC
origin: C(N(CC)CCCCCCCC(()))C, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: [C@@H]1(CcNccccc1)c1ccccc1, cl: C1CC(N)CCC1, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: C1C2CC3CC(CN1C3CCCC4)C2NNCCC, cl: C(C)CN(CCC)CCC, target: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2
origin: C(N(CC)CC)C, cl: N(CC)(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: [C@@H]([Cc](c)c11, target: C(N(CC)CC)C
origin: C([N+](CCC(())C)CC)C, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
origin: OCC(Cn1cc[n+](C)c1C)O, cl: C1CCNCCC1, target: OCC(Cn1cc[n+](C)c1C)O
origin: C(C)CN(CCC)CCC, cl: N(CC)(CC)CC, target: C(C)CN(CCC)CCC
origin: C(N(CC)CC)C, cl: C([N+](CC(())C)cCccccc))11Cc1ccccc1, target: C(N(CC)CC)C
origin: C(N1CCCC1)c1cccc(1)cc1, cl: C[N+](C1C22CCCCCCCC1))CCCC, target: C(N1CCCC1)c1ccccc1
origin: C1N(Cc2ccccc2FCCcCc2c1cccc, cl: C1COCCN2CCOCCOCCN(CCOC)OCC2CCOOCOOC1, target: C1N(Cc2ccc(F)cc2)CCC1
origin: CN(C(N(C)C)=N)C, cl: N=C(N(C)C)N(C)C, target: CN(C(N(C)C)=N)C
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: N(CC)(CC)CC, target: c1ccc(CN2[C@H](CO)CCC2)cc1
origin: C(CC)CCC[[+]12CCCCCC1, cl: N(C)[C@@HC+](C)1cccccc1, target: C(CC)CCC[n+]1c(C)n(C)cc1
origin: C(N(CC)CCCCCCCCCCCCC))C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C([N+](CC)(CC)CCCCCC)C, cl: CCN(CC)CC, target: C([N+](CC)(CC)CC)C
origin: CC[n+]1c(C)n(C)cc1, cl: OCCN(CC)CC, target: CC[n+]1c(C)n(C)cc1
origin: C(N(CC)CC)C, cl: C(N1CCCC1)O1CcCc(F)ccc1, target: C(N(CC)CC)C
origin: C(CC)C[N+]1(C)CCCC1, cl: CCCN(CCC)CCC, target: C(CC)C[N+]1(C)CCCC1
origin: C(CC)N(CCC)CCC, cl: c1cccc(CN2C(CO)CCC2)c1, target: C(CC)N(CCC)CCC
origin: C(N(CC)CC(C)C)C, cl: N1(Cc2ccccc2)CCCC1, target: C(N(CC)CC)C
origin: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2, cl: [C@H]([C@](C)N)C, target: C[N+](C)(C)C12CC3CC(CC(C3)C1)C2
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(N(C(C)O)CC)C, cl: C1CCCCC1N(C1CCCCC1)C, target: C(N(C(C)O)CC)C
origin: C(N(CCN(C)C)O)O, cl: c1ccccc1C(1)C(C)NCCN, target: C(N(CCN(CCO)CCO)CCO)CO
origin: C(C)N(CC)CC, cl: C(C)N(CC)CC, target: C(C)N(CC)CC
origin: C(CO)N(CCCCCCCCCCCCCCCC)C, cl: CCC[N+](CCC)(CCC)CCC, target: C(CO)N(CC)CC
origin: O[C@H](c1cccc11)C, cl: C(NCC)C, target: O[C@H](c1ccccc1)[C@H](C)NC
origin: C1(N(C)C2CCCCC2)CCCCC1, cl: CC[N+](CC)(CC)CC, target: C1(N(C)C2CCCCC2)CCCCC1
origin: N(CC)(CC)CC, cl: c1ccccc1CN1CCCC1CO, target: N(CC)(CC)CC
origin: [N+]1(CC)(CC)C(C)CCC(1)C1CC(C)C1, cl: CC[N+](CC)(CC)CC, target: [N+]1(CC)(CC)C(C)CCCC1C
origin: N(CC)(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: C1C[C@@H]+](Cc2ccccc2)CC(1CC)C, cl: CCCN(CCC)CCC, target: C1C[C@@H](CO)N(Cc2ccccc2)C1
origin: NCCN1CCNCC1, cl: CC(C)N(CC)C(, target: NCCN1CCNCC1
origin: CCN(CC)CC, cl: CCC[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C[N+]12CCCCC1C1CC3CC2CNCCC3)C1, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: c1(C[N+](())CCCC(()cCcccc2)c)cc1, target: C(N(CC)CC)C
origin: c1cccc(CN2CCCC2CO)c1, cl: C(C)CN(CCC)CCC, target: c1cccc(CN(C)C)c1
origin: CCN(CC)CC, cl: N1(Cc2ccccc2)CCCC1CO, target: CCN(CC)CC
origin: C1[C@@H]2]2(c)cccc11CC2CCCC1CC2, cl: CN(C)C(N(C)C)=N, target: C1[C@@H]2C[C@H]([C@H]3CCCC[N+]13C)CN1CCCC[C@H]12
origin: CCN(CC)CC, cl: C(C[n+]1cc(()ccc2)cnnC, target: CCN(CC)CC
origin: C(C[N+](CCC)(CCC)CCC)CC, cl: c1ccc(CN2CCCC2)Oc1F, target: C(C[N+](CCC)(CCC)CCC)C
origin: C(CC)N(CCC)CCC, cl: c1cccc(CN2CCCC2)O1, target: C(CC)N(CCC)CCC
origin: [N+](C1C22CCCC1CCC2)(C)CCCCC, cl: [C@H]12[N+]2CCCCCCCC1)cCc(cccc2)Cc1, target: [N+](C1C2CC3CC1CC(C2)C3)(C)(C)C
origin: C(CC)[N+](CCC))CCC, cl: CN(C(N(C)C)=N)C, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1(N(C)C2CCCCC2)CCCCC1, cl: CCN(CC)CC, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1CCCCCN1CC11CcCc(c)cc11[N+]1(C)CCCC1, cl: CN(C)C, target: C1CCCCCN1
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: c1c(CN2CCCC2)ccccFF, cl: C(N(C(C)C)(C)C)C, target: c1c(CN2CCCC2)cccc1
origin: N(c1ccncc1)(, cl: Cc1[n+](CC)ccn1C, target: N(c1ccncc1)(C)C
origin: C(CC)[N+](CCC)(CCC)CCC, cl: OCC[N+](CCO)(C)CCO, target: C(CC)[N+](CCC)(CCC)CCC
origin: Fc1cccc(C[2+](C)2CCCCO)Occc, cl: CN(C)C, target: Fc1cccc(CN2CCCC2)c1
origin: C(C)[N+](CC)(CC)CC, cl: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2, target: C(C)[N+](CC)(CC)CC
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: N1(Cc2ccccc2)CCCC1, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C([N+](CC(())c)cccccc1)(, target: C1CCCCC1N(C1CCCCC1)C
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: c1(C)[n+](C)c(C)n(C)c1C, target: c1ccc(CN2CCCC2)cc1F
origin: C1CCN(Cc2ccccc2)C1CO, cl: CCN(CC)CC, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C[N+]1(CCCC)CCCC1, cl: C(N(CC)CC)C, target: C[N+]1(CCCC)CCCC1
origin: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2, cl: CCN(CC)CC, target: C1C2CC3CC1CC([N+](C)(C)C)(C3)C2
origin: CCNCC, cl: CN(C)c1ccccc1, target: CCNCC
origin: CN(C(=N)N(C)C)O, cl: C(C)N(CC)CC, target: CN(C(=N)N(C)C)C
origin: N(C1CCCCC1)(C1CCCCC1)C, cl: CCN(CC)CC, target: N(C1CCCCC1)(C1CCCCC1)C
origin: C(N(CC)CC)C, cl: C[N+](C)(C12CC3CC(CC(C3)C1)C2)C, target: C(N(CC)CC)C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1N(Cc2ccccc2FCC)OC1, cl: C1CCN(Cc2ccccc2)C1CO, target: C1N(Cc2ccccc2)[C@H](CO)CC1
origin: [N+](C12CC3CC(CC(C1)C3)C2)(C)(C)C, cl: CCN(CC)CC, target: [N+](C12CC3CC(CC(C3)C1)C2)(C)(C)C
origin: C(N(CC)CC)), cl: c1(N(C)C)ccncc1, target: C(N(CC)CC)C
origin: [C@H](NC)((C)Ccccccc))1, cl: C1CCCCCN1, target: [C@H](NC)(C)[C@H](O)c1ccccc1
origin: c1(F)ccccCCCNNCCC, cl: N(CC)(CC)CC, target: c1(F)cccc(CN2CCCC2)c1
origin: C([N+](CCC(())C)CC)C, cl: c1c(N(C)C)cccc1, target: C([N+](CCC)(CCC)CCC)CC
origin: CCN(CC)CC, cl: C1[C@H]2C2((C)CCCCCC2)CC2C1CCCC2, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C1COCCN2CCOCCOCCN(CCOC)OCC2CCOOCOOC2, cl: Fc1ccccc1CN1CCCC1, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: CCN(CC)CC, cl: C(CC)[N+](CCC)(CCC)CCC, target: CCN(CC)CC
origin: C(N(CC)CC)C, cl: C(C)N(CC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: C(N1[C@H]+](Cc2ccccc2)C)1cccccc1, target: C(N(CC)CC)CO
origin: CC(CNCC(O)C)O, cl: CCN(CC)CC, target: CC(CNCC(O)C)O
origin: C(N(CC)CC)C, cl: CN(C)c1ccccc1, target: C(N(CC)CC)C
origin: CCCN(CCC)CCC, cl: c1(C)n(C)c(C)[n+](C)c1C, target: CCCN(CCC)CCC
origin: c1c(CN2CCCC2)cccc1F, cl: C1C(N(C2CCCCC2)C)CCCC1, target: c1c(CN2CCCCC2)cccc1
origin: N12C[C@@HC+](C))CC1CCCC2, cl: C(N(CCC)CCC)C, target: N12C[C@@H]3C[C@@H](C[N+]4(C)CCCC[C@H]34)[C@@H]1CCCC2
origin: CC(N(CC)CCC, cl: C(C)CC[N+]1CCCCCC, target: CC(N(CC)CC)O
origin: CCN(CC)CC, cl: C1CC(N(C)C2CCCCC2)CCC1, target: CCN(CC)CC
origin: C1CCC(C)[N+]2(CCCC2)C1CC, cl: C1CCN2C[C+]4CC(CCCCN)(N2)C2)C1, target: C1CCC(C)[N+](CC)(CC)C1C
origin: C[N+](CCO)(C)OCO, cl: C(C)N(CC)CC, target: C[N+](CCO)(CCO)CCO
origin: C([N+](CC)(CC)CC)C, cl: C1CCN2[C@](C)CC[N+]2(C)CCCCC, target: C([N+](CC)(CC)CC)C
origin: C(N(CC)CC)C, cl: C1CCN(Cc2ccccc2)C(CO)C1, target: C(N(CC)CC)C
origin: c1(CN2CCCC2Cc)cccc1, cl: C(C)N(CC)CC, target: c1(CN2CCCC2)c(F)cccc1
origin: OC[C@@H]1](C)1cccccc1, cl: C(CC)N(CCC)CCC, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: CC[N+](CC)(CC)CC, cl: C(CC)[N+](CCC)(CCC)CCC, target: CC[N+](CC)(CC)CC
origin: C[N+]1(CCCC)CCCC1, cl: C(CO)N(CCCCCC(C)C)CCC, target: C[N+]1(CCCC)CCCC1
origin: c1ccccc1CN1C(CO)CCC1, cl: C1C2([N+](C)(C)C)CC3CC1CC(C2)C3, target: c1ccccc1CN1[C@H](CO)CCC1
origin: CCN(CC)CC, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C1OCCOCCN2CCOCCOCCN(CCO)CCO, cl: C1C[N+]2(C)C(3CCCCN4CCCC2)33CCCCC2C1, target: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1
origin: C(C)NCC, cl: CN(C)c1ccncc1, target: C(C)NCC
origin: C(CC)CCNCCCCC, cl: C(N(CC)CC)C, target: C(CC)CCNCCCCC
origin: c1(CN2CCCC2)ccccc1F, cl: CCN(CC)CC, target: c1(CN2CCCC2)cc(F)ccc1
origin: [C@H]([C@](C)(()cccccc))11cccccc, cl: C1CC2[N+](C)(CC3C42CCCC4N(CCCC2)C3)C1, target: [C@H]([C@H](C)NC)(O)c1ccccc1
origin: N(CC)(CC)CC, cl: CN[C@@H](](C)1cCcccc1)C, target: N(CC)(CC)CC
origin: CCN(CC)CC, cl: c1cc(C[N+]2CCCN(CC))CCc)c1, target: CCN(CC)CC
origin: C[N+](C)(C)C(C)C, cl: C([N+](CC))CCCCCCCCCCC, target: C[N+](C)([C@@H](C)[C@@H](c1ccccc1)O)C
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: CCN(CC)CC, cl: C(N1CCCC1)c1ccccc1, target: CCN(CC)CC
origin: c1ccc(C[N+](C)2CCCCCCO)cc1, cl: CCN(CC)CC, target: c1ccc(C[N@+]2(C)CCC[C@H]2CO)cc1
origin: n1(CC(CO)O)cc[n+](C)c1C, cl: C1CCCC(N(C2CCCCC2)C)C1, target: n1(CC(CO)O)c(C)[n+](C)cc1
origin: c1cccc([C+](Cc2ccccc2)CCC)c1, cl: N(C)[C@H]c]cc11(C)CcCccc1, target: c1cccc([C@@H](O)[C@H](C)[N+](C)(C)C)c1
origin: C(C)N(CC)CC, cl: C1N2[C@H]+](C))CC2C1(C)CC(C)(C)C1, target: C(C)N(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C(NCCCC)CC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C(C(C)C)NnCccc1, cl: C(N(CC)CC)C, target: C(C(C)C)NCC(C)C
origin: C(CN(CCC)CCC)C, cl: C(C)[N+](CC)(CC)CC, target: C(CN(CCC)CCC)C
origin: C1[C@H]2C2((3)C(C)CCCCC3)(c)cccc112, cl: c1(CN2CCCC2)cccccF, target: C1[C@H]2C[N+]3(C)CCCC[C@@H]3[C@@H]1CN1[C@H]2CCCC1
origin: N(C)(C1CCCCC1)C1CCCCC1, cl: c1c(F)cccC1CNNCCCC1, target: N(C)(C1CCCCC1)C1CCCCC1
origin: C1[N+](C)(C)C2CC(C2CC))CC1, cl: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, target: C1[N+](C)(CC)C2CC3CC(CC1C3)C2
origin: C1[C@@H]2]2C(C3CCCCC4C(C3)C2)CC1, cl: C(c1ccccc1)[1+](C)1CCCC1CC, target: C1[C@@H]2[C@H]3CCCC[N+]3(C)C[C@H]1[C@@H]1CCCCN1C2
origin: N(C)(C)C, cl: C1[C@@H](](Cc2ccccc2)C)(CCCcCc2cccc1)C, target: N(C)(C)C
origin: CCCN(CCC)CCC, cl: OCCN(CCN(C)O)C, target: CCCN(CCC)CCC
origin: CC[N+](CC)(CC)CC, cl: C1[C@@H]2]2C(C3CCCCC4C(C3)C2)CC1, target: CC[N+](CC)(CC)CC
origin: Cc1c(C)n(C)c(C)[n+]1C, cl: c1(N(C)C)ccccc1, target: Cc1c(C)n(C)c(C)[n+]1C
origin: C(N(CC)CC)C, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: C([n+]1ccn(C)c1C)C, cl: C(CN(CCC)CCC)C, target: C([n+]1ccn(C)c1)c1ccccc1
origin: c1ccccc1C[1+](Cc1c(C)cccc1)C, cl: C(C)N(CC)CC, target: c1ccccc1CN1CCCCCC1
origin: N(C)(C)C, cl: N(CC)(CC)CC, target: N(C)(C)C
origin: CCN(CC)CC, cl: C1C(N)CCCC1, target: CCN(CC)CCO
origin: C(CC)[N+](CCC)(CCC)CCC, cl: C1CCN(Cc2ccccc2)C(CO)C1, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCOC, cl: C12([N+](C)(C)C)CC3CC(C1(C1)CC(C2)C3, target: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCO1
origin: C([N+](CC1(CC)CCCCC))), cl: CCN(CC)CC, target: C([N+](CCC)(CCC)CCC)CC
origin: c1(CN2CCCC2)cccccFF, cl: c1cc(CN(C)C)cc11, target: c1(CN2CCCCC2)ccccc1
origin: N(C(=N)N(C)C)(C)C, cl: CCN(CC)CC, target: N(C(=N)N(C)C)(C)C
origin: CCN(CC)CC, cl: N(CCC)(CCC)CCC, target: CCN(CC)CC
origin: [n+]1(Cc2ccccc2)ccn(C)c1, cl: CCC[N+](CCC)(CCC)CCC, target: [n+]1(Cc2ccccc2)cn(C)cc1
origin: CCN(CC)CC, cl: c1ccc(CN2CCCC2CO)cc1, target: CCN(CC)CC
origin: N(CCO)(CCO)C, cl: CCN(CC)CC, target: N(CCO)(CCO)CCO
origin: C(C)N(CC)CC, cl: C(C)N(CC)CC, target: C(C)N(CC)CC
origin: C1CC(N(C2CCCCC2)C)CCC1, cl: C(N(CC)CC)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C(C)N(CC)CC, cl: C1CCCCNC1, target: C(C)N(CC)CC
origin: c1c([C@@HC+]2c(()ccccc2)C)c(C)n(C)c1, cl: C(C)CN(CCC)CCC, target: c1c([C@@H](O)[C@@H](NC)C)cccc1
origin: N(C)(C1CCCCC1)C1CCCCC1, cl: C1[N+](C)(C)C2CCCCCCC2C1, target: N(C)(C1CCCCC1)C1CCCCC1
origin: CCN(CC)CC, cl: C1[C@@H](](ccccc22nCcc(2)Cccc2)ccc1, target: CCN(CC)CC
origin: c1cccc([C+](Cc2ccccc2)CCC)c1, cl: c1c(F)cc(([2+](C)CCCCCOCc2ccccc2)CC(c)c11, target: c1cccc([C@H](O)[C@H](C)NC)c1
origin: C12C3C[N+]4(C)CCCCC4C(CN)CC(C1CCCC))C, cl: C1CC[C@@HC+](Cc2ccccc22CCcCc2ccc1, target: C12C3C[N+]4(C)C(CCCC4)C(C3)CN1CCCC2
origin: C(CC)[N+]1CCCCC1, cl: OCCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C(N(CC)CC)C, cl: C(CN(CCC)CCC)C, target: C(N(CC)CC)C
origin: C([N+](CC(())))c1ccc(c)c1, cl: CC[N+](CC)(CC)CC, target: C([N+](CCC)(CCC)CCC)CC
origin: N1(Cc2ccccc2)CCCC1CO, cl: CC[n+]1ccn(C)c1C, target: N1(Cc2ccccc2)CCNCC1Cc1ccccc1
origin: N(C)(C)C, cl: CCN(CC)CC, target: N(C)(C)C
origin: C1(N(C)C2CCCCC2)CCCCC1, cl: CCC[N+](C)CCCCC, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C[C@H](N(C)1(C)C, cl: C([N+]1(CCCCCCNNCC))C, target: C[C@H](N(C)C)[C@H](O)c1ccccc1
origin: C(N(CC)CC)C, cl: C1CCCN(CcCc(c)cc1)O1, target: C(N(CC)CC)C
origin: CC(C)N(C(())))C, cl: CCCN(CCC)CCC, target: CC(C)N(C(C)C)CC
origin: C(C[N+](CCC)(CCC)CCC)CC, cl: N1(Cc2ccccc2FCC(C)2CC(C)(C)C1C, target: C(C[N+](CCC)(CCC)CCC)C
origin: c1c(CN([Cc]cccncc2)(C)C)ccc1, cl: CCN(CC)CC, target: c1c(CN([C@H]([C@@H](O)c2ccccc2)C)C)cccc1
origin: N(C(C)C)C(())), cl: C(N(CC)CC)C, target: N(C(C)C)C(C)C
origin: CC[N+](CC)(CC)CC, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: CC[N+](CC)(CC)CC, cl: N1(Cc2ccccc2)CCCC1, target: CC[N+](CC)(CC)CC
origin: CN[C@@H](](C)1(C)Cccccc1, cl: C(O)CN(CCO)CC, target: CN[C@@H](C)[C@@H](O)c1ccccc1
origin: CCCCCNCCCCC, cl: CN[C@@H](](C)1(C)C, target: CCCCCNCCCCC
origin: C(CC)N(CCC)CCC, cl: C(N(CC)CCCCCCCC(C)C)CC, target: C(CC)N(CCC)CCC
origin: C(C)NCC, cl: C(c1ccccc1)[N+](C)(C)Cc1ccccc1, target: C(C)NCC
origin: C1CCC[C@H2+]2c(cccc2)C1NCCC2, cl: C1OCCN2CCOCCOCCN(CCOCC)CC1)CCOCCO, target: C1CCC[C@H]2[C@@H]3C[N+]4(C)[C@H](CCCC4)[C@@H](C3)CN12
origin: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC, cl: CCN(CC)CC, target: O1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1
origin: CN(C(=N)N(C)C)C, cl: c1c[n+](Cc2ccccc2)c(C)n1C, target: CN(C(=N)N(C)C)C
origin: C(N(CC)CC)C, cl: C([N+](CCC(())C)CC)C, target: C(N(CC)CC)C
origin: N(CCCC)CCC, cl: C(N(CC)CC)C, target: N(CCCC)CCCC
origin: N(CC)(CC)CC, cl: C1CCN(Cc2ccccc2)C1, target: N(CC)(CC)CC
origin: C1CCC[C@H2+]2ccccc1, cl: c1(F)c(CN2C(CO)CCC2)cccc1, target: C1CCC[C@H]2[C@H]3C[C@H]([C@H]4CCCC[N+]4(C)C3)CN12
origin: CCN(CC)CC, cl: C([N+](CC)CCCCCCCCCCCCCCCCC)), target: CCN(CC)CC
origin: CN(C)C, cl: CCN(CC)CC, target: CN(C)C
origin: [N+]12(C)CCCCC1C1CN3C(C(C2)C1)CCCC3, cl: OC(CO)Cn1cc[n+](C)c1C, target: [N+]12(C)CC3CC(CN4C3CCCC4)C1CCCC2
origin: C(C)CC[n+]1cnnCCC, cl: C1C[C@@H]+](ccccc22c(c)c(c2cccc2)ccc, target: C(C)CC[n+]1cn(C)cc1
origin: C[N+]12CCCCC1C1CC3CC2CNCCC3, cl: c1cccc([C+](Cc2ccccc2)CCC)c1, target: C[N+]12CCCC[C@@H]1[C@@H]1CN3CCCC[C@H]3[C@H](C2)C1
origin: C[n+]1cc(C)n(C)c1C, cl: C(O)CN(CCOCCOOCOO(, target: C[n+]1cc(C)n(C)c1C
origin: CCN(CC)CC, cl: CCN(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CC, cl: C(N(CC)CCCCCCCCCCC))C, target: CCN(CC)CC
origin: N1(Cc2ccccc2)CCCC1, cl: CCCN(CCC)CCC, target: N1(Cc2cccc(F)c2)[C@H](CO)CCC1
origin: CN(C(N(C)C)=N)C, cl: C(N(CC)CCCCCCCCCCC)), target: CN(C(N(C)C)=N)C
origin: C1C2CC3CC(CC1C3NCCC))[[+]]2, cl: C(N(CCC)CCC)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C(C)N(CC)CC, cl: CCC[N+](CCC)(CCC)CCC, target: C(C)N(CC)CC
origin: CN(C)C, cl: C1[N+]2(C)CCCCC2C2CC1C1CCCCN1C2, target: CN(C)C
origin: c1c(N(C)C)cccc1, cl: C([N+](CC(())C)cCccccc))c1ccccc1, target: c1c(N(C)C)ccnc1
origin: N(CC)(CC)CC, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: C1C2CC3CC(CC)CC((NNCCCCCC3)C2)C2, cl: C1C2C3CC(C4C(CCNC4)CNNC3)C2NNCCC, target: C1C2CC3CC(C2)CC1C3[N+](C)(C)C
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: C1CN(Cc2ccc(c)c2)C(CO)C1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1(C[n+]2c(n)c(C)c2Cccccc2)ccn1C, cl: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1, target: c1(C[n+]2ccn(C)c2C)ccccc1
origin: C12CC3C[N+](C)(CCCC1)CCCC3, cl: CCN(CC)CC, target: C12CC3C[N+](CC)(C)C(C1)CC(C3)C2
origin: N=C(N(C)C)=(C)C, cl: CN(C1CCCCC1)C1CCCCC1, target: N=C(N(C)C)N(C)C
origin: CCN(CC)CC, cl: C(C[n+]1c(C)n(C)cc1)C, target: CCN(CC)CC
origin: c1c[n+](CCCC)cn1C, cl: C(N(C)CCOCCOCCO(()))CO, target: c1c[n+](CCCC)c(C)n1C
origin: C[C@@H]([1c]cccc1)11c(c)ccc1, cl: CCN(CC)CC, target: C[C@@H]([C@H](O)c1ccccc1)NC
origin: C1C[C@@H]+](Cc2ccccc2)CC(1CCCC22ccccc2)C, cl: c1c[n+](CCcccFC)c1F(1cCccccF)c1, target: C1C[C@@H](CO)N(Cc2ccccc2)C1
origin: c1ccc(F)c(1[2+](C)2CCCC1CO, cl: c1ccc(C[N+](C)2CCCCCC))cc1, target: c1ccc(F)c(CN2CCCC2)c1
origin: C(O)[C@@HC+](C)1cccccc, cl: [N+](CCC)(CCC)(CCC)CC, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: C(N(CC)CC)C, cl: CC[N+](CC)(CC)CC, target: C(N(CC)CC)C
origin: CCC[N+](CCC)(CCC)CCC, cl: C(N(CC)CC)C, target: CCC[N+](CCC)(CCC)CCC
origin: C(CC)N(CCC)CCC, cl: N(CC)(CC)CC, target: C(CC)N(CCC)CCC
origin: CCN(CC)CC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOC1, cl: CCCN(CCC)CCC, target: C1N2CCOCCOCCN(CCOCCOCC2)CCOCCOC1
origin: C(O)CN(CCO)CC, cl: OCC[N+](C)OCCO, target: C(O)CN(CCO)C
origin: CN(Cc1ccccc1)C, cl: C1NCCCCC1, target: CN(Cc1ccccc1)[C@H]([C@H](O)c1ccccc1)C
origin: C1CN(Cc2cccc(2)C(CO)C1, cl: c1(C)c(C)[(+](Ccnccc2)cccc1, target: C1CN(Cc2ccccc2)CC1
origin: CCN(CC)CC, cl: C(C)N(CC)C, target: CCN(CC)CC
origin: c1c(CN2[C)](()(C)C)Ccccc1, cl: C(c1ccccc1)[1+](C)1CCCC(C)(C)C1, target: c1c(CN2[C@H](CO)CCC2)cccc1
