origin: c1c[n+](CCCCCC[n+]2cccccc1, cl: Cn1cc[n+](CC)c1, target: c1c[n+](CCCC)cn1C
origin: C1(Cc2ccccc2)C[n+]1ccccc1, cl: C1CN2[C@HN+](CC3CCC2C3C[N+](CC)(CC)CC3C2(C)C=C1C)C, target: C1(Cc2ccccc2)CNCCN1Cc1ccccc1
origin: C1C2CC3([N+]2(C)C(C)CC2CCCCC1C2)CCC, cl: CCN(CC)CC, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: c1ccccc1[N+](CC)(CC)CC[N+]1(C)CCCC1, cl: C(N1CCCC1)c1cc(F)ccc1, target: c1ccccc1[C@@H](O)[C@@H](NC)C
origin: C(C)(C)N(CCCCCCCCC)c1, cl: C1N2[C@H]+](CC3CC2CN2C3C(C1)CCCC3)CCCC2, target: C(C)(C)N(CC)C(C)C
origin: CCN(CC)CCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: N(CCO)(CC)CC[N+](C)(C)C, cl: C1[N+]2(CCCCC2C2CN3CCCCC3C(C1)C2)C, target: N(CCO)(CCN(CCO)CCO)CCO
origin: C(N(CC)CCCCCCCC[n+](C)cc2)c1, cl: Cn1c(C)c(C)[n+](C)c1, target: C(N(CC)CC)C
origin: N(C)(c1ccccc1)CCCC[N+](C)(C)C, cl: OCCN(CCO)C, target: N(C)(c1ccncc1)C
origin: C([N+](CCC)(C)C)CCCCCC, cl: c1cc(F)cc(c1)CN1CCCC1, target: C([N+](CC)(CC)CC)C
origin: C([N+](CC)(CC)CCCC2)CCCC1, cl: c1ccc([C@]3cccc1)C(C(C)C(C)(C)C)C, target: C([N+](CCC)(CCC)CCC)CC
origin: C(CCNCCCCCC)cc1, cl: C(c1ccccc1)N1CCCC1, target: C(CCNCCCC)C
origin: CCN(CC)CCCC[N+]1(C)CCCCCCCC1, cl: C(O)CN(CCO)CCO, target: CCN(CC)CC
origin: C(CN(CCC)CC)CCCCCCCCCC[N+]1(CCCCCCCCCCCCCCC[n+]2cccc2)CCC1, cl: CCN(CC)CC, target: C(CN(CCC)CCC)C
origin: CC[N+](CC)(CCCCC[N+](C)(C)C)CC1, cl: C(N(CCC)CCC)CC, target: CC[N+](CC)(CC)CC
origin: C(CC)[N+]1(C)CCCC(C)CCC1, cl: CCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: OCCN(CC)CCCC1, cl: c1ccc(CN2CCCC2)cc1, target: OCCN(CC)CC
origin: c1[n+](CCCCCCCCCC[n+]1ccccc1, cl: C(C)N(CC)CCO, target: c1[n+](CCCC)cn(C)c1
origin: Cn1c(C)c(C)c1CC[n+]1c(C)c(C)n(C)cc1, cl: CCN(CC)CC, target: Cn1c(C)c(C)[n+](C)c1C
origin: CCN(CC)CCCCCCC, cl: CCN(CC)C(C)C, target: CCN(CC)CC
origin: C1CC[C@@HN(C)(C)C2(C)CCCCC1)C[N+]1(C)CC, cl: C1CCN(Cc2cccc(F)c2)C1, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: CCN(CC)CCCCC1, cl: O[C@@H]([P+](C)(C)C)(C)C, target: CCN(CC)CC
origin: c1(CN2CCCCCCCCCCC[N+]2(C)CCCCCCC[n+]2ccn(C)ccn1C, cl: c1cc(F)c(CN2CCCC2)cc1, target: c1(CN2CCC[C@H]2CO)ccccc1
origin: C1C2CC3CCC1CCCCC(C)C1, cl: C[N+]12C(C3CC(CC(C3)C1)CCC2)C, target: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3
origin: C([N+](CCCCCCCC)cccccc2)c2ccccc2)C, cl: CN(C)C(N(C)C)=N, target: C([N+](CC)(CC)CC)C
origin: C(CC)N(CC)CCCCC1, cl: O[C@H](c1cccc2)c(ccc2)N(C)C, target: C(CC)N(CCC)CCC
origin: CCN(CC)CCCCCC[N+]1(C)CCCCC1, cl: [N+](C12CC3CC(CC(C1)C3)C2)(C)C, target: CCN(CC)CC
origin: C(N(CCC)CCCCCCCC[N+](C)(C)C)CCCCCCCCC, cl: CCN(CC)CC, target: C(N(CCC)CCC)CC
origin: C(c1ccccc1)CCCCCC[N+]1(C)CCCCCC1, cl: C1CCCCC1N(C)C1CCCCC1, target: C(c1ccccc1)[N+](C)(Cc1ccccc1)C
origin: C(C)CNCCCC[N+]1(C)CCCC1, cl: CCN(CC)CC, target: C(C)CNCCC
origin: OCCN(CCO)CCC[N+]2(CCCCCCCCCCCCCCCC[n+]1ccccc1, cl: c1(C)c(C)[n+](c(C)n1C)C, target: OCCN(CCO)CCO
origin: c1c(CN2CCCCCCCCC[n+]1ccccc1, cl: C1CCC(N)CC1, target: c1c(CN2CCCC2)c(F)ccc1
origin: CCN(CC)CCN(C)CCN(C)CCCC1, cl: CCC[N+](CC)(CC)CC, target: CCN(CC)CC
origin: CCN(CC)CCCCCCC[N+]1(C)CCCCC1, cl: [n+]1(CC)c(C)n(C)c(C)c1C, target: CCN(CC)CC
origin: C(C[N+](C)(C)C)(C)CC2, cl: c1c(N(C)C)cc(cc1)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: CC[N+](CC)(CC)CCCC1, cl: C1CC(N(C2CCCCC2)C)CCCC1, target: CC[N+](CC)(CC)CC
origin: C12CC3CC(CC(C)C2)C1, cl: CCN(CC)CC, target: C12CC3CC(CC([N+](C)(C)C)(C3)C1)C2
origin: C(N(CC)CCCCCC)c1C, cl: CCC[N+](CCC)(CCC)CCC, target: C(N(CC)CC)C
origin: CCC[N+](CC)(CC)CCCCCC1, cl: C(N(CC)CC)C, target: CCC[N+](CCC)(CCC)CCC
origin: CCN(CC)CCCC[N+]12CCCCCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CC[C@H](C)(C)CC3CC(C)C2, cl: C1CCC(N(C2CCCCC2)C)CCC1, target: C1CC[C@H]2[C@@H]3C[N+]4(C)CCCC[C@@H]4[C@@H](C3)CN2C1
origin: N1(Cc2cccccc1)C, cl: CCN(CC)CC, target: N1(Cc2ccccc2F)CCCC1
origin: N1(Cc2ccccc2)(C)CC[N+]2(C)CCCC1, cl: C(N(CC)CC)C, target: N1(Cc2ccccc2)CCCC1
origin: C1CCC[C@@+](C)(CCCCCCC[N+](C)(C)C)C, cl: C(N(CC)CC)C, target: C1CCC[C@@H]2N1C[C@@H]1C[C@H]2C[N+]2(C)[C@@H]1CCCC2
origin: C(N(CCO)CC)c1, cl: C(CCC)[n+]1cc(ccc1)CCCC, target: C(N(CCO)CCN(CCO)CCO)CO
origin: CCN(CC)CCCCCC[N+]1(C)CCCCC[N+]1(C)C(C)CCCC(C)C, cl: c1c(CN2CCCC2CO)cccc1, target: CCN(CC)CC
origin: C([N+](CC)(CCCCCCCCCCCCCCCC)ccccc2)CCCCCCCCC2)ccc1, cl: C1CN(Cc2cccc(F)c2)CC1, target: C([N+](CC)(CC)CC)C
origin: N(CC)(CC)CCCCCC1, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: CCN(CC)CCCC1, cl: [N+](CCC)(CCC)(CCC)CCC, target: CCN(CC)CC
origin: c1cc(F)cc1, cl: C1CCN(Cc2cccc(F)c2)CC1, target: c1cc(F)ccc1C[N+](C)(C)Cc1ccc(F)cc1
origin: Cc1c(C)ccc(C)[n+]1cccccc1, cl: c1cc(CN2CCCC2)ccc1, target: Cc1c(C)cc[n+](CCCC)c1
origin: C(C)[N+](C)(C)C3, cl: C12CC3([N+](C)(C)C)CC(C1)CC(C3)C2, target: C(C)[N+](CC)(CC)CC
origin: N(C1CCCCCC[N+](C)(C)C)C, cl: CC(C)N(C(C)C)CC, target: N(C1CCCCC1)(C)C1CCCCC1
origin: C1NCCCCC1CCCC1, cl: C1CCN2[C@N(CCCC3)CC([N+]3(CCCCC3C1C2)C)C, target: C1NCCCCC1
origin: C(N(CC)CCCC2)CCCCCCC2, cl: C1CCN2[C@4N(CC(C2)CC(C3)CC1)C, target: C(N(CC)CC)C
origin: O[C@@H]([N+](C)(C)C)(CC)CCC1, cl: n1(C)c(C)[n+](CCCC)cc1, target: O[C@@H]([C@H](C)NC)c1ccccc1
origin: CCN(CC)CCCCCCCCC1, cl: CCCCN(CCC)CCC, target: CCN(CC)CC
origin: N(CC)(CC)CCCC1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: N(CC)(CC)CC[N+](C)(CC)CC, cl: C(C)N(CC)CC, target: N(CC)(CC)CC
origin: C(C)C[N+]1(C)CCCCC2, cl: C(N(CC)CC)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: c1(CN(C)C)CCCCCCC1, cl: CCN(CC)CC, target: c1(CN(C)C)ccccc1
origin: CN(C)C, cl: C([N+](CC)(CC)CC)C, target: CN(C)C
origin: C1(N(C)C2)CCC[N+]1(CCCCCCC)CCCCCCC[N+](C)(C)C, cl: [N+](CC)(CC)(C)C, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1[C@@H]2(CCCCCCCCC[N+]1(C)CCCCCC1)CCCCCCC1, cl: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2, target: C1[C@@H]2C[C@H]([C@H]3CCCC[N+]13C)CN1[C@H]2CCCC1
origin: C(CC)[N+]1(C)CCCCC1, cl: CC[N+](CC)(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: CC(N(CC)CC)(C)CCCCC1, cl: c1(CN2CCCC2)ccccc1, target: CC(N(CC)C(C)C)C
origin: [C@@H]12[N+](CC(C)CCCC[N+](C)(C)C)CCCC1, cl: CC[N+](CC)(CC)CC, target: [C@@H]12[N+](C)(CCCC1)C[C@@H]1C[C@H]2CN2CCCC[C@@H]12
origin: n1(C)c[n+]1CCCCCCC1, cl: c1(C)[n+](C)c(C)c(C)c1C, target: n1(C)c[n+](CCCC)cc1
origin: C1N2C[C@@(C)(C)CCCC(C)C2CC2C1CCCC2, cl: C1CC(N(C2CCCCC2)C)CCCC1, target: C1N2C[C@@H]3C[C@@H](C[N+]4(C)[C@@H]3CCCC4)[C@@H]2CCC1
origin: N(CC)(CC)CCCCCC[N+]1(CC)CCCC[N+]12C(CCCCCCCCC[N+]1(C)CCCCCC1, cl: Cc1[n+](C)c(n(C)c1C)C, target: N(CC)(CC)CC
origin: c1c(CN2CCCCC[N+](C)(C)C)CCCC1, cl: N(CCO)(CCO)CC, target: c1c(CN2CCCC2)ccc(F)c1
origin: Fc1cccc(C[n+]2ccccc1)CCCCC, cl: [N+](CCC)(CCC)(CCC)CCC, target: Fc1cccc(CN2[C@H](CO)CCC2)c1
origin: c1ccc(CC2CCC[N+]2(C)CCCCCCCC[N+](C)(C)CC1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: c1ccc(CC2CNCCN2Cc2ccccc2)cc1
origin: N(C)[C@H]1(C)CC2CC(C)CC1, cl: CN(C)C, target: N(C)[C@H]([C@@H](c1ccccc1)O)C
origin: C1CN2CCOCC(C)CC1C2N(C)C2, cl: c1(F)ccc(cc1)CN1CCCC1, target: C1CN2CCOCCOCCN(CCOCCOCC2)CCOCCO1
origin: CC(O)N(CCCCCCCC[n+]2ccccc1)CCCC[N+]1(C)CCCCC, cl: C1CCCN2CC3C4[N+](CC(C2C1)C3)(C)C, target: CC(O)N(CC)CC
origin: N(C(=N)N(C)C)CCC2)C, cl: OCCN(CCO)C, target: N(C(=N)N(C)C)(C)C
origin: C(N(C)C)(C)CC1, cl: c1c(CN2CCCC2CO)cccc1, target: C(N(C)C)(=N)N(C)C
origin: N(CC)(CC)CCCCC1, cl: c1cn(C)c([n+]1CCCC)C, target: N(CC)(CC)CC
origin: C12CC3CC(C2CC[N+](C)(C)C)CCCCCCC, cl: C([N+](CC)(CC)CC)C, target: C12CC3CC([N+](C)(C)CC(C1)C3)C2
origin: C(c1ccccc3)C2, cl: N(C)(C)c1ccccn1, target: C(c1ccccc1)N(C)C
origin: C1CC(N)CCCC[N+]1CCCC(C)CCCC2, cl: C1CC(N(C2CCCCC2)C)CCCC1, target: C1CC(N)CCC1
origin: C1COCCOCC2C[N+](C)(C)CCCC2, cl: CN(C)C, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: c1ccccc1C2, cl: C1(N(C2CCCCC2)CCCC1)C, target: c1ccccc1C[N@+]1(C)CCC[C@H]1CO
origin: C(N(CC)CCCCCCCCCC)c2ccccc1, cl: c1ccc(CN2CCCC2)cc1, target: C(N(CC)CC)CO
origin: C(N(CC)CCCCCCCCCCC[n+]1ccccc1)C, cl: c1c(C[N+](C)(C)Cc2ccccc2)c(C)n1C, target: C(N(CC)CC)C
origin: C1CC(N(C)C)CC1CCCCC2, cl: C(N(CC)CC)C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: CCN(CCO)CCCCC1, cl: C1C2CC3[N+](C)(CC(CC1C3)C2)C, target: CCN(CCO)CC
origin: c1(CN2CCCCCCCCCCCCCCC[n+](C)ccc1F, cl: c1(CN2CCCC2CO)cccc1, target: c1(CN2CCCC2)c(F)cccc1
origin: C1N(Cc2ccccc2)c(C)c1C, cl: N(CC)(CC)CC, target: C1N(Cc2ccccc2)CCC1
origin: CCN(CC)CCCCC[n+]1c(C)c(C)n(C)cc1, cl: C(N1CCCC1)c1ccccc1, target: CCN(CC)CC
origin: CCN(CC)CCCC1, cl: C(C)N(CC)CCO, target: CCN(CC)CCO
origin: C1[C@H]2[N+](CC)(CC)CCCC2, cl: C1CC[C@@HO2.O=C1O[N+](C)(CCCC1)C2, target: C1[C@H]2[C@@H]3[N+](C)(CCCC3)C[C@@H]([C@H]3N1CCCC3)C2
origin: C(N(CC)CCCC2)CCCC[n+]1ccccc1, cl: N1(Cc2cccc(F)c2)CCCC1, target: C(N(CC)CC)C
origin: N(CC)(CC)CCCC1, cl: CC[N+](CC)(CC)CC, target: N(CC)(CC)CC
origin: [N+](C)(C)CCCC[N+]1(C)CCCC1, cl: C(N(CC)CC)C, target: [N+](C)(Cc1cccc(F)c1)(C)Cc1cccc(F)c1
origin: N(C)(C1CCCC)(C)CCCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: N(C)(C1CCCCC1)C1CCCCC1
origin: C1CN(Cc2ccccc2)c1CCCCCCCCC[n+](C)c(C)c1C, cl: c1cc(CN2CCCC2)ccc1, target: C1CN(Cc2ccccc2)CC1
origin: c1cc([C@H(C)(C)C1)CCC1, cl: C1CCNCCC1, target: c1cc([C@H](O)[C@H](C)NC)ccc1
origin: c1(F)cccc1, cl: C(CN(CCC)CCC)CC, target: c1(F)cccc(CN2[C@H](CO)CCC2)c1
origin: CCCN(CCC)CCCCC[n+]1ccccc1C, cl: C1(N(C)C2CCCCC2)CCCCC1, target: CCCN(CCC)CCC
origin: C1C2CC3([N+](C)(C)CCCCC)[N+]1(CCCCCC2)CCCC, cl: C(C)CN(CCC)CCC, target: C1C2CC3([N+](C)(C)C)CC(CC1C3)C2
origin: C(N(CCC)CCCC2)(C)C, cl: Cc1cc[n+](cc1)CCCC, target: C(N(CCC)CCC)CC
origin: c1ccc(CN2CCCCC2)c1, cl: C1CNCCCC1, target: c1ccc(CN2CCCCC2)cc1
origin: C1(N(C)C2)CCCC1, cl: N(C)(C)C(=N)N(C)C, target: C1(N(C)C2CCCCC2)CCCCC1
origin: Cc1n(C)c(C)c1C, cl: C(C)CN(CCC)CCC, target: Cc1n(C)c(C)c(C)[n+]1C
origin: C1CCCNCC1CCCC[n+]1c(C)n(C)c(C)[n+](CCCC)cc1, cl: c1cc(CN2C(CO)CCC2)ccc1, target: C1CCCNCC1
origin: CCN(CC)CCCC1, cl: c1c(CN2CCCC2)cccc1, target: CCN(CC)CC
origin: N(CC)(CC)CCCCC[N+]1(C)CCCCCC1, cl: C1C(N(C2CCCCC2)C)CCCCC1, target: N(CC)(CC)CC
origin: CN(C)c1ccccc1, cl: CCCN(CCC)CCC, target: CN(C)c1ccncc1
origin: CCCCCC[n+]1cccc1, cl: c1ccc(F)cc1CN1CCCC1, target: CCCCCC[n+]1ccn(C)c1C
origin: C(CC)[N+](CCCCCCCC2)ccccc1, cl: CCN(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CC(N(C)CCCCCC)cc[n+](CCCCCCCCCCC)cc1, cl: C(CN(CCO)CCO)CO, target: C1CC(N(C)C2CCCCC2)CCC1
origin: c1cccc(CN1CCCCCCCCCCCCCC[n+](C)CCCCCC1, cl: C1C2CC3CC1CC([N+](C)(C)C)(C2)C3, target: c1cccc(CN2CCC[C@H]2CO)c1
origin: C(N(CC)CCCCCCCCCCCCC)cc1, cl: C(CN(CCC)CCC)CC, target: C(N(CC)CC)C
origin: C(N(CC)CCCCCC[N+](C)(C)C)CC, cl: c1cccc(CN2CCCC2CO)cc1, target: C(N(CC)CC)C
origin: CCN(CC)CCC[N+](C)(C)CCC1, cl: c1n(C)cc[n+]1CCCC, target: CCN(CC)CC
origin: C(C)N(CC)CCCCCCCC[n+]1ccccc1, cl: C1N2C[C@@N(CC2)CC(CC1)C2(C)C, target: C(C)N(CC)CC
origin: C(C)[N+](C)(C)CCCC1, cl: C1C2CC3C[N+](C)(C)C(CC(C)(C2)C1)C, target: C(C)[N+](CC)(CC)CC
origin: c1cn(C)c[n+](C)cc1, cl: O[C@H]([CHO+]2CCCCN2CCOCCOCCOCCOCC2)CCOCCOCC1, target: c1cn(C)c[n+]1Cc1ccccc1
origin: c1ccccc1C, cl: C(C)CN(CCC)CCC, target: c1ccccc1C[n+]1cn(C)cc1
origin: c1c(N(C)CCCC(C)CC3)c1, cl: C(N(CC)CC)C, target: c1c(N(C)C)ccnc1
origin: C(C)N(CC)CCCC1, cl: c1cc(CN2C(CCC2)CO)cccc1, target: C(C)N(CC)CC
origin: C1C(N(C)CCCCC1)CCCC1, cl: CCN(CC)CC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: CC[N+](CC)(CC)CC, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: C1CC[C@@H](C)(C)CCC2C(C)C[N+](CC)(CC)CC, cl: CC[N+](CC)(CC)CC, target: C1CC[C@@H](CO)N1Cc1ccccc1
origin: CCN(CC)CCCC[N+]1(C)CCCCCCCC[N+]1(C)CCCCC1, cl: [N+]1(C)(CCCC1)CCCCC[N+]1(CCCC1)C, target: CCN(CC)CC
origin: CCN(CC)CCCCCCCC[N+]1(CCCCCCCCCCCCCC[n+]1CCCCCCCCCCCCC[N+]1(C)CCCC2, cl: C(C)N(CC)CCO, target: CCN(CC)CC
origin: c1ccc(CN2CCCC[N+]1(C)CCCCCC1, cl: C1CCCN(Cc2cccc(F)c2)CC1, target: c1ccc(CN2CCC[C@H]2CO)cc1
origin: C(CC)[N+](CC)(CC)CCN(C)CCC1, cl: N(CC)(CC)CC, target: C(CC)[N+](CCC)(CCC)CCC
origin: C(O)C[N+](C)c(C)(C)CC2, cl: C(CCC)[n+]1cc(ccc1)CCCC, target: C(O)C[N+](CCO)(CCO)C
origin: C(O)CN(CCCCCCCCCCC)ccc1C, cl: C12CC3CC(CC(C2)(C3)[N+](C)(C)C)C1, target: C(O)CN(CCO)CCO
origin: c1cc(CN2CCCC[N+](C)(C)C)CC, cl: C1(C)CCCC([N+]21CCCC2)O, target: c1cc(CN2CCC[C@H]2CO)ccc1
origin: C1CCCCNC1CCCC1, cl: C1CC(N(C2CCCCC2)C)CCCC1, target: C1CCCCNC1
origin: CCCCN(CCCCC[N+](C)(C)C)CC, cl: C(C)C[N+](CCC)(CCC)CCC, target: CCCCN(CCCC)CCCC
origin: CCN(CC)CCCCC1, cl: C1CCCN2C[N+]3(CCCC1)CC1CC2CN2C1CCCC2, target: CCN(CC)CC
origin: CCN(CC)CCCCC[N+](C)(C)C, cl: C(C)N(CC)CCO, target: CCN(CC)CC
origin: CN(C)[C@@(C)(C)CCCC3C2C2C(C)CCC[N+](C)(C)CCC1, cl: Fc1c(CN2CCCC2)cccc1, target: CN(C)[C@@H](C)[C@H](O)c1ccccc1
origin: [n+]1(CCCCCCCCC[N+]2(C)CCCCCCCCCCCC[n+]1ccccc1, cl: C(N(CCO)CC)C, target: [n+]1(CCCCCC)c(C)n(C)cc1
origin: c1cccc(C[N+]1(C)CCCC2)CC1, cl: CC[N+](CC)(CC)CC, target: c1cccc(C[N+](C)(Cc2ccccc2)C)c1
origin: CCN(CC)CCCC1CC1, cl: [C@H]12CN3CCCCC3CC(C2)C2CCCC[N+]2(C1)C, target: CCN(CC)CC
origin: C(C)N(CC)CCCCCCC, cl: CC[N+](CC)(CC)CC, target: C(C)N(CC)CC
origin: c1c(F)c(C)n(C)cc1, cl: [N+](CC)(CC)(CC)CC, target: c1c(F)c(CN2CCCC2)ccc1
origin: C1C2CC3([N+](C)(C)C)CCCC2, cl: N(CC)(CC)CC, target: C1C2CC3([N+](C)(C)C)CC1CC(C2)C3
origin: C12CC3C([N+](CCCCCCCCCCCCC)CCCCCCCCCCCC[n+]1c(C)c(C)c1C)c1, cl: C1CCCCCN1, target: C12CC3C([N+](C)(C)C)C(C1)CC(C2)C3
origin: CCN(CC)CCCC1, cl: CC[N+](CC)(CC)CC, target: CCN(CC)CC
origin: C(N(CC)CCCC3)CCCCCCC[n+]1ccccc1, cl: N12CCOCCOCCN(CCOCCOCCN1CCOCCOCC2, target: C(N(CC)CC)C
origin: CC(C)NC(C)CCC1, cl: CCN(CC)CC, target: CC(C)NC(C)C
origin: C1CCN2CC3CCCCCCC[N+]1(C)CCCC1, cl: C1CCCN1Cc1ccccc1, target: C1CCN2CC3C4CCCC[N+]4(C)CC(C3)C2C1
origin: CCN(CC)CCCCCC1, cl: OCCN(CCO)CC, target: CCN(CC)CC
origin: CCN(CC)CCCCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: [C@H]12CN(CCCCCCC2)CCCC2, cl: c1cc([C@H++](cc1)CCCC)C)(C)C, target: [C@H]12CN3CCCC[C@H]3[C@H](C[N+]3(C)CCCC[C@H]13)C2
origin: CN(C)C, cl: C([C@@H]1)N(C)CCC)C)CCCC, target: CN(C)C
origin: C(C(C)O)N(C)CCCC1, cl: O1CCN2CCOCCOCCN(CCOCCOCC1)CCOCCOCC2, target: C(C(C)O)NCC(O)C
origin: [C@H]([C@](C)(C)CCCC3)(C)CC1, cl: CCN(CC)CC, target: [C@H]([C@@H](c1ccccc1)O)(NC)C
origin: c1ccc(F)cc1)C1, cl: CCN(CC)CC, target: c1ccc(F)cc1CN1CCC[C@H]1CO
origin: C1C2([N+](CC)(CC)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC[Nc](C)c(C)c(C)c2C)ccc1, cl: c1([C@H](cccc2)cccc2)C)ccc1, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1CCC(N(CCCCCCCC)CC)CCCCCCC, cl: C1CCNCCC1, target: C1CCC(N(C)C2CCCCC2)CC1
origin: c1ccc(CN2CCCCCCCCCCC[n+]1cccc1, cl: C(C)N(CC)CC, target: c1ccc(CN2CCCC2)cc1F
origin: N(CC)(CC)CCCC[N+]1(C)CC1, cl: N(CC)CC, target: N(CC)(CC)CC
origin: O1CCN2CCOCCC(C[N+](C)(C)C)CCCC, cl: N(CC)(CC)CC, target: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2
origin: C(C)N(CC)CCCCCCCCCC[n+]1ccn(C)n(C)c1, cl: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOCCOC1, target: C(C)N(CC)CC
origin: O1CCN2CCOCC2CC(C)(C)CC1, cl: N(CC)(CC)CC, target: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2
origin: CCCN(CCC)cc1, cl: CC(N(C(C)C)CC)C, target: CCCN(CCC)CCC
origin: C(C)CN(CCCCCC[N+](C)(C)C)ccccc1, cl: C1CN(Cc2cccc(F)c2)CC1, target: C(C)CN(CCC)CCC
origin: c1(F)cccc1, cl: N(CC)(CC)CC, target: c1(F)cccc(C[N+](C)(Cc2cc(F)ccc2)C)c1
origin: C(N(CCC)CCCC)c1, cl: C(NCCCC)C, target: C(N(CCC)CCC)CC
origin: Cn1cc[n+]1CCCCCC, cl: c1[n+](CCCC)ccn1C, target: Cn1cc[n+](CCCC)c1C
origin: C12CC3CC(C[N+](CC)(CC)C)C(C)CC1, cl: C1CCC(N)CC1, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: c1cc(CN([n+](ccccc2)CCCC)cccc1, cl: C([N+](CC)(CC)CC)C, target: c1cc(CN([C@H]([C@@H](O)c2ccccc2)C)C)ccc1
origin: CCN(CC)CCCCC1, cl: C1C2CC3CC1CC(C2)([N+](C)(C)C)C3, target: CCN(CC)CC
origin: C(NCCCCC)ccc1, cl: c1cc(F)c(CN2CCCC2)cc1, target: C(NCCCCC)CCCC
origin: N(C)(C1CCCCCC[N+](C)(C)C)C, cl: C(CC)C[n+]1ccn(c1)C, target: N(C)(C1CCCCC1)C1CCCCC1
origin: OCCN(CCO)CCCCCCCCCC[n+](C)c(C)c1C, cl: [C@@H]1(CCCCC1)CO, target: OCCN(CCO)CCO
origin: c1(F)cc(C)n1C, cl: C1C[N+]2(C(C3CC(C2)C2CCCCN12)C)CCCC3, target: c1(F)cc(C[N+](Cc2cc(F)ccc2)(C)C)ccc1
origin: C1(N(C2CCC)CCCCCCCCCCC)ccccc[n+](C)ccc1, cl: N(CCC)(CCC)CCC, target: C1(N(C2CCCCC2)C)CCCCC1
origin: C(CC)[N+](C)(C)CCCCCC[N+](C)(C)C, cl: N12CCOCCOCCN(CCN(CCN1C)C)C, target: C(CC)[N+](CCC)(CCC)CCC
origin: CCCN(CCC)[N+](C)(CCC)CCCC1, cl: C1C2C([N+](C)(C)C)C(CC1)CCC2, target: CCCN(CCC)CCC
origin: C(C)[N+](C)(CC)(C)C, cl: OCCN(CCO)CCO, target: C(C)[N+](CC)(CC)CC
origin: CCN(CC)CCCC1, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: c1(CN(C)[N+](C)(C)C)CC(C)(C)C2, cl: Cc1n(C)c(C)c(C)[n+]1C, target: c1(CN(C)[C@H]([C@H](O)c2ccccc2)C)ccccc1
origin: CCN(CC)CCCCC1, cl: CCN(CC)CC, target: CCN(CC)CC
origin: C1CC(N(C)C)CCC1, cl: c1cc([C@@+](c2c(c(ccc2)C)C)c1)F, target: C1CC(N(C)C2CCCCC2)CCC1
origin: N(CC)(CC)CCCCCC1, cl: CN[C@@H](C)C(C)C(C)O, target: N(CC)(CC)CC
origin: CC[N+](CC)(CC)CCCC, cl: C1CCCNCC1, target: CC[N+](CC)(CC)CC
origin: CCN(CC)CCCC[N+](C)(C)C, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: c1(CN2CCCCCCCCC[N+](C)(C)C)CCCC1, cl: C(CC)N(CCC)CCC, target: c1(CN2CCCC2)ccccc1
origin: C1CCCCCN1CCCC1, cl: C(CN(CCC)CCC)CC, target: C1CCCCCN1Cc1ccccc1
origin: c1c(CN2CC1CCCCCC2)cccc1, cl: c1ccc([C@](c2cccc2N(C)C)(C)C)c1, target: c1c(CN2CCCC2)cccc1
origin: N(CCC)(CCCC)CCCCC, cl: CN(c1ccncc1)C, target: N(CCC)(CCC)CCC
origin: N=C(N(C)CCCC2)CCCC1, cl: CCN(CC)CC, target: N=C(N(C)C)N(C)C
origin: [N+](Cc1ccccc2)(C)C, cl: C1CCC[N+]2(C1C1CN3CCCCC3C(C2)C1)C, target: [N+](Cc1ccc(F)cc1)(Cc1ccc(F)cc1)(C)C
origin: C1CC[N+](C)(CC)(C)CCCC1, cl: C12CC3CC(C2)CC(C3)(C1)[N+](C)(C)C, target: C1CC[N+](CCCC)(C)C1
origin: CCN(CC)CCCCC1, cl: c1ccc([C@]3cccc1)C(C(C)C(O)c1ccccc1)C, target: CCN(CC)CC
