origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: n1(c([n+](cc1C)C)C)C, target: C(C)N(CCO)CC
origin: c1ccc(C(C(c2ccccc2)O)O)cc1, cl: c1(ccccc1)C(O)C(N(C)Cc1ccccc1)C, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: C1CCCC2CCC[N+](C)(C)C12, cl: C1CCN(Cc2ccccc2)C1, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1CCCC(N(C)C2CCCCC2)C1, target: C1CCCC2C3CC(CN12)C1CCCC[N+]1(C)C3
origin: c1ccc(CN2CCCC2CO)cc1, cl: N(CC)(CC)CC, target: c1[n+](CCCC)ccn1C
origin: c1c(CN2C(CO)CCC2)cccc1, cl: C1C(CCCC1)N(C1CCCCC1)C, target: N1(Cc2cc(F)ccc2)CCCC1
origin: C1CCCN1Cc1ccccc1, cl: C1CCCN1Cc1cccc(F)c1, target: O[C@H](c1ccccc1)[C@@H](NC)C
origin: C1CCN(Cc2ccccc2)C1, cl: C1C(CCCC1)N(C)C1CCCCC1, target: c1ccc(CN2CCCC2)cc1F
origin: c1c[n+](CCCC)cn1C, cl: C(C)[N+](CC)(CC)CC, target: C(C)CC[N+]1(C)CCCC1
origin: c1c[n+](CCCC)cn1C, cl: c1cc(ccc1)C(O)C(C)NC, target: N(C)[C@H]([C@@H](c1ccccc1)O)C
origin: C(C)(c1ccccc1)N1CCCCC1, cl: C1CC(N(Cc2ccccc2)C1)CO, target: c1ccccc1[C@@H](O)[C@@H](NC)C
origin: C(C(O)c1cc(F)ccc1)[N+](C)(C)C, cl: N1(Cc2ccccc2F)C(CO)CCC1, target: C1CCN(Cc2ccccc2)CCC1
origin: C(N(CC)CC)C, cl: C(N(CC)CC)C, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C(CC)N(CCC)CCC, cl: c1cn(C)c[n+]1CCCC, target: c1cc(CN2CCCC2)ccc1
origin: C(CC)N(CCC)CCC, cl: N(CC)(CC)CC, target: C1CCCN1Cc1ccccc1
origin: N1(Cc2ccccc2)CCCC1, cl: [n+]1(CC)c(C)n(cc1)C, target: C(CN(CCC)CCC)C
origin: C12CC3CC(CC([N+](C)(C)C)(C1)C3)C2, cl: C1N(Cc2ccccc2F)CCC1, target: C(CC)[N+](CCC)(CCC)CCC
origin: c1cccc(C(O)C(NC)C)c1, cl: C(C)[N+](CC)(CC)CC, target: C1CC(N(C2CCCCC2)C)CCC1
origin: c1c(F)c(CN2CCCC2)ccc1, cl: C(N1CCCC1)c1ccccc1, target: CCN(CC)CC
origin: Cc1n(C)c(C)[n+](C)c1C, cl: C1CCCCC1N(C1CCCCC1)C, target: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
origin: C1C2CC3CC(CC1([N+](C)(C)C)C3)C2, cl: [n+]1(C)c(n(C)cc1)CC, target: C(N(CC)CC)C
origin: C(CCCCC)[n+]1cn(C)cc1, cl: C1N(Cc2ccccc2)C(CC1)CO, target: [C@H]12[C@H]3N(C[C@H](C1)[C@H]1CCCC[N+]1(C)C2)CCCC3
origin: C1C2C3CC([N+](C)(C)C)C(CC3)C1C2, cl: CC(NC)C(c1ccccc1)O, target: c1ccc([C@H](O)[C@@H](NC)C)cc1
origin: C1C2C(C3N(CCCC3)C2)CC1[N+](C)(C)C, cl: c1c(F)c(C[N+](Cc2c(F)cccc2)(C)C)cc(F)cc1, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1CCCNCC1, target: C1C2CC3([N+](C)(C)C)CC(C2)CC1C3
origin: c1c(CN2CCCC2CO)cccc1, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C12C([N+](C)(C)C)C3CC(C1)CC(C2)C3
origin: C(NCCC)CC, cl: Cc1n(C)c(c([n+]1C)C)C, target: Cc1[n+](CCCC)ccn1C
origin: c1ccccc1CN1CCCC1, cl: c1cccc(C[n+]2ccn(c2C)C)c1, target: CN(C)C
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: c1cc(C(O)C(C)NC)ccc1, target: CCN(CC)CC
origin: c1cn(C)c(C)[n+]1Cc1ccc(F)cc1, cl: c1cc(c(cc1)F)CN1CCCC1CO, target: CCN(CC)CC
origin: C(C[N+](C)(CC)C)C, cl: c1(F)cc(cc(C[N+](C)(C)Cc2cccc(F)c2)c1)F, target: CCN(CC)CC
origin: c1c(C)[n+](C)c(C)n1C, cl: c1n(C)c[n+](c1)CCCC, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: O1CCN2CCOCCOCCN(CCOCC1)CCOCCOCC2
origin: c1c(CN2CCCC2CO)cccc1, cl: C(C(N(CC)CC)C)(O)c1ccccc1, target: C(N(CC)CC)C
origin: C(N(CC)CC)C, cl: CC(N(CC)C(C)C)C, target: C(N(CC)CC)C
origin: C1CN(C)CCN(C)CCN(C)CCN(C)CCN(C)CCN1C, cl: C1CCN(C1)Cc1c(F)cccc1, target: C(C)[N+](CC)(CC)CC
origin: c1ccccc1C[N+](C)(C)Cc1ccccc1, cl: C1CCC(CO)N(Cc2ccccc2)C1, target: CN(C)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1cc(ccc1)C(O)C(NC)C, target: c1ccccc1C[N+](C)(C)Cc1ccccc1
origin: C1N(Cc2ccccc2)CCC1, cl: c1ccc(cc1)C(O)C(C)N(C)Cc1ccccc1, target: C1CCC(N)CC1
origin: C1C2C3[N+](C)(C)CC(CN4CCCCC34)C(CC2)C1, cl: CCC[N+](CCC)(CCC)CCC, target: N(CC)(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: Cc1[n+](C)c(C)c(C)n1C, target: [C@H]12C[N+]3(C)CCCC[C@@H]3[C@H](CN3CCCC[C@@H]13)C2
origin: C(C)N(CC)CC, cl: C(N(CC)CC)C, target: O1CCOCCN2CCOCCOCCN(CC1)CCOCCOCC2
origin: C(CCC[N+](C)(C)C)CC[N+](C)(C)C, cl: C1CN(CC1)Cc1cccc(F)c1, target: c1cnccc1N(C)C
origin: C(c1cc(F)ccc1)N1CCCC1, cl: C1CCCN1Cc1ccccc1F, target: C1[C@@H](CO)N(Cc2ccccc2)CC1
origin: C(CC)N(CCC)CCC, cl: C1(CCCCC1)N(C1CCCCC1)C, target: C[C@@H]([C@H](O)c1ccccc1)NC
origin: c1ccc(C(O)C(NC)C)cc1, cl: c1(C(O)C(C)NC)ccccc1, target: C(N(CCC)CCC)CC
origin: C(C(C)NC(C)C)C, cl: C1(N(C2CCCCC2)C)CCCCC1, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc2F)C1, cl: c1n(c[n+](c1)C)CC, target: c1(CN2[C@H](CO)CCC2)ccccc1
origin: C1CCN(Cc2cccc(F)c2)C1, cl: c1ccc(CN2CCCC2CO)cc1, target: c1ccccc1[C@H]([C@H](C)N(C)C)O
origin: C12CC3CC(C([N+](C)(C)C)C1)C2(C)C3, cl: C(C)N(CC)CC, target: C(O)[C@@H]1CCCN1Cc1ccccc1
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(C)CN(CCC)CCC, target: C(N1CCCC1)c1c(F)cccc1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C)N(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: C(C)[N+](CC)(CC)CC, cl: C1CCC(N(C2CCCCC2)C)CC1, target: c1cnccc1N(C)C
origin: c1cccc(C(C(NC)C)O)c1, cl: c1cc(ccc1)C(O)C(C)NC, target: C1OCCN2CCOCCOCCN(CCOCCOCC2)CCOC1
origin: c1(F)ccccc1CN1CCCC1, cl: C(C(NC)C)(c1ccccc1)O, target: CCN(CC)CC
origin: C1C2N(CCCC2)CC1C[N+]1(C)CCCCC1, cl: C1CCCCC1N(C1CCCCC1)CC, target: CC(C)N(CC)C(C)C
origin: Fc1cc(CN2CCCC2)ccc1F, cl: CCCC[n+]1ccn(C)c1C, target: [C@H]12CCCC[N+]1(C)C[C@H]1[C@@H]3CCCCN3C[C@@H]2C1
origin: c1(C(O)C(NC)C)ccccc1, cl: C(C)[N+](CC)(CC)CC, target: CCN(CC)CCO
origin: c1c(F)cccc1CN1CCCC1, cl: C1CC(N(Cc2ccccc2)C1)CO, target: n1ccc(N(C)C)cc1
origin: C1N2CCC(CC2)CC2CCCC[N+]2(C)C1, cl: C1C(N(C)C2CCCCC2)CCCC1, target: c1cccc(C[n+]2ccn(C)c2)c1
origin: c1[n+](CCCC)ccn1C, cl: N(CC)(CC)CC, target: N1(Cc2ccccc2)CCCCCC1
origin: C(N(C(C)CC)C(C)C)C, cl: C1CC(N(C2CCCCC2)C)CCC1, target: C12CC3CC(CC(C3[N+](C)(C)C)C1)C2
origin: c1(CN2C(CO)CCC2)ccccc1, cl: C1CCCCC1N(C)C1CCCCC1, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C(CC)[N+](C)(C)C, cl: C(N(CC)CC)C, target: N(C)[C@@H](C)[C@@H](c1ccccc1)O
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: C(C)C(N(CCC)CCC)C, target: C(C)N(CC)CC
origin: C(C)CN(CCC)CCC, cl: C1N(CCN(CCN(CCN(C)CCN(CCN(C)C1)C)C)C)C, target: CCN(CC)CC
origin: C1CCC(CO)N1Cc1ccccc1, cl: c1ccc(cc1)CN1CCCC1CO, target: CC[N+]1(CC)C(C)CCCC1C
origin: C1CCCC2C3CN4C(CCCC4)C(C[N+]12C)C3, cl: c1ccccc1C(O)C(C)N(C)Cc1ccccc1, target: c1(CN2[C@H](CO)CCC2)cc(F)ccc1
origin: N(C)(C(c1ccccc1)O)C, cl: c1cccc(CN2C(CO)CCC2)c1, target: C(CN(CCC)CCC)C
origin: CCN(CC)CC, cl: C1CCCN1Cc1cc(F)ccc1, target: C(O)CN(CCO)C
origin: C1N(Cc2ccccc2F)CCC1, cl: C1C2CC3(CC1CC(C3)C2)[N+](C)(C)C, target: CCCCN(CCCC)CCCC
origin: C1CCCC1N(C)C1CCCCC1, cl: C(c1ccccc1)[n+]1ccn(C)c1C, target: C(C)N(CC)CC
origin: Cc1n(C)c(C)[n+](C)c1, cl: C1CC(CCC1)N(C)C1CCCCC1, target: C1CCN(Cc2ccccc2)C1
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: c1ccc(CN2C(CO)CCC2)cc1, target: C1C2C([N+](C)(C)C)C3CC1CC(C3)C2
origin: C(NCCC)CC, cl: C(C)CC[n+]1c(C)n(cc1)C, target: CCN(CC)CC
origin: c1cccc(C(C(NC)C)O)c1, cl: c1cccc(C(O)C(C)NC)c1, target: [C@H]1(CO)N(Cc2ccccc2)CCC1
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: [N+]12(C)C(CCCC2)C2CC(C3N(CCCC3)C2)C1, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2F)CC1, cl: N(C(C)C)(CC)C(C)C, target: CCN(CC)CC
origin: C1CCCCN1Cc1ccccc1, cl: C(C)CN(CCC)CCC, target: C1CN2[C@@H](CC1)[C@@H]1C[N+]3(C)CCCC[C@@H]3[C@H](C2)C1
origin: c1c(CN2CCCC2)cccc1, cl: C1(CO)CCCN1Cc1cc(F)ccc1, target: CCN(CC)CC
origin: c1cccc(C[N+](C)(Cc2ccccc2)C)c1, cl: c1(C)cccc(c1)CN1CCCC1, target: C1C(N(C2CCCCC2)C)CCCC1
origin: c1(C)c(CN2CCCC2)cc(F)c1, cl: c1cccc(c1)C(O)C(N(C)C)C, target: C(c1c(F)cccc1)[N+](C)(Cc1c(F)cccc1)C
origin: C1C2N(CC3C4N(CCCC4)CC1C3)CCCC2, cl: c1c(ccnc1)N(C)C, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: c1(C[N+](C)(Cc2ccccc2)C)ccccc1, cl: C(C[N+]1(C)CCCC1)CC, target: c1(CN2CCC[C@H]2CO)ccccc1
origin: c1(C)n(C)cc[n+]1CCCC, cl: C1CCCC(C1)N(C1CCCCC1)C, target: N(CC)(CC)CC
origin: N1(Cc2ccccc2)C(CO)CCC1, cl: C(C)(N(CC)C(C)C)C, target: [C@@H](O)([C@@H](NC)C)c1ccccc1
origin: c1cccc(C(O)C(C)NC)c1, cl: c1(C(C(O)C)NC)ccccc1, target: C(N(CCCC)CCCC)CCC
origin: C(N(CCC)CCC)CC, cl: C1CCCCC1N(C1CCCCC1)C, target: C(c1ccccc1)N1CCCC1
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: c1cc(CN2CCCC2)ccc1F, target: CCN(CC)CC
origin: c1(C)c(C)n(C)c(C)[n+]1C, cl: c1cc(ccc1)CN1CCCC1CO, target: C[N+](C12CC3CC(CC(C3)C1)C2)(C)C
origin: Cc1n(C)cc[n+]1CCCC, cl: C1CCCC(C1)N(C1CCCCC1)C, target: c1c(CN2CCCCC2)cccc1
origin: c1(CN2CCCC2CO)ccccc1, cl: c1(C)n(c([n+](C)c1C)C)C, target: CC[N+](CC)(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: n1(C)c[n+](CC)cc1, target: C(CC)N(CCC)CCC
origin: c1c(F)c(CN2CCCC2)ccc1, cl: C(C[n+]1ccn(C)c1C)CC, target: N(CCC)(CCC)CCC
origin: C1C2C3CC(C4[N+](C)(CCCC4)C3)CN2CCC1, cl: N(CC)(CC)CC, target: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2
origin: CC1CCCC(N(C)C2CCCCC2)C1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C(C(c1ccccc1)O)(NC)C, target: C[N+](C)(C12CC3CC(C1)CC(C2)C3)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1C2CC3CC1CC(C3)C2[N+](C)(C)C, target: C1[C@H]2CN3[C@@H](CCCC3)[C@@H]1C[N+]1(C)CCCC[C@H]21
origin: c1cc(C(O)C(C)NC)ccc1, cl: C1CN(Cc2ccc(cc2)F)C(CO)C1, target: C(C)[N+](CC)(CC)CC
origin: C1CC2[N+](C)(CC3C4N(CCCC4)CC2C3)CC1, cl: C1CN(Cc2cc(F)ccc2)CC1, target: CCN(CC)CC
origin: C1CCCN1Cc1ccccc1, cl: C(CC)N(CCC)CCC, target: CCN(CC)CC
origin: CN(C(c1ccccc1)O)C, cl: C1N(C)CCCN(C)CCN(C)CCCN(C1)C, target: N(CC)CC
origin: c1[n+](CCCC)ccn1C, cl: C(c1ccccc1F)N1CCCC1, target: C(C)N(CC)CC
origin: C1CCCN(Cc2ccccc2)C1, cl: C1(CCCCC1)N(C1CCCCC1)C, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C1C2C3CC(C[N+]2(C)CCCC1)C1N(CCCC1)C3, cl: CC(C)N(CC)C(C)C, target: n1(C)c(C)[n+](Cc2ccccc2)cc1
origin: c1cccc(C[N+](Cc2ccccc2)(C)C)c1, cl: c1cccc(C(O)C(N(C)C)C)c1, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C1CCC(CO)N(Cc2ccccc2)C1, cl: c1(C)c([n+](c(C)n1C)C)C, target: N(CC)(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: c1ccccc1C[N@@+]1(C)[C@H](CO)CCC1
origin: C(C)(c1ccccc1)N1CCCCC1, cl: c1(c[n+](C)c(C)n1C)C, target: [N+](CC)(CC)(CC)CC
origin: C(C)CCC[n+]1ccn(C)c1, cl: C1C2CC3CC(C2)CC1C3[N+](C)(C)C, target: N(CC)(CC)CC
origin: Cn1c(C)[n+](C)cc1, cl: C(C1CCCN1Cc1ccccc1)O, target: C(C)N(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C(N1CCCC1)c1cc(ccc1)F, target: [n+]1(CCCC)ccn(C)c1C
origin: C12C3N(CCCC3)CC(C3[N+](C)(CCCC3)C1)C2, cl: c1cc(CN2CCCC2)ccc1F, target: OCCN(CC)CC
origin: C1C2C3N(CCCC3)CC(C2)C[N+]12CCCCC2, cl: C1C2(CC3CC1CC(C3)C2)[N+](C)(C)C, target: CCCN(CCC)CCC
origin: c1cccc(C(C(NC)C)O)c1, cl: c1(C(O)C(NC)C)ccccc1, target: c1cccc(CN2CCCC2)c1
origin: c1(CN2CCCC2)ccccc1, cl: Cn1c(c[n+](c1C)CC)C, target: c1n(C)c[n+](CCCC)c1
origin: N(C)(C(c1ccccc1)O)C, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C(CC)CNCCCC, cl: C1CCCCN1Cc1ccccc1F, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C1C2CC3CC(C2)C[N+](CC)(C1C3)C, target: CCN(CC)CC
origin: C(C)CN(CCC)CCC, cl: c1c(CN2CCCC2)ccc(F)c1, target: CCCN(CCC)CCC
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C1CCC(N(C2CCCCC2)C)CC1, target: c1cccc(CN2CCCC2)c1
origin: CC(C)N(C(C)C)CC, cl: c1[n+](cn(c1)C)CCCC, target: c1[n+](Cc2ccccc2)ccn1C
origin: C1CCCC1CO, cl: c1c(cccc1)CN1C(CO)CCC1, target: C1CC[C@@H]2[C@H]3C[C@@H](C[N+]2(C)C1)[C@H]1N(C3)CCCC1
origin: c1(CN2CCCC2)ccccc1, cl: C[n+]1c(CC)n(cc1)C, target: Cn1c(C)[n+](CC)cc1
origin: C(C)[N+](CC)(CC)CC, cl: C(C)(C)N(CC)C(C)C, target: C1CCCN1Cc1ccccc1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(c1ccccc1)N1CCCC1, target: C(CCNCCCCC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2, target: C1CCCCC1N(C1CCCCC1)C
origin: C(C)N(CCC)CCC, cl: C(C)N(CC)CC, target: CCN(CC)CC
origin: C(C)C1CCCCN1Cc1ccccc1, cl: C1[N+]2(C(CCC1)C1CN3C(C(C2)C1)CCCC3)C, target: C[C@H](N(C)Cc1ccccc1)[C@H](c1ccccc1)O
origin: c1(CN2CCCC2)cccc(F)c1, cl: c1cccc(c1)CN1C(CCC1)CO, target: c1(C[n+]2ccn(C)c2)ccccc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1c(cccc1)CN1CCCC1CO, target: [C@@H]12C[C@@H](CN3[C@H]1CCCC3)[C@@H]1[N+](C)(CCCC1)C2
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C([n+]1c(n(C)cc1)C)C, target: C1NCCCCC1
origin: C(C)N(CC)CC, cl: C1CC(N(Cc2ccccc2)C1)CO, target: C1N(Cc2ccccc2)CCC1
origin: C(C1N(Cc2ccccc2)CCC1)O, cl: C1CCCC2C3C[N+]4(C)C(CCCC4)C(C3)CN21, target: C1C2([N+](C)(C)C)CC3CC(C2)CC1C3
origin: c1ccc(F)c(CN2CCCC2)c1, cl: c1cc(ccc1)C(O)C(C)NC, target: N(CC)(CC)CC
origin: c1ccccc1C(C(C(C)NC)O)O, cl: C12CC3CC(CC(C1)C3)[N+](C)(C2)C, target: N(CC)(CC)CC
origin: C(N(CC)CC)C, cl: c1cc(ccc1)CN1C(CO)CCC1, target: CCCN(CCC)CCC
origin: C(N(CC)CC)C, cl: n1(C)c([n+](cc1)CC)C, target: C(N(CC)CC)C
origin: C1NC(Cc2ccccc2)C(CO)C1, cl: C(C)(C(c1ccccc1)O)NC, target: C1(N(C)C2CCCCC2)CCCCC1
origin: C(C)C(N(CCC)CCC)C, cl: c1c(F)cccc1C[N+](C)(Cc1cc(F)ccc1)C, target: N(CC(C)C)CC(C)C
origin: C1(CO)CCCN1Cc1ccccc1, cl: c1c(C(O)C(NC)C)cccc1, target: C1NCCCCC1
origin: c1(CN2CCCC2)ccccc1F, cl: c1(cc(ccc1)CN1CCCC1)F, target: Cn1c[n+](CCCC)cc1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(c1ccccc1)(C(C)N(Cc1ccccc1)C)O, target: C(N(CC)CC)(C)O
origin: C1CCN(Cc2ccccc2)C1, cl: C(C)CN(CCC)CCC, target: c1ccccc1[C@@H](O)[C@@H](N(C)C)C
origin: C1CCC2C3CC(C[N+]4(C)C(C3)CCCC4)C12, cl: C1CCC2C3CC(CN2C1)C1[N+](C3)(CCCC1)C, target: CCN(CC)CC
origin: C1C(N(C)C2CCCCC2)CCCC1, cl: C(c1c(cccc1)F)N1C(CO)CCC1, target: CN(C)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1CCN(Cc2ccccc2)C1CO, target: OCCN(CCO)C
origin: C1CCC2N(CC3CC2CCCC[N+]34C)CCCC12, cl: c1cccc(CN2CCCC2CO)c1F, target: CCCN(CCC)CCC
origin: [N+](C)(C)(C)C, cl: c1c(c(C[n+]2cn(C)cc2)ccc1)F, target: CN(C)C
origin: Cc1n(C)c(C)c(C)[n+]1C, cl: C1CCN(Cc2ccccc2)C1, target: c1cc(N(C)C)ccn1
origin: c1c[n+](CCCC)cn1C, cl: C(N1CCCC1)c1ccccc1, target: C(C)N(CC)CC
origin: C(C)[N+](CC)(CC)CC, cl: CCCC[n+]1cn(cc1)C, target: N(CC)(CC)CC
origin: C1CCN(Cc2ccccc2)C1CO, cl: c1cccc(c1)C(O)C(C)NC, target: CCC[N+](CCC)(CCC)CCC
origin: C(N(CC)CC)C, cl: N(CC)(CC)CC, target: C(C)N(CC)CC
origin: c1cc(CN2CCCC2CO)ccc1, cl: C1CN(CCN(CCN(C)CCN(CCN(CCN1C)C)C)C)C, target: N(C)[C@@H](C)[C@@H](c1ccccc1)O
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: n1(C)c[n+](cc1)CCCC, target: [C@@H]1(CO)CCCN1Cc1ccccc1
origin: C1C2C3[N+](C)(CCCC3)C(C2)CC1C3, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: N(C(c1ccccc1)C)(Cc1ccccc1)C, cl: C(C[N+](CCO)(C)CCO)O, target: C(CNCCCC)CC
origin: N(C1CCCCC1)(C1CCCCC1)C, cl: c1c(cccc1)C(C(NC)C)O, target: C1[N+](C)(CCCC)CCC1
origin: c1cc(CN2CCCC2CO)ccc1, cl: C1CCCN2C1C1C[N+]3(C(CCCC3)C(C1)C2)C, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: C(C)(c1ccccc1)NCC, cl: Cc1n(cc[n+]1CC)C, target: c1(F)cc(CN2[C@H](CO)CCC2)ccc1
origin: C(C(c1ccccc1)n1cc[n+](C)c1C)c1cc(F)cc1, cl: C(C)CCN(CCCC)CCCC, target: C(C)N(CC)CC
origin: C12([N+](C)(C)C)CC3CC(CC(C1)C3)C2, cl: c1ccc(C(O)C(C)NC)cc1, target: c1cccc([C@H](O)[C@H](C)N(C)Cc2ccccc2)c1
origin: c1ccccc1CN1CCCC1CO, cl: CN(C)C(=N)N(C)C, target: O[C@@H](c1ccccc1)[C@@H](NC)C
origin: C(CN(CCC)CCC)C, cl: C(C)[N+](CC)(CC)CC, target: N(CC)(CC)CC
origin: C12C3CCCCN3CC(C1)C[N+](C)(C)C2, cl: C(C1N(CCC1)Cc1ccccc1)O, target: c1(C[N+](C)(C)Cc2c(F)cccc2)ccccc1F
origin: C(C)CN(CCC)CCC, cl: c1ccc(c(CN2CCCC2)c1)F, target: c1ccc(C[N+](C)(C)Cc2ccccc2)cc1
origin: C1CN(Cc2ccccc2F)C(CO)C1, cl: C(C(NC)C)(c1ccccc1)O, target: C(CN(C)CCO)O
origin: C(C)CCCC, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: C1CCCCCN1, cl: C1C2CC3CC1CC(C2)(C3)[N+](C)(C)C, target: CCN(CC)CC
origin: c1cc(CN2CCCC2CO)ccc1, cl: c1(CN2CCCC2)cc(F)ccc1, target: C1C2CC3CC1([N+](C)(C)C)CC(C2)C3
origin: C1CC2C3CC(CN2CC1)C1CCCC[N+]1(C)C3, cl: c1cccc(c1)C(O)C(C)NC, target: C(N(CC)CC)C
origin: C(C)CN(CCC)CCC, cl: C1CN(Cc2ccc(F)cc2)CC1, target: N12CCN(CC1)CC2
origin: C(C)(N(CC)CC)C, cl: C1CCCC2N(C1)CC1C3CCCC[N+]3(CC2C1)C, target: C(N(CC)CC)C
origin: N1(Cc2ccccc2)CCCC1, cl: CCCC[N+](CCC)(CCC)CCC, target: c1cccc([C@@H]([C@H](C)N(Cc2ccccc2)C)O)c1
origin: C(N(CC)CC)C, cl: n1(c[n+](cc1)CCCC)C, target: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1
origin: C(C)N(CC)CC, cl: C12[N+](CCCC2)(CC2C3CCCCN3CC1C2)C, target: CCN(CC)CC
origin: C(CC)[n+]1ccn(C)c1, cl: c1cc(ccc1)C(O)C(C)NC, target: C(CN(CCC)CCC)C
origin: OC1CCCN1Cc1ccccc1, cl: N1(CCCC1)Cc1ccccc1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1CC(CO)N(Cc2ccccc2)C1, cl: C1CC(CCC1)N(C1CCCCC1)C, target: [N+]12(C)C[C@H]3[C@H]4N(CCCC4)C[C@H](C3)[C@H]1CCCC2
origin: C(CC)N(CCC)CCC, cl: C(CC)N(CCC)CCC, target: C(N(CCO)CCO)CO
origin: C(CC)N(CCC)CCC, cl: c1cccc(C(O)C(C)NC)c1, target: C(C)N(CC)CC
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C12CC3([N+](C)(C)C)CC(C1)CC(C2)C3, target: [N+](C)(Cc1ccccc1)(Cc1ccccc1)C
origin: C(C)(N(C(C)C)CC)C, cl: C(c1ccccc1)(O)C(NC)C, target: C[N+](C)(C1C2CC3CC1CC(C3)C2)C
origin: c1c(CN2C(CO)CCC2)cccc1, cl: N(CC)(CC)CC, target: CCN(CC)CCO
origin: c1ccc(C[N+](C)(Cc2ccccc2)C)cc1, cl: C(C)CN(CCC)CCC, target: C(C)N(CC)CC
origin: C(C)(C(c1ccccc1)O)N, cl: C1CCCC2C3CC(C4N(C3)CCCC4)C[N+]21C, target: CCN(CC)C(O)C
origin: CN1CCCN(C)CC1, cl: C(C)CN(CCC)CCC, target: C(CN(CCC)CCC)C
origin: C(C1(c2ccccc2)O)(CO)c1ccccc1, cl: c1cccc(CN2CCCC2)c1, target: CCN(CC)CC
origin: c1c(C[N+](Cc2ccccc2)(C)C)cccc1, cl: c1(CN2CCCC2)cc(C[N+]2(CCCC2)C)ccccc1, target: C1CCCCC1N(C)C1CCCCC1
origin: c1(C[N+]2(C)CCCC2)ccccc1, cl: C1CN(Cc2ccccc2F)CC1, target: C[C@@H]([C@H](c1ccccc1)O)NC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: [n+]1(C)c(n(c(C)c1C)C)C, target: C(C)C[N+](CCC)(CCC)CCC
origin: C(CCC)NCCC, cl: c1cccc(c1)CN1CCCC1, target: C1CCCN1Cc1ccccc1F
origin: C1CCCN(Cc2ccccc2)C1, cl: C(N(CC)CC)C, target: N(CC)(CC)CC
origin: c1[n+](CCCC)ccn1C, cl: C1C2CC3CC(C2)CC1C[N+]3(C)C, target: CN(C1CCCCC1)C1CCCCC1
origin: C[N+](CC)(CC)CC, cl: c1c(F)ccc(C[N+](Cc2ccccc2)(C)C)c1, target: CCN(CC)CC
origin: C(CN(CCC)CCC)C, cl: c1cccc(CN2CCCC2)c1F, target: c1cc(CN2CCCC2)ccc1
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: C1CCC(N(C)C2CCCCC2)CC1, target: C(C)(C)N(CC)C(C)C
