origin: C[N+](C1C2CC3CC(CC1C3)C2)(C)C, cl: c1(N(C)C)ccncc1, target: C1C2CC3C([N+](C)(C)C)C1CC(C3)C2
origin: c1cc(CN2C(CO)CCC2)ccc1, cl: C(CC)CCCCCCCC[N+](C)(C)C, target: CCN(CC)CC
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(N(CC)CC)CO, target: C1CCCN1Cc1ccccc1F
origin: C1CCN(Cc2ccccc2)C1, cl: c1ccc(F)c(CN2CCCC2)c1, target: c1(CN(C)C)ccccc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: N1(Cc2ccccc2)CCCC1
origin: c1ccccc1CN1C(CO)CCC1, cl: C1(N(Cc2ccccc2)CCC1)CO, target: N(CC)(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1C(N(Cc2ccccc2)CC1)CO, target: C(C)N(CC)CC
origin: C(C)[n+]1c(C)n(C)cc1, cl: C(CN(CCC)CCC)CC, target: C1CCN(Cc2cc(F)ccc2)C1
origin: C(C)C[N+](CCC)(CCC)CCC, cl: N(C(C)C(O)c1ccccc1)C, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1C2CC3CC(C2)CC1(C3)[N+](C)(C)CC, target: CN(C)C
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: CCN(CC)CC, target: C(O)CN(CC)CC
origin: C[n+]1c(C)c(C)n(C)c1C, cl: c1(C[n+]2ccn(c2)C)ccccc1, target: CC[N+](CC)(CC)CC
origin: c1cc(CN2CCCC2CO)ccc1, cl: N(CCC)(CCC)CCC, target: C1CCN(Cc2c(F)cccc2)C1
origin: C1CCCCC1N(C1CCCCC1)C, cl: [C@H+](Cc1ccccc1)Cc1ccccc1, target: CN(C1CCCCC1)C1CCCCC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C)C(C)N(Cc1ccccc1)C, target: C[C@H](NC)[C@@H](c1ccccc1)O
origin: c1ccccc1CN1CCCC1, cl: C1CCN(Cc2ccccc2)C1CO, target: N(CC)CC
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1c(ccnc1)N(C)C, target: C(c1ccccc1)[N+](Cc1ccccc1)(C)C
origin: C1N2CCN(CC2)C1, cl: CCN(CC)CC, target: C1N2CCN(CC2)C1
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C(CCCC)N(CCCC)CCCC, target: C([N+](CC)(CC)CC)C
origin: C(C1CCCN1Cc1ccccc1)O, cl: c1ccc(cc1)CN1C(CO)CCC1, target: CN[C@@H](C)[C@@H](c1ccccc1)O
origin: C(C)N(CC)CC, cl: N(C)(C)C(O)c1ccccc1, target: C(N(CCC)CCC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: CN(C1CCCCC1)C1CCCCC1
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1c(cccc1)C(C(N(C)C)C)O, target: C(CN(CCC)CCC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCN(CCO)CCO, target: CCC[N+](CCC)(CCC)CCC
origin: C(N(CC)CC)C, cl: NCCN(C)C, target: CCN(CC)CC
origin: N(C(C)C(O)c1ccccc1)C, cl: CCC[N+](CCC)(CCC)CCC, target: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1
origin: c1ccccc1C(O)C(C)NC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C(C1N(Cc2ccccc2)CCC1)O, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: c1ccc(cc1)CN1CCCC1CO, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCC[N+](CCC)(CCC)CCC, target: N(CC)(CC)CC
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: c1ccc(C[n+]2cn(C)cc2)cc1, target: CCN(CC)CC
origin: C(C)N(CC)CC, cl: [C@@12CC3CC(CC(C3)C2)C1, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: Cc1[n+](ccn1C)CCCC, target: CCCC[n+]1cn(C)cc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(CN(CCC)CCC)CC, target: CCN(CC)CC
origin: C(O)(c1ccccc1)C(C)NC, cl: C(C)CC[n+]1ccn(c1)C, target: C(N(CC)CC)C
origin: c1c(CN2CCCC2)cccc1, cl: O1CCN2CCOCCOCCN(CCOCCOCC2)CCOCC1, target: c1(F)c(C[N+](C)(C)Cc2c(F)cccc2)cccc1
origin: C1CCN(Cc2ccccc2)C1CO, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C(CCC)[n+]1ccn(C)c1C, cl: CCN(CC)CC, target: c1(C)c(C)n(C)c(C)[n+]1C
origin: C(C)N(CC)CC, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: c1(C)n(C)c(C)[n+](C)c1C, cl: c1cc(CN2CCCC2)ccc1, target: C(C[N+](CCC)(CCC)CCC)C
origin: C1CCCCNC1, cl: C1CN2CCN1CC2, target: C(N(CC)CC)C
origin: c1cccc(CN2CCCC2)c1, cl: Cn1cc[n+](c1)CCCC, target: c1c(F)cccc1CN1CCCC1
origin: C12C3CCCCN3CC(C3[N+](C)(C1)CCCC3)C2, cl: CCN(CC)CC, target: C1N2[C@H]([C@@H]3C[N+]4(C)[C@@H]([C@H]1C3)CCCC4)CCCC2
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N([CC)(CC)CC, target: c1ccccc1[C@H](O)[C@@H](NC)C
origin: C(O)C1CCCN1Cc1ccccc1, cl: CCC[N+](CCC)(CCC)CCC, target: c1ccccc1CN1CCCC1
origin: C(C)N(CC)CC, cl: c1c(c(CN2CCCC2)ccc1)F, target: C(N(CC)CC)C
origin: C1C2CC3CC1C([N+](C)(C)C)(C2)C3, cl: C(C)(C)N(CC)C(C)C, target: C1C2([N+](C)(C)C)CC3CC(CC1C3)C2
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1[N+](CCC1)(CCCC)C, target: C(C)N(CC)CC
origin: c1cc(CN2CCCC2)ccc1, cl: c1cc(CN2CCCC2)ccc1, target: N1(Cc2ccccc2)CCCC1
origin: c1ccccc1CN1CCCC1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1CN(Cc2cccc(F)c2)CC1, cl: C(N(CC)CC)CO, target: C1NCCCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1CCCNCC1, target: N(CC)(CC)CC
origin: c1cccc(CN2CCCC2)c1, cl: C1CCC(CC1)N(C1CCCCC1)C, target: C1C(N)CCCC1
origin: C([N+]1(C)C(CO)CCC1)c1ccccc1, cl: CCCN(CCC)CCC, target: C(C)N(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C(C)(N(CC)CC)C, target: [N+](CC)(CC)(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCCC[n+]1ccn(c1)C, target: C(C)N(CC)CC
origin: C(CO)[N+](CCO)(CCO)C, cl: C1CN(C1)Cc1ccccc1, target: OCC[N+](CCO)(CCO)C
origin: C1C2C3CC(CN2CCC1)C1[N+](C)(CCCC1)C3, cl: C([N+](CC)(CC)CC)C, target: C1C[C@H]2[N+](C)(CC1)C[C@@H]1C[C@H]2CN2[C@H]1CCCC2
origin: C(O)C1N(Cc2ccccc2)CCC1, cl: C(CN(C)C)CCCCN(C)C, target: CCN(CC)CC
origin: C1C2C3CCCCN3CC(C3CCCC[N+]13C)C2, cl: c1ccc(CN2CCCC2CO)cc1, target: [N+]12(C)C[C@@H]3C[C@H]([C@H]1CCCC2)CN1[C@H]3CCCC1
origin: C(CC)N(CCC)CCC, cl: C1[N+](Cc2ccccc2)(C)C(CO)CC1, target: N(C)[C@H]([C@@H](c1ccccc1)O)C
origin: C(C)CN(CCC)CCC, cl: OCC(NC)C, target: C(CCC)NCCCC
origin: c1c(CN2CCCC2)cccc1, cl: n1(C)c(C)[n+](CC)cc1, target: c1c(C[N+](C)(C)Cc2cc(F)ccc2)cc(F)cc1
origin: C1CCC[N+]1(CCCC)C, cl: C1N2CCN(C)CC2, target: CC(C)N(C(C)C)CC
origin: c1ccccc1C(C(C)NC)O, cl: CN(C)c1ccncc1, target: [C@H]([C@@H](c1ccccc1)O)(NC)C
origin: C[n+]1c(C)n(C)c(C)c1C, cl: c1cccc(c1)CN1C(CO)CCC1, target: c1(C)[n+](C)c(C)c(C)n1C
origin: C(C1N(Cc2ccccc2)CCC1)O, cl: C(C)C[N+](CCC)(CCC)CCC, target: C(C)N(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: c1cc(ccc1)C(C(NC)C)O, target: C(C)CN(CCC)CCC
origin: c1ccccc1C(C(NC)C)O, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: CN(C(=N)N(C)C)C, cl: C[N+](C)(C12CC3CC(CC(C3)C2)C1)C, target: C(O)CN(CCO)CCO
origin: C1CCN(Cc2ccccc2)C1, cl: c1c(CN2CCCC2CO)cccc1, target: C(C)[N+](CC)(CC)CC
origin: C[N+](Cc1ccccc1F)(C)Cc1ccccc1F, cl: CN(C1CCCCC1)C1CCCCC1, target: C(CC)N(CCC)CCC
origin: C(CCC)[n+]1cn(C)cc1, cl: C(N(CCO)CCO)CO, target: C([N+](CCC)(CCC)CCC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C12CC3CC(CC(C3)C2)[N+](CC)(C)C1, target: C(C)N(CC)CC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: CCN(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCN(Cc2ccccc2)C1, cl: CCN(CC)CC, target: C(C)N(CC)CC
origin: C1(CO)CCCN1Cc1ccccc1, cl: C1CCCC(C1)N, target: C(C)N(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: C1OCCN2CCOCCOCCN(CCOC1)CCOCCOCC2, target: C1N2CCOCCOCCN(CCOCCOC1)CCOCCOCC2
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: c1cc(CN(C)C(C)C(O)c2ccccc2)ccc1, target: c1ccc(CN2[C@H](CO)CCC2)cc1
origin: C(N(CC)CC)C, cl: [C@H+](Cc1ccccc1)Cc1ccccc1, target: N(C1CCCCC1)(C)C1CCCCC1
origin: C1CCCC2C3C[N+]4(C)C(CCCC4)C(CN12)C3, cl: C[n+]1c(C)n(C)c(C)c1C, target: [N+]12(C)CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C1C2CC3CC(C2)[N+](CC1C3)(C)CC, target: C(CCNCCCC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(C)CC[n+]1ccc(c(c1)C)C, target: CN(C)C
origin: C1CCCC2C3CC(C4N(CCCC4)C3)C[N+]12C, cl: C1CN(Cc2ccccc2)CC1, target: N12CCCC[C@H]1[C@@H]1C[N+]3(C)CCCC[C@@H]3[C@H](C2)C1
origin: c1ccccc1C(O)C(C)NC, cl: c1c(cccc1)CN1CCCC1CO, target: OC[C@@H]1CCCN1Cc1ccccc1
origin: C(N(CC)CC)C, cl: N([C)(Cc1ccccc1)C, target: N12CCOCCOCCN(CCOCCOCC1)CCOCCOCC2
origin: C1CCCCC1N(C1CCCCC1)C, cl: CN[C+](CC)(CC)CC, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C1CCCC(N(C)C2CCCCC2)C1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: c1c(C(O)C(C)N(Cc2ccccc2)C)cccc1, cl: C1(N(Cc2ccccc2)CCC1)CO, target: CN[C@@H](C)[C@H](O)c1ccccc1
origin: C(CCCC[n+]1c(C)n(C)cc1)C[n+]1c(C)n(C)cc1, cl: C(CCN(C)C)CCCCN(C)C, target: c1(C)[n+](C)c(C)c(C)n1C
origin: C[N+](Cc1ccccc1)(Cc1ccccc1)C, cl: c1ccc(cc1)CN1C(CO)CCC1, target: c1c(C[N+](C)(Cc2ccccc2)C)cccc1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1C2CC3CC1([N+](C)(C)C)CC(C3)C2, target: CC[N+](CC)(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1ccc(cc1)CN(C)C, target: C(C)N(CC)CC
origin: CCN(CC)CC, cl: C1[N+](Cc2ccccc2)(C(CC1)CO)C, target: N(CC)(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: N(CC)(CC)CC, target: CCC[N+](CCC)(CCC)CCC
origin: N1(Cc2ccccc2)CCCC1, cl: CCN(CC)CC, target: C(c1ccccc1)N1CCC[C@H]1CO
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(c1ccccc1)N1CCCC1, target: c1ccccc1[C@H]([C@H](C)NC)O
origin: c1cccc(CN2CCCC2)c1, cl: C(CC)C[n+]1ccn(C)c1C, target: CN(CCO)CCO
origin: C1C2C3CC(C[N+]2(C)CCC1)C1N(CCCC1)C3, cl: c1ccc(c(CN2CCCC2)c1)F, target: N12C[C@H]3[C@H]4CCCC[N+]4(C)C[C@H](C3)[C@@H]1CCCC2
origin: C(C1N(Cc2ccccc2)CCC1)O, cl: C(N(CC)CC)C, target: CN(Cc1ccccc1)C
origin: C1CCCCNC1, cl: C1CC(N(C1)Cc1ccccc1)CO, target: C1CCCCC1N(C1CCCCC1)C
origin: c1[n+](CCCC)cn(C)c1, cl: c1(C(O)C(C)NC)ccccc1, target: C(NCC)C
origin: C1CN2CCN1CC2, cl: C(CC)N(CCC)CCC, target: C1CN2CCN1CC2
origin: c1cc(CN2CCCCCC2)ccc1, cl: C1C2CC3CC1(CC(C3)C2)[N+](C)(C)C, target: C1CCN(Cc2ccccc2)C1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: N(CC)(CC)CC, target: CCN(CC)CC
origin: c1ccccc1CN1CCCC1, cl: C(CN(CCO)CCO)N(CCO)CCO, target: C1CCCCNC1
origin: CN(C1CCCCC1)C1CCCCC1, cl: CCN(CC)CC, target: CC[N+](CC)(CC)CC
origin: c1cccc(CN2CCCC2)c1, cl: CCCN(CCC)CCC, target: C(N(CC)CC)C
origin: OCC1CCCN1Cc1ccccc1, cl: C(N(C)C)(=N)N(C)C, target: C(N(CC)CC)CO
origin: C1C2C3CCCC[N+]3(C)CC1C1N(CCCC1)C2, cl: c1ccc(C(C(C)NC)O)cc1, target: C[N+]12[C@@H]([C@H]3C[C@@H](C1)[C@@H]1CCCCN1C3)CCCC2
origin: C1CCCCC1N(C1CCCCC1)C, cl: CN(C)C, target: CCN(CC)CC
origin: C1CCC(N(C)C2CCCCC2)CC1, cl: C1CCCC(C1)N(C1CCCCC1)C, target: CC[N+](CC)(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCN(CC)CC, target: [n+]1(CCCC)ccn(C)c1C
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C(N(CC)CC)C, target: N(CCO)(CCN(CCO)CCO)CCO
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: C1CCC(N(C)C2CCCCC2)CC1, target: CCN(CC)CC
origin: C1CCCCC1N(C)C1CCCCC1, cl: C1NCCCCC1, target: O[C@H](c1ccccc1)[C@H](C)NC
origin: C1CCCCC1N(C1CCCCC1)C, cl: N(CC)(CC)CC, target: N(C)(C)C
origin: C(C)N(CC)CC, cl: C(N(CC)CC)C, target: C(CN(CCC)CCC)C
origin: C12C3CCCC[N+]3(C)CC(C3N(CCCC3)C1)C2, cl: CC[N+](CC)(CC)CC, target: C12CCCCN1CC1CC2C[N+]2(C)CCCCC12
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: CCN(CC)CC, target: N(C(N(C)C)=N)(C)C
origin: c1(CN2CCCC2CO)ccccc1, cl: CC[N+](CC)(CC)CC, target: C([N+](CC)(CC)CC)C
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CN(C1CCCCC1)C1CCCCC1, target: C(C)N(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CC[N+](CC)(CC)CC, target: C(C)N(CC)CC
origin: C(c1ccccc1)N1CCCC1CO, cl: c1(C[n+]2ccn(C)c2C)ccccc1, target: C1OCCOCCN2CCOCCOCCN(CCOCCOCC2)C1
origin: C(C)N(CC)CC, cl: C(CN(C)CCO)O, target: CCCN(CCC)CCC
origin: C[n+]1ccn(CC)c1, cl: C[N+](C12CC3CC(CC(C3)C2)C1)(C)C, target: CN(C)c1ccncc1
origin: C(CO)[N+](CCO)(CCO)C, cl: CC(C(O)c1ccccc1)C(NC)C, target: C(CO)[N+](CCO)(CCO)C
origin: c1ccccc1C(O)C(NC)C, cl: N(C1CCCCC1)(C1CCCCC1)C, target: C(N(CC)CC)C
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: c1ccc(cc1)C(C(NC)C)O, target: c1ccc([C@@H](O)[C@@H]([N+](C)(C)C)C)cc1
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: CCN(C(C)C)C(C)C
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: C(C)[N+](CC)(CC)CC, target: N(C1CCCCC1)(C1CCCCC1)C
origin: c1cc(C(O)C(C)NC)ccc1, cl: C(N(C)C)CO, target: C1CCCC(N(C2CCCCC2)C)C1
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(O)(c1ccccc1)C(NC)C, target: N(CCO)(CC)CC
origin: C1CCN(Cc2ccccc2)C1, cl: N1(Cc2ccccc2)CCCC1, target: C1NCCCCC1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)(C)(c1ccccc1)C(NC)C, target: C(N(CC)CC)C
origin: c1cccc(CN2CCCC2)c1, cl: C(N(CC)CC)C, target: c1ccc(C[N+](C)(C)Cc2ccccc2)cc1
origin: c1cc(C(C(NC)C)O)ccc1, cl: C(N1CCCC1)c1ccccc1, target: C1C(N(C)C2CCCCC2)CCCC1
origin: CCN(CC)CC, cl: C([C(C)C)(C)C(O)c1ccccc1, target: CCN(CC)CC
origin: C1C(N(C2CCCCC2)C)CCCC1, cl: C(C)(C)N(CC)C(C)C, target: C1CC(N(C2CCCCC2)C)CCC1
origin: c1c(CN2CCCC2)cccc1F, cl: OC(CO)Cn1c(C)[n+](C)cc1, target: CC(NC(C)C)C
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C)CC[n+]1c(C)n(cc1)C, target: CCN(CC)CC
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: CCN(CC)CC, target: C([n+]1ccc(C)c(C)c1)CCC
origin: C(N(CC)CC)C, cl: N(CC)(CC)CC, target: N(CC)(CC)CC
origin: C1CCCCC1N(C1CCCCC1)C, cl: c1c(CN2CCCC2)cccc1, target: C(N(CCC)CCC)CC
origin: c1ccccc1CN1CCCC1, cl: C1CC(N(C)C2CCCCC2)CCC1, target: CCN(CC)CC
origin: C(C)(N(Cc1ccccc1)C)C, cl: c1c(CN2CCCC2CO)cccc1, target: C1CCC(N(C)C2CCCCC2)CC1
origin: c1c(CN2CCCC2CO)cccc1, cl: C(CN(CC)CC)O, target: c1ccc(CN2CCCC2)cc1
origin: CCN(CC)CC, cl: C1CCCNCC1, target: CCN(CC)CC
origin: c1cccc(CN(C(C)C(O)c2ccccc2)C)c1, cl: CC[N+](CC)(CC)CC, target: C(C)N(CC)CC
origin: C(N(CC)CC)C, cl: C(CCN(CCC)CCC)CC, target: C(C)N(CC)CC
origin: C1CCN(Cc2ccccc2F)C1, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C12CC(C3[N+](C)(CCCC3)C1)CN1C2CCCC1, cl: CCN(CC)CC, target: C1CCC[C@@H]2[C@@H]3CN4[C@@H](CCCC4)[C@@H](C3)C[N+]12C
origin: c1ccccc1C(O)C(C)NC, cl: c1c(cccc1)CN1CCCC1CO, target: CN(C)C
origin: C1N(Cc2ccccc2)CCC1, cl: C1CC(N(C1)Cc1ccccc1)CO, target: OC[C@@H]1CCCN1Cc1ccccc1F
origin: C1CCC2N(CC3C4[N+](C)(CC2C3)CCCC4)C1, cl: C[N+](C)(Cc1ccccc1F)Cc1ccccc1F, target: C12CC3CC(C1)CC([N+](C)(C)C)(C3)C2
origin: CC(C(c1ccccc1)O)NC, cl: CCN(CC)CC, target: C(NCC(C)C)C(C)C
origin: C1CCN(Cc2ccccc2)C1CO, cl: C([N+](CC)(CC)CC)C, target: C1NCCCCC1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C(C[N+](C)(C)C)CCCC[N+](C)(C)C, target: CCN(CCO)CC
origin: C1CCNCCC1, cl: Cn1c([n+](cc1)CCCC)C, target: CCN(CC)CC
origin: c1(CN2CCCC2)ccccc1, cl: C(N(CC)CC)C, target: [C@@H]([C@@H](NC)C)(O)c1ccccc1
origin: C1N(Cc2ccccc2)CCC1, cl: c1ccc(CN2CCCC2CO)cc1, target: c1ccccc1CN(C)C
origin: C1CCN(Cc2ccccc2)C1CO, cl: c1ccc(cc1)C[n+]1ccn(c1C)C, target: CCCN(CCC)CCC
origin: C12CC3([N+](C)(C)C)CC(CC(C1)C3)C2, cl: CCCC[n+]1ccn(C)c1C, target: C12CC3CC([N+](C)(C)C)(CC(C1)C3)C2
origin: Cc1[n+](CCCC)ccn1C, cl: C(C[N+](C)(C)C)CCCC[N+](C)(C)C, target: C(C[n+]1ccn(C)c1)CC
origin: C(C)N(CC)CC, cl: N(CCC)(CCC)CCC, target: N(C)(C)C
origin: c1c(F)cccc1CN1CCCC1, cl: C(O)C1N(Cc2ccccc2)CCC1, target: C(CN(CCN(CCO)CCO)CCO)O
origin: C1CCCN2CC3C4CCCC[N+]4(C)CC(C3)C12, cl: CCN(CC)CC, target: [C@@H]12[N+](C)(CCCC1)C[C@H]1[C@@H]3CCCCN3C[C@@H]2C1
origin: C1CCN2CC3C4[N+](C)(CCCC4)CC(C2C1)C3, cl: [C@@(C)(C)CC, target: C1[N+]2(C)[C@H](CCCC2)[C@@H]2CN3CCCC[C@H]3[C@H]1C2
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C12CC3CC(CC(C3)(C2)[N+](C)(C)C)C1, target: C(N(CC)CC)C
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C1CCCCC1N(C1CCCCC1)C, target: C1CCCCC1N(C1CCCCC1)C
origin: c1ccccc1CN1CCCC1, cl: c1c(CN2CCCC2CO)cccc1, target: C(Cn1cc[n+](C)c1C)(CO)O
origin: C1CCCCC1N(C1CCCCC1)C, cl: CN(C)C(N(C)C)=N, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: C1CCN(Cc2ccccc2)C1, cl: C(N(C)C)CO, target: C(N(CCC)CCC)CC
origin: CCN(CC)CC, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: c1ccccc1CN1CCCC1, cl: C12CC3CC(CC(C3)C2)C1[N+](C)(C)C, target: CCN(CC)CC
origin: c1ccccc1C[N+](C)(Cc1ccccc1)C, cl: c1(CN2CCCC2)ccccc1, target: C[N+](Cc1ccccc1)(C)Cc1ccccc1
origin: CCN(CC)CC, cl: C(N(CC)CC)C, target: CCN(CC)CC
origin: C1C2C3N(CC(C2)C2CCCC[N+]12C)CCCC3, cl: C(C)CCCNCCCCC, target: C1N2[C@@H](CCC1)[C@H]1C[C@H]([C@H]3CCCC[N+]3(C)C1)C2
origin: Cn1c[n+](CCCC)cc1, cl: C1CCCCC1N(C1CCCCC1)C, target: C(CN(CCC)CCC)C
origin: C(CO)[N+](C)(CCO)CCO, cl: c1cc(CN2CCCC2CO)ccc1, target: OCC[N+](C)(CCO)CCO
origin: C1CCCCC1N(C)C1CCCCC1, cl: CCN(CC)CC, target: C(N(CC)CC)C
origin: c1cccc(CN2CCCCC2)c1, cl: C1CCC2C3CN4C(CCCC4)C(C[N+]2(C)C1)C3, target: N(CCO)(C)CCO
origin: c1[n+](CCCC)ccn1C, cl: C(N1CCCC1)c1cc(F)ccc1, target: Cn1cc[n+](CCCC)c1
origin: C1CCN(Cc2ccccc2F)C1, cl: [N+](CCO)(CCO)(C)CCO, target: c1c(CN2CCCC2)cc(F)cc1
origin: c1cccc(CN2C(CO)CCC2)c1, cl: C([N+](CC)(CC)CC)C, target: N1CCCCCC1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: N(CC)(CC)CC, target: N(C1CCCCC1)(C)C1CCCCC1
origin: C(C)CN(CCC)CCC, cl: N=C(N(C)C)N(C)C, target: C(C)CCN(CCCC)CCCC
origin: C(C)C[N+](CCC)(CCC)CCC, cl: C(C)CN(CCC)CCC, target: CCC[N+](CCC)(CCC)CCC
origin: C1CCN(Cc2ccccc2)C1CO, cl: N(CCO)(CCO)CCN(CCO)CCO, target: C(N(CC)CC)C
origin: C(C)N(CC)CC, cl: CCCN(CCC)CCC, target: CCC[N+](CCC)(CCC)CCC
origin: Cc1n(C)c(C)[n+](C)c1C, cl: C(N(CC)CC)C, target: C(CCC)[N+]1(C)CCCC1
origin: C1CCCCC1N(C)C1CCCCC1, cl: N1(Cc2ccccc2)CCCC1CO, target: N1(Cc2ccccc2)CCC[C@H]1CO
origin: C1CN(Cc2ccccc2F)CC1, cl: C1[N+](CCC1)(CCCC)C, target: CC(NC(C)C)C
origin: C1N(Cc2ccccc2)C(CO)CC1, cl: C1CCCN1Cc1ccccc1, target: c1ccc(CC2N(Cc3ccccc3)CCNC2)cc1
origin: c1c(C[n+]2ccn(C)c2C)cccc1, cl: C(CCCC[N+](C)(C)C)C[N+](C)(C)C, target: CCN(CC)CC
origin: C1CN(Cc2ccccc2)C(CO)C1, cl: CCN(CC)CC, target: c1cc(F)c(CN2CCCC2)cc1
origin: C(CN(CCC)CCC)C, cl: CC[N+](CC)(CC)CC, target: CCN(CC)CC
origin: c1cccc(C(C(N(C)C)C)O)c1, cl: C1N(Cc2ccccc2)CCC1, target: CN(C1CCCCC1)C1CCCCC1
origin: CCN(CC)CC, cl: CC[N+](CC)(CC)CC, target: c1[n+](Cc2ccccc2)c(C)n(C)c1
origin: N1CCN(CCN)CC1, cl: C(C)CC[n+]1ccc(c1)C, target: N(CC)(CC)CC
origin: c1cccc(CN(C)C(C)C(c2ccccc2)O)c1, cl: CN[C+](C)(C)C, target: C1COCCN2CCOCCOCCN(CCOCCOCC2)CCO1
origin: C1CCCCC1N(C1CCCCC1)C, cl: C1CCCC(N(C)C2CCCCC2)C1, target: CN(C)C
origin: C1CCCCC1N(C)C1CCCCC1, cl: C(N(CC)CC)CO, target: c1ccc([C@H]([C@@H](NC)C)O)cc1
origin: C1CCCC(N(C2CCCCC2)C)C1, cl: C(N(CC)CC)C, target: C(C)N(CC)CC
origin: c1ccccc1CN1CCCC1, cl: C1CCC[N+]2(C)C1C1CN3CCCCC3C(C1)C2, target: N(CC)(CC)CC
origin: CC[N+]1(CC)C(C)CCCC1C, cl: [C@H4CCCC[N+]4(C)C(CCCC2)CN1C3CCCC1, target: C1CC(C)[N+](CC)(CC)C(C)C1
origin: C1CCC(N(C2CCCCC2)C)CC1, cl: C1[C+](CC1)(C)CCCC, target: C(N(CC)CC)C
origin: c1ccc(CN2C(CO)CCC2)cc1, cl: C(C)CN(CCC)CCC, target: N(CC)(CC)CC
origin: C1CC(N(C)C2CCCCC2)CCC1, cl: [N+](CC)(CC)(CC)CC, target: CCN(CC)CC
origin: C1N(CCO)CCOCCO1, cl: CCN(CC)CC, target: N(CC)(CC)CC
origin: c1cccc(C[N+]2(C)C(CO)CCC2)c1, cl: C(C)CN(CCC)CCC, target: C1CCCCNC1
