origin: C1N(CN(CCC(CCCCCCCCCC, cl: C1C1C(C)NCNNCCcNC, target: C1NCCN(CCN)C1
origin: C11(Cc[CcNcccccCCCCcccCCCCc(cc(1C11CC1C1111111111111111111c1C111111111111111111111111111C111111111111111111111111111111111111111111111111111C111111111111111111111111111111111111111111111111111111C11111111111111111111C11, cl: C(C[CCCCCCCC1112)CCCC1, target: CCN(CC)CC
origin: C1N+]1(C((((N+](((CN++C(C(N+](((C2)CNcccN(, cl: C1O1NCCcNCcCNNCNCCC, target: C[N+]12CCCC[C@@H]1[C@H]1C[C@@H](C2)[C@@H]2CCCCN2C1
origin: C1[C(22CCCCC1CCCC22)C1, cl: C(1N+]1C))(Cc1C1Cccccc, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1N)NNN+](CcCC(CcC2C, cl: C11N+]1CC)(CC1C1CCccCc, target: C(CC)[N+](CCC)(CCC)CCC
origin: C1CNC1CC)CcCCNCCc, cl: C11C)CCNNcCCCCCCCCCCCCC(C(((((ccccc1CC, target: C(C)N(CC)CC
origin: C(CCO(C)C)C)CCCCNCc, cl: C1N+]1C)(C)CCCCCCCC(CC(C1)C2)C2, target: N(CC)(C(O)C)CC
origin: cNNCCCC)CCNNC[NcNCNN, cl: CCCCCCCC2CC1CCC2)C1CC2)C22CC2, target: C(N(CCC)CCC)CC
origin: C11(CcNCOcNcccCCCCCC(CCCCcC, cl: C1C1CN+]((CCCCCC1)C[CCC, target: CCN(CC)CC
origin: C1C1N(CcNCcNNncccC, cl: c(1N+](C)C(Cc1C1CCcCcc(C, target: N(CC)(CC)CC
origin: C1C(CCCCC21(ccc(CC, cl: C1(C(CCC)C)[C22)C)CC[1, target: C1C(N)CCCC1
origin: C(O)CNN+]1C)1)(Cc1)C(C1Ccc, cl: C1ccc((1C((C((C1, target: C(C)C[N+](CCC)(CCC)CCC
origin: C1CCC)C)CCCOCNNCnc, cl: C1[CCCNC))C[C[cCCCC, target: N(C(C)C)C(C)C
origin: CNCC[N(Cc1ccC)cccc1, cl: C(1[(c)c(c)[[[)[n+]1CcCCC, target: C1CCCN1Cc1c(F)cccc1
origin: C1O)(C)N)CCONC[NNcccNC, cl: [11[N+]1C)C)(C)C)CcC1c[cc((C, target: C(CN(CCC)CCC)C
origin: C1O)CCC(CCCCCCCCCC, cl: [1C((CCCCCC1222(CC1)11)12)C11C11, target: C(C)NCC
origin: [NNCCCCCCCCC1122)CCCC1, cl: C1OCCCNC)NcNCccCcCC, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C1cc(cccN2C(CC2ccccc3)C1112)c1, cl: C1ONC1CC)C()cccccCCC, target: c1cccc(CN2C(Cc3ccccc3)CNCC2)c1
origin: C11(CcNCcNCccccCCCCCCCCCcC1c1C, cl: C1ONC1CCNCcCCNCNCC, target: CCN(CC)CC
origin: C1OCCCNCN)C[CNccCCC, cl: C1CCCc2cccC)ccc2)CC[1)O(N, target: C(N(CC)CC)C
origin: C11(CcNCNNCNCcCC, cl: C1CC)(C))CcNNccNcCc, target: CCN(CC)CC
origin: C1(CCCCNcCCCCCNCCcCCCCC(CCC(Cc(cCCCCCC1C1, cl: C1NCN1CC[C([Cccc, target: CN(C)C
origin: C1c(CcccN+](cC(C)c1, cl: C1cccc(cN+]C1C)CN++]n+c))c1c1, target: c1n(C)c[n+](CCCC)c1
origin: C1O)NNNN+]1cc(CCcc1, cl: CNCCCCCC1C(C1, target: C(CC)C[n+]1cn(C)cc1
origin: c1OC[(NCCCcC1CC[C22)C1, cl: C1C)N+](C)))(C)1)C)C2([CccN(CC, target: C1CCCC(N(C)C2CCCCC2)C1
origin: C1C2CCCCCCCCO[22)CC[C1O, cl: [1[c(cc[N+](C)(CC2ccccc2)C)cc1, target: C1C(N(C)C2CCCCC2)CCCC1
origin: C(1N+]1cc((C(c1, cl: CNNCCC)C)CCN[NNNCccc, target: CC[n+]1ccn(C)c1C
origin: CN+](C)(CC(CCCN+]]CCC)CN, cl: C1N+]1CC(CCCCCCCCC(C21C3)C2)C1(c, target: [N+](C)(C)(C)[C@@H](C)[C@@H](c1ccccc1)O
origin: C1O1CCCC)CcCccCC, cl: C1OCC1Cc1ccNNccccCCCC, target: C(C)N(CC)CC
origin: [1[CN+]N(CN+]C(C(N+]+((CC3CCC)CN-]++, cl: C1c(((cN2CCCC2O2)c[1, target: C1C[C@H]2[C@H]3C[C@@H](CN2CC1)[C@H]1CCCC[N+]1(C)C3
origin: C1O1CCCcCC(NCccccCCCCC, cl: C11(CcCCcCCNccc(CCCCCCCCCcCCc(C(CcC11C1111CC11, target: C(C)N(CC)CC
origin: C1NCCC2c((((2)C([[CNOCCC, cl: C1ccC[2CCCC2)c([c1, target: C1N(Cc2ccccc2)CCC1
origin: C1(((CCCCCCCCC122)CCC1, cl: C1c(C2ccN+](CC(C)c1, target: C1CC(N(C)C2CCCCC2)CCC1
origin: C1cCCCNC))CNCNNCC, cl: C(N)CCOCNNC[NccCCCC(CCCCC((C(CCCCcC11, target: C(N(CC)CC)C
origin: C111N+]1CC))(C11CC1C1C1c, cl: C1CN+]C2CN+CC(C(CC(C2)C(N+]CN1CN++221)112N+]12C)CC, target: CCC[N+](CCC)(CCC)CCC
origin: C1(C[2(1N(CCCCCC[CC1, cl: C1ccCCCCC)cccc1, target: C1CCCCC1N(C)C1CCCCC1
origin: C1[[(CcC)C1CN[Ncc(, cl: C1O)C(CcNCcCCNccc, target: CCCN(CCC)CCC
origin: C1cc(C[2CN+]C(CC)CC2C)ccc1, cl: C11cc[n+](cc2c1Cc(CcC, target: c1cc(CN2[C@H](CO)CCC2)ccc1
origin: C1C1(CCC)CCCCC[CCC, cl: C((1Cc)CcCCcc(cCCCC, target: OCCN(CCO)C
origin: C(NCCN+](Cc)(Cc)CcCCc, cl: C1ccCN2C(CC2)cc((1, target: C(C)[N+](CC)(CC)CC
origin: CN1(Cc)CcNCcNcCCCCCCCCCCCCCCccCCCC1CCCcCCCC1111, cl: C(CC)2ccc(F)cc2)CCNC1C, target: CCN(CC)CC
origin: cN1(CcOCcc[NccNCCcCCCCCCCCC(cCC1cC1C111C111111111c111CC1111C11C111111111111C11111C111111C1111111111111111111111111111111111111111111111111111111111C111111CC1111111111111C11111111111111111111(1111111C11111111111111111111, cl: C1cc((C)cnC[2CCCC2)c1, target: CCN(CC)CC
origin: C1ccc((CN2CN+]C(CC)CC)2)c1, cl: CN++(n(C2ccc((1)CCN+]N(C)C))C, target: c1cccc(CN2[C@H](CO)CCC2)c1
origin: CN+]1(c2(ccn(c(c1C, cl: C1CCCN+](CCCC)CCCC2CC(CC1C2)C1)C2, target: [n+]1(CC)ccn(C)c1C
origin: C11C)cCCC)CcCcccCcCCCCCCCCCCCCCCCC, cl: C1[CCCCCCCCCC22)CCNC(1(c, target: CC(O)N(CC)CC
origin: C1N+]+NcCN+]]n(C)C1ccccc1)C, cl: CN1C(CCC)CcCNNNcc, target: C[C@@H]([C@@H](O)c1ccccc1)NC
origin: C1ccNN+](Cc(CCCC2ccccc2))C(F)cccc1, cl: [1OCCcC)CCCCCCCCCcCcCCc, target: c1(C[N+](C)(C)Cc2ccccc2F)c(F)cccc1
origin: C[11N+]1CC))(C11)CCC1CCc(((C, cl: C1[[CCCCN+]((C(C(C(C3C(C12CCC1)C3, target: CCC[N+](CCC)(CCC)CCC
origin: C1[(CcNCcNCNccccCCCC((CCC(C, cl: C11(Cc))cC[CcccCCc(, target: CCN(CC)CC
origin: C1c[N+]1C)CC(C11)C1C1cccC(, cl: C1N)CNNN(C(1, target: CCC[N+](CCC)(CCC)CCC
origin: C1N+]1C)(CCCCCCCC(C1)CC(C3)C2)C, cl: C1(CC2((CCOCC22C2(CC22)C, target: C[N+](C)(C12CC3CC(C1)CC(C3)C2)C
origin: CN+]+((CCC((((CCN+]2(CN+C(C(CN+](CC(C1CC1)C(N+]CC2C1, cl: CNO11CC))C)N)c[NccCc, target: [C@@H]12CCCCN1C[C@H]1[C@@H]3[N+](C)(CCCC3)C[C@@H]2C1
origin: CCC1(CcNCcNCccccCCCCCCCCCCCCCCNCCC, cl: C1C[CCN+](CC(CC1C2CC1CC(C2)C2, target: OCCN(CC)CC
origin: C11(CcNCcNNNcNCCCCCCC(CCCCcCCc1CC1CCCCcC1C11CC11CC1111c1111111111C11C11111C1111111C11C111111111111111111C1CC1111C1111111111111111111111111111111C1111111111, cl: C1N1CCNC)NCcCCcCcCCCCCCCCCCCC(C, target: CCN(CC)CC
origin: [CCCCC(CC1)CC2CCCc, cl: C1N1CCNC[NC[CccnCCCCCCCCCC(CCcCCCCCCC1CC11C1C1CC1CC1CC, target: N12CCN(CC1)CC2
origin: C1cc(Cn2C)Cn+]cC(C)Cn++]ncc)c1ccccc2)cc11, cl: C1c((((1C(CcCcCCCCcCCCCcCCcCCcCCccCCcCcccccccCcCCccccccCCcccc2c1Ccc1(1c11c1CC1C11c111cC11c1(111111c1c1111c21111111111111)111C1111, target: c1cc(CN(C)[C@@H](C)[C@@H](O)c2ccccc2)ccc1
origin: C1[CCcNCcNCNcccCCCCCCCCCCCCCccc1, cl: C(CCCN+](CC(CCCCCC[CC(C1)CC(C2)C3, target: CCN(CC)CC
origin: C1CC2N+](CC(CC111C1CCCccC, cl: C1OCOCC(C(CCCCCCC(((, target: C1CC[N+](C)(CCCC)C1
origin: C1CCN(C)NCccCNccCC, cl: C1CCN(CcNCnNncc, target: N(CC)(CC)CC
origin: C([(Cc)C[NNNCCCCC, cl: C1(C[2N1((CCCcCC[C(1, target: CCN(CC)CC
origin: c11(CcNCcNcNccCCCCCCc, cl: C1NN+](CCC(Cc)C))c, target: CCN(CC)CC
origin: C[C[CCC2cccc(2)C([1(CCcc, cl: C1O)CC)))C)N)C[[NcON, target: C1CN(Cc2ccccc2)CCC1
origin: CN+]1C)1cc(ccC)c1)(CC(C)C, cl: [1NCCCCC))cnCccccCCc, target: [N+](Cc1cccc(F)c1)(C)(C)Cc1cc(F)ccc1
origin: C1C1C(CCNCNNNcCCCC, cl: C1C1N(CcNCccccccc, target: N(CC)(CC)CC
origin: C11cNN1CcCCC)CcOCc, cl: C111N+](C)))(Cc1)c1C, target: CC(C)N(C(C)C)CC
origin: C11CCcNC[NNNCcCCC(CCCCCC(CCCccC(1CCC, cl: C(CCCCCCCCC[CO2)CC[C[1, target: CCN(CC)CC
origin: C(C(CCCCCC[C22)C)CC[C1, cl: C11N+]1(CCCCCC(CCC(C11C3)C2, target: C1C(N(C2CCCCC2)C)CCCC1
origin: C1O)CCCCC)CcCCcCcCC, cl: c(C1)(Cc)Ccccccc[C, target: C(C)N(CCO)CC
origin: C1N1N+](CC))(C)1)C)C1c[Ccccc, cl: CN+]1C)))(CCC)(C11)C, target: C(C[N+](CCC)(CCC)CCC)C
origin: CNN+]1Cc(C1CCCCCCCC(C1(C1)C3)C2, cl: C1N)C[N+]1CCCC(Cc1)C(C2ccccc, target: C[N+](C)(C)C12CC3CC(CC(C1)C3)C2
origin: C1CCC((C(N(CC[CC22C12, cl: C1CCC([CNNNCCCCCCC, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: CNN(CcOCcN(NCccCCCCCC(CCCCCC, cl: C1CCN(CcNCcNNccCc, target: CCN(CC)CC
origin: C1C1CN(Cc)NCcNNcNcn, cl: C((CC((CCCCC2CC1(C12)C1)C2)C1111, target: N(CCC)(CCC)CCC
origin: C1NNC1CC)Cccccccc(CCCCCCC, cl: C1cn+](ccCccc)c(ccc1, target: C(C)N(CC)CC
origin: C1[CNCCCCCCC)CCCC2)CC1, cl: C1ccCN+]n(CCCN++CcCcCCCcccc1, target: C1CCC(N(C)C2CCCCC2)CC1
origin: C11NN+](C)1C(Cc1)C(C, cl: C11OCCC)C)C[[CNCCC, target: CCC[N+](CCC)(CCC)CCC
origin: N1NCCCCC()(1c((c(F)c1, cl: CN1(CC1CcNCcCcCCCCCCCC(CCCCCcCCCcCc, target: C(N1CCCC1)c1cccc(F)c1
origin: CNC(CcNCcNCNcNcCCCCCcCCC(CCCCCCCCCCCC1C1C, cl: C1cc)ccC[2CCCC2)ccc(1, target: CCN(CC)CC
origin: C(O)(CC))CCN)C[ccccNC, cl: C(11NN+]1c((C)cc1, target: C(CN(CCC)CCC)C
origin: C1[NN([[N(CCCCCCCCCCCC, cl: C1OCCC)C)NCcCNc, target: C1CCCCC1N
origin: CNNCCCCC[NC[NNCCCC, cl: C1O)CNC)cCCCC)CCC, target: C(N(CC)CC)C
origin: C1ccc[2CCCC222)cccc1, cl: C11(CcCCcNCNccCCCCCCCcCCC, target: c1c(CN2CCCCCC2)cccc1
origin: C(1(CcNCccCNccccC(C(CCCCCCCCCC11C111CC1CC11111111111111111111111111111111111111111111C1111111C1111111111C1C1111111111111C11111111111111C1111111111C1111111111C111111, cl: CNN)CCCC)Cc, target: CCN(CC)CC
origin: C1[(CCNCcNCNCNCCCcCCC(CcCCC, cl: C1cc(CN+nN(CN++]C1C)CC)cCccc1, target: CCN(CC)CC
origin: C1CCCN(CCO)CcCNccccc, cl: C1CCC[([1[[CN(CCCC, target: C(C)CN(CCC)CCC
origin: C1CCCCC((C(2, cl: C1N)CCCCOCcCCNCcc, target: C1CN2CCN1CC2
origin: CN+]1(C)())cnn(c(c1, cl: C1OOCCC[)CcN)C[[NnC, target: [n+]1(CCCC)ccn(C)c1C
origin: C1c(cc(c(CCC)c1, cl: C1N+](CCCN+]CCCCCC)2ccccc1)C)C)C1ccccc1, target: c1nccc(N(C)C)c1
origin: C1NNN1CCOCcNcccccC, cl: C11(CcNCcNCNCccCCcCCCCC(C(C111CC1, target: C(C)N(CC)CC
origin: ccc)Cc)Cc)CCCccCC, cl: C1Cc(CcCCcCccCncCCCCCcCCCCCC, target: C(N(CC)CC)C
origin: C[O1CCCC1)CNCcccccC(cCCC(C(c, cl: C1[cC)cccC[2CCCC1)c(1, target: C(N(CC)CC)C
origin: CNC1ccc(c1)O(C((C1, cl: C1cc((CN(C(CC2)c(1, target: C(c1ccccc1)N1CCCC1
origin: CNNCCCN+]2CC2(C2CC2CCCCC1, cl: C1cCNcc(n+](c))))c11, target: C1(C)[N+](CC)(CC)C(C)CCC1
origin: CNC)C1CCCCcNCcCNc, cl: CN+++(1CCCCCN+]]CCC)C1ccccc1)C, target: C(C)N(CC)CC
origin: CN++N1C1Cccc(1)CCCCP+]CcC)CC, cl: C1[CN+](CCC11(C1CC1CcCCC, target: [C@H](c1ccccc1)(O)[C@H](C)NC
origin: C1NCCCOC))CcCcccccC(, cl: CN1(CcCCcnCccnCC(((, target: C(N(CC)CC)C
origin: CO+]N(CCN+]CCCCCN+]((CCCCCCCN+]C((CN++(C(CC)CC1CCCC2, cl: C1CCCN((1NCCC((C((, target: [C@H]12[C@@H]3C[N+]4(C)CCCC[C@@H]4[C@@H](C3)CN1CCCC2
origin: C11N1CC))CcCNNCcNcCC, cl: C1cccc(1CNN+]1Cc(CC1cc(cc1)C, target: CCCN(CCC)CCC
origin: C1((N+](CCC)(C1CCCCC, cl: C1(N(CCCCCCCC[C22)CCC1, target: CCC[N+](CCC)(CCC)CCC
origin: [1CC(C[CCCc1c(CcCcC, cl: C11CN)CCC)C)CNNNCCCc, target: N(C)(C)C(=N)N(C)C
origin: C1c(c(C[2C(CC2)c[1F(((C, cl: C(N)[NCCCN)CcCNcCNN, target: c1ccc(CN2CCCC2)cc1
origin: [NNc(CC))C)N)C[C[ccc[, cl: C11(C))CcN[ccNcCCCCCCCC(CCc1CC(CC, target: C(CN(CCC)CCC)C
origin: C1ONC1CCNCcNCccCC, cl: C1ccc((1C(N+]]((CCCCCCN+]C(, target: C(C)N(CC)CC
origin: C1CCCC(CC(C21[3)([, cl: C1ccC[2CCC(2)cc[c1, target: C1C2CC3CC(CC1C3)C2[N+](C)(C)C
origin: CN+](C)))(CcC)(CcC)CCC, cl: C1[C[([N2C1C)))CC22)C1, target: [N+](CCC)(CCC)(CCC)CCC
origin: CN+]1C)C)(C11)(C1C)C, cl: [(C1C(cc)C[c[NcnCCCC, target: [N+](CCC)(CCC)(CCC)CCC
origin: C11(Cc)CcNCCCCcCC(CCC(CC(CC, cl: C1(CNCCCCCC[CC2)CCCCC1, target: CCN(CC)CCO
origin: C1NN)NCCcN)CccNCCccc, cl: C1cc)CCCCCN+]c(C))cccc11, target: C(CC)N(CCC)CCC
origin: C1ccCccccC[N+](Cc(CCCc2cccccc)c2)cc1, cl: C1(CCC2cccc(2)C(C1, target: c1c(F)cc(C[N+](C)(C)Cc2cccc(F)c2)cc1
origin: CNc1CCCCCOC[CcCCCC(CC(C((1C1C(1, cl: C(C(CC211, target: C(N(CC)CC)C
origin: CN1N+]1C)1(CcCC1CCcCc, cl: C1cn+](cccccc)ccccc1, target: CC[N+](CC)(CC)CC
origin: C1cccc(1C[N+](C)(CC1ccc((1)C, cl: C1ccc(cCN+]]N1C1CN++n+c)c, target: c1ccccc1C[N+](C)(Cc1ccccc1)C
origin: CNN1CCCCC)ccccccCCCCCCCCCCCCCCCCcCCCCC1cCCCC, cl: C111N+]1CC))(C11)C(C, target: C(N(CC)CC)C
origin: C1CCO2ccc((2)CN++N(C))CC11, cl: C1OCCNNN1CCCCCCC2)C)CC, target: N1(Cc2ccccc2)[C@H](CO)CCC1
origin: CNCCCCC2cccF)ccc2)C(N, cl: C1CCCcCCcCNNCccCCCCCCCCCCCCc, target: C1CN(Cc2cc(F)ccc2)CC1
origin: C1C1NC)C2CCNC)C, cl: C1(CCCC)CC[C12)CCCCCC1, target: N(CC(O)C)CC(C)O
origin: C1NCCC(CCN(CC[C(2CC21, cl: C1N+]1C1(CCCCCCCCC(C21(3)C2)C1, target: C1COCCOCCN2CCOCCOCCN1CCOCCOCC2
origin: CN+]+1CCN+CCC(C(N+]((CCCCCCCN++CC(, cl: C11c(C[2C(C(2)cccc1, target: [C@H]12[C@@H]3C[N+]4(C)CCCC[C@@H]4[C@@H](C3)CN1CCCC2
origin: [(C1cCCc)CcN[ccc, cl: [Nc1CCCCC)C1cccc(1, target: N(CC)(CC)CC
origin: C1cc(((F[2CCCC2)c1, cl: C1CC(CCC(CCN(CC2)C2)C2)Cc2CC2CC2, target: c1cccc(CN2CCCC2)c1
origin: C1cn(ccCNN++3]1CCCCN+]C(CC)CC2C)c1, cl: C(CCN(Cc)CcNNNcccCC, target: c1cccc(C[N@@+]2(C)[C@H](CO)CCC2)c1
origin: C11NN+](CC1)(C1C)CCC1CCN[((, cl: CCC2CCN+](CC(C)C)CC3CC(C2)CC1C3, target: CCC[N+](CCC)(CCC)CCC
origin: C1NCCCCC)NCNCCCCCc, cl: C1cc(((1CN(C(CC1, target: C(N(CC)CC)C
origin: C1(c((CNNC(N1c)Cn++n+c)cn+]1C1(CcCcc11, cl: , target: c1ccc([C@@H](O)[C@H](C)[N+](C)(C)C)cc1
origin: c1ON[N+](CC)(Cc)CcCCcc, cl: C1(C)CCCNNCCCC(CCCCC((CC(c(C(C1CCcCC, target: C(C)[N+](CC)(CC)CC
origin: C1OCCCOC))CcCccc(CCCC(CCC((1C1(1, cl: CNc1CC)CN+]N[C))C1ccc((F)c1, target: C(N(CC)CC)C
origin: C1OCCCNCNNCNNNcCC, cl: CNC(C(((CCCCC2CCN(C22C)C, target: C(N(CC)CC)C
origin: C((C)CCCNCCCCCnCCCCCCCC(CCCCCCCCCcCCCCCCCcC, cl: C11(CcCCcNCcc[NCC(, target: CN(C)C
origin: C1OCN)C()CC[NNccc[C, cl: c((CC((CCCOCC2CC1(C112)Cc2CC2C22, target: C(CCNCCCC)C
origin: C1[CN+](CC(CCCCCCCCCCC1(C(C2)C3, cl: C1(CCcNNNNCCcCNCCCCC(CCC(((CCCC1CCC, target: C1([N+](C)(C)C)C2CC3CC1CC(C2)C3
origin: C1C1cccccF)c1)C1CN+]N(C))CC1C, cl: C11(CcNCcCCNccCCCCCCCCCCCC, target: C(c1cccc(F)c1)N1[C@H](CO)CCC1
origin: CN1c(cn+](c)())c11C, cl: C1ON+](Cc)(Cc)Cc)c, target: Cc1cc[n+](CCCC)cc1C
origin: C(CCN(C))C[NNNCNN, cl: C11CCcOCcNcNCcccC(CCCCCC(CC1(C1c111C1111C1C111111C1111111111111111111111C1c111111C1C111111111C111C111111111C111112111111C11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111, target: N(CC)(CC)CC
origin: C([CNCCC2ccccc2)CN+ccC1, cl: C1(cc((1C(1CN++C(CC)CC11, target: C1CCN(Cc2ccccc2)[C@@H]1CO
origin: C1C2C2N+]((CCCN+]C(CN+](C(C(2CNCCC(CN+CC3C2)C3)C, cl: C1(CNNCCCC1(, target: C1CCC[N+]2(C)[C@H]1[C@@H]1CN3[C@H]([C@H](C2)C1)CCCC3
origin: C1[(C(CCC)ccc(1, cl: C1NN+]1CcC(Cc)c)cc, target: c1c(N(C)C)ccnc1
origin: C(OCOCCCCCCNC12)C1CCC1, cl: CN1N+](C)1(Cc1C1CCcCccC, target: C1CC(N(C2CCCCC2)C)CCC1
origin: CNON(CCN)C[N)C[NccO(CC, cl: C1(C)CCCCC1)C[CC[C(1, target: C(CN(CCC)CCC)C
origin: C1N+]1C)1ccC)cccc1)(CC1ccccc1))C, cl: C11(CcNCcNNNcCcCCCCCC((C(CC(2(1(C111CCC11CC11, target: C[N+](Cc1c(F)cccc1)(Cc1ccccc1F)C
origin: CNN+]1(C(N+]C(CN++C(C(CC(C3)C(N+CC(C2)CNN+N(Cc222, cl: C11C)N1CcCCcCCC[CC, target: C[N+]12C[C@H]3[C@H]4N(CCCC4)C[C@H](C3)[C@H]1CCCC2
origin: C1cC)cN+](cc2ccccc2)((n1C, cl: C1CCN+](](CCCCC2ccccc2)CN+]N(c)2c1, target: c1(C)[n+](Cc2ccccc2)ccn1C
origin: C1cc2cCNNnN(c)Cn+]n+c)c11c11, cl: C(C1cCNCCCN(1)C[CCCC(1, target: c1ccc([C@H](O)[C@H](C)NC)cc1
origin: C1OCCCNCcNcNCccCCCC, cl: O1OCCCC2cccC)ccc2)CC[(OC, target: C(N(CC)CC)C
origin: C1NCCCC)C1N)CcNcnc, cl: C1c)CCOCcNC[Cccc(((C, target: C(N(CCC)CCC)CC
origin: C1C1CCcCNCccCCCCCCCCCCCCCCCCCCCcCCCCCcCCccCcCC1C1c11cC11Cc111C1C1111C111111111111111111C11111111111111C12111c11111111C1c1111111C1111111111111111121, cl: C11c(C)cc[N+]1CC1ccccc1, target: N(C)(C)C
origin: C1CCCC))C))CNCNccc, cl: C1O1C1CCNCcNCccc(cCCCCC, target: C(N(CCO)CC)C
origin: C1(C)cCCCCcC)CC, cl: CNONNCCCOC[N[cccc, target: CN(C)C(N(C)C)=N
origin: C11(Cc)CcNCccccCC(CCCCCCCCcCcccCCC1cCC111C111C111C111111111111111111c1C111111111111111C1111111111111111111c11111111111111111111111111C1111C11111111111111111C11C11111111111111111111111111111111111111111111111111111111111, cl: C1CC2[(NCCCCCCCC2)C)CC, target: CCN(CC)CC
origin: C1NCCCCcNCcCCccccCCCCCCCCCCCC, cl: C11CN+]1CCN)(C)1)C1C, target: C(C)N(CC)CC
origin: C(C1CCCCCCNC1)C[CCCC(1, cl: [(O)[(CC)Cc)CCCCC, target: N(C)(C1CCCCC1)C1CCCCC1
origin: c1CN+](CCCC1(C)CCC12CCCcCC, cl: C1O1CCCCCCCCCCcCCCC, target: C1[N+](CCCC)(C)CCC1
origin: C1CCN((Cc1cccc(c)c1, cl: C(CC(C1cccc(1)C(CCCCCcCc, target: C1CCCN1Cc1cccc(F)c1
origin: C(OcC1CnC(CCnCCCCCC, cl: C1=C22N+]2(CCCCN+]CC(CCN+](N2C22CN++C(CCCC1)CNN+CN12, target: C(C)NCC
origin: C1C(CcCCcc(NcccC(CCCC((CCCCCCC1cCCC1Cc1C11, cl: C1CCC1CcNC[N(cccCCC, target: CCN(CC)CC
origin: C1CCCCCcOcccNccCcc, cl: C1(C)ccC)cn+](CCccc)c1, target: C(C)N(CC)CC
origin: CN1C)C[CNNCCCCCCNCNCCCCCCCCCCCCCcc, cl: C1OCNNNN1CCC1)CCCC2)C1, target: CN(C)C
origin: C1cccCCCcC)ccc1)CCCCcCC-, cl: C1NC(2CNCC1C1CCCCC2)C1, target: c1cc(N(C)C)ccn1
origin: CNCCN+](CCC(CCCCCCC1C1)CC(C2)C3, cl: C1O))(N+](CC)C(C)CCC, target: C12[N+](CC)(C)CC3CC(C1)CC(C2)C3
origin: [(C1)C)C)CCNCOCCCCcc, cl: C11(CcNCcC[ccccCCCCC, target: N(CC(O)C)CC(C)O
origin: C1O)CCNNCCC)C[CCNcc, cl: C11ONNCCc)CnC)COCCCCc, target: C(C)(C)NC(C)C
origin: CN(N+](C))(CcCC1CCcCC, cl: C11CC[NCcNNNccCcCCCCCC(c((C1CC11C1111CC1C11111, target: CC[N+](CC)(CC)CC
origin: C1c[C[2CN+CC(CC)CCc()cccc(, cl: C1N1NCCC)CcNCcCcc, target: c1c(CN2[C@H](CO)CCC2)cccc1
origin: CN+]+11CCN+CC(C((((N+]3(CCCCN+]CC(CN+]C3C(C1CC2)C1)C2, cl: C(CCCCC)(CcNccC)CNC, target: [C@@H]12[C@H]3CCCC[N+]3(C)C[C@@H]([C@H]3N(CCCC3)C1)C2
origin: CNCOCCCCCCCCC12)C1CCN1, cl: C1OCNNN(CCC))C(cN, target: C1CC(N(C2CCCCC2)C)CCC1
origin: C1CCCNCcNCcCCccNCCCCC, cl: C11N(CC))C1NNNNNccc, target: N(CC)(CC)CC
origin: C(CN+]1CC(CC))C)))c, cl: C(O)CCN1ccC)[n+](CCcc1)C, target: C([N+](C)(CCO)CCO)CO
origin: C1cCCCC))C)NNCNNNcccC, cl: C1ccn2C)Cn+]n(CN+]cCcC)Ccccccc2)C)ccccc1, target: C(CN(CCC)CCC)C
origin: C11c(CNN+](Cc2ccccc2))(C)C)cccc1, cl: C1O1N1CCOCcOCNCccCC, target: Fc1c(C[N+](Cc2ccccc2F)(C)C)cccc1
origin: C1[cC[c(c)ccN)cn+]1CcCCC, cl: C1ccCn2CCCC2)ccF)ccc1, target: c1c(C)n(C)c(C)[n+]1C
origin: C1O1)CCNNC)N)[[NNcCc, cl: C1OCCC1C)OCcCCcCCCCCCC, target: C(CN(CCC)CCC)C
origin: C1NCCCC2ccC)cccc2)CC1, cl: CNN[[(CC2cccc(2))CC, target: C1CN(Cc2c(F)cccc2)CC1
origin: C1CC[N+](C2C(CCN+]1C1CCN+]N2C1N+]1(C)CCCCCN++222)C[, cl: C1NNCCCCOCcNCNCccC, target: C1CC[C@@H]2N(C[C@@H]3C[C@H]2C[N+]2(C)CCCC[C@H]32)C1
origin: C1C1N(CcNCcNCcccC, cl: C1[ccc(C[2C(CCN+]22C))c1, target: N(CC)(CC)CC
origin: c1c(Ccccn+](Cc(C)c1, cl: CN++N1CCN+CCC(C(N+]((CCCCCcCN+]C((CN+]C(CC1C3CC2)C3, target: c1n(C)c[n+](CCCC)c1
origin: C1CCC2(CCCCCC2CC1(CC11)CC2CC2, cl: [1O)CCOC[NC[NNccnCC, target: C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2
origin: C1c1CCC)C)C)cc[[ccc((, cl: C1OCCNNN+]1ccn(C)ncC)c1, target: C(N(CCC)CCC)CC
origin: c1C11(C)1ccNccccc, cl: ON(CCCC(1(CCOC22CC2(C11C11C12)C1, target: N(CC)(CC)CC
origin: C1NCCC(CcO)CC, cl: C1C(C((C1, target: C(CO)N(CCO)CCO
origin: CNNCC(O)C)CCC[CCCcCc, cl: C1cCCCOCNNC[CccCCC, target: C(NCC(C)O)C(C)O
